q_id,q_type,q_query,story,question,answer,choices,reasoning_steps,num_facts,asked_relation,target_relation,model_answer
4,FR,1x0 0,"A block called AAA have a medium blue square and a medium yellow square. Another medium blue square is within and a black square is inside and touching this block. Medium blue square number one is north of the black thing. North of this object is the medium yellow square. Disconnected from, away from and in front of block AAA is another block named BBB. To the north of this block is block AAA. A medium blue square is covered by block BBB.",Where is the medium blue square covered by BBB regarding AAA?,BELOW FRONT FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,front,front,above
5,FR,1x4 0x0,"There exist two blocks, called AAA and BBB. Block AAA covers a medium yellow circle. A big yellow circle is in and a small black square is inside and touching this block. In front of block AAA there is block BBB with a small blue triangle, a big yellow square and a small black circle. North of and farther from this block is block AAA. A small blue circle is within block BBB.",What is the position of the small blue circle regarding the small black square?,BELOW FRONT FAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,3,front,front,"above, front"
7,FR,0x0 0,"There exist two blocks, called HHH and LLL. Block LLL touches block HHH. Two medium purple hexagons are in block HHH. Block HHH covers a medium grey hexagon. The medium grey hexagon is south of medium purple hexagon number two. Medium purple hexagon number two is to the south of medium purple hexagon number one and touches this thing. Medium purple hexagon number one touches this thing. Block LLL covers a medium purple hexagon.",Where is the medium grey hexagon relative to block HHH?,TPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,tpp,tpp,below
4,FR,0x0 0x1,A block named AAA cover a big yellow square and a big blue triangle. A small square is west of and the big yellow square is close to a medium black square. Block AAA contains the medium black square. The small thing is in this block. A black circle is inside this block. The medium black square is west of the black circle and is to the south of the small square. To the north of the big yellow square is this object. The big blue triangle is east of and the big yellow square is to the west of the black circle.,Where is the small shape relative to the black circle?,LEFT,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,left,left,"above, west"
1,FR,0 1,"There are two blocks, named HHH and LLL. A medium grey hexagon is covered by block HHH. Block LLL overlaps block HHH. A medium red hexagon is inside and touching this block.",What is the position of HHH regarding block LLL?,PO,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,po,po,po
3,YN,1x3 1,"Two blocks, called HHH and LLL exist in the image. Block HHH covers a grey hexagon. Block LLL with two medium red hexagons and a medium purple object touches this block. This block covers another medium red hexagon. Medium red hexagon number two is over the purple shape. This thing is under and touches medium red hexagon number one. The medium purple object and medium red hexagon number one are over medium red hexagon number three.",Is any hexagon inside any block?,Yes,Yes No,1,1,ntpp,ntpp,Yes
3,YN,0x0 1x0,"There are three boxes, named DDD, EEE and JJJ. Box DDD covers a midsize green rectangle. East of this box is box EEE. Disconnected from and away from this box there is box DDD. A midsize green rectangle touches another midsize green rectangle. Midsize green rectangle number one is inside box EEE. Box EEE covers midsize green rectangle number two. Box DDD is inside box JJJ.",Is any rectangle away from a midsize green rectangle?,Yes,Yes No,3,3,far,far,Yes
1,YN,0 1,"There exist two blocks, called AAA and BBB. Block AAA covers a medium black square. In front of this block is block BBB with a medium blue square. A yellow square and another medium blue square are within this block. Block BBB covers a medium black square which is to the south of and touches medium blue square number one. South of and touches medium blue square number two there is medium blue square number one.",Are all blocks behind all blocks?,No,Yes No,1,1,behind,behind,No
7,FR,0 2x1,A block named AAA covers a medium blue square. To the north of this block is another block called BBB. A medium yellow square and a medium black square are within this block. Block BBB covers another medium black square. The medium yellow square and medium black square number two are to the south of medium black square number one. Another block called CCC with a medium yellow square is within block BBB. South of a medium blue square there is the medium yellow square. The medium blue square is within block CCC. Another medium yellow square is within and another medium blue square is inside and touching block CCC. North of medium blue square number two there is medium yellow square number two.,Where is block AAA relative to medium yellow square number two?,BELOW,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,5,3,below,below,below
2,YN,0x1 0x4,One box called one exists. This box have a big orange melon and two small green apples. Small green apple number one is to the right of a big green watermelon and is below the big orange melon. The big green watermelon is in box one. Box one covers a medium green watermelon. The medium green watermelon is to the right-hand side of and small green apple number two is to the left of small green apple number one. The big green watermelon is near to small green apple number two and is under the big orange melon. To the right of the fruit which was to the left of small green apple number one there is the big orange melon. On the left side of and near to the thing that was to the right-hand side of small green apple number one there is this fruit.,Are all green things close to all green watermelons?,No,Yes No,1,1,near,near,No
4,FR,0x3 0x1,"Two blocks, called HHH and LLL exist in the image. In block HHH there is block LLL. A medium purple hexagon and a medium grey hexagon are within block HHH. Block HHH has another medium grey hexagon which is to the south of the medium purple hexagon. Block HHH covers another medium grey hexagon. To the south of medium grey hexagon number two there is medium grey hexagon number one. To the south of this thing is medium grey hexagon number three. A medium grey hexagon is in and a medium purple hexagon is inside and touching block LLL. The medium purple hexagon touches the medium grey hexagon.",Where is the medium purple hexagon in HHH relative to medium grey hexagon number one?,ABOVE,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,above,above,above
2,FR,0 1x3,"Three blocks, named AAA, BBB and CCC exist. Block AAA covers block BBB. A medium yellow square is inside and touching and another medium yellow square is in block AAA. Medium yellow square number one touches medium yellow square number two. Block BBB has a medium black square and covers another medium black square. Another medium black square and another medium black square are within this block. Medium black square number four is below medium black square number one. Medium black square number three touches medium black square number two. A medium blue shape is within block CCC. A medium black square touches and this thing is over a medium yellow square. Block CCC covers the medium yellow square. This block has the medium black square.",Where is block AAA relative to medium black square number one?,NTPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,ntppi,ntppi,above
6,FR,0 1,A block called HHH has a grey hexagon and covers a medium purple hexagon. The grey shape touches the purple shape. Another block named LLL touches block HHH. This block covers a medium red hexagon.,Where is block HHH relative to LLL?,EC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ec,ec,ntppi
4,FR,0x2 0x0,There is one box named DDD. A midsize orange rectangle is within and a midsize white rectangle is inside and touching box DDD. Box DDD contains another midsize white rectangle. Below and touches midsize white rectangle number two there is the orange object. Over and touches midsize white rectangle number one is this shape.,Where is midsize white rectangle number two relative to midsize white rectangle number one?,ABOVE,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,2,above,above,below
4,FR,0x0 0,A box called one contain two medium green apples. Over and touches a medium orange apple is medium green apple number two. The medium orange apple is in box one. Box one covers a medium yellow apple. We have a box called two. Two medium orange apples are within box two. Below medium orange apple number two is another medium orange apple. Medium orange apple number three is covered by box two. Medium orange apple number two is under medium orange apple number one.,Where is the yellow fruit regarding box one?,TPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,tpp,tpp,below
4,FR,0x3 0,A box named DDD contains a midsize green rectangle. Another midsize green rectangle and a midsize orange rectangle are inside this box. Another midsize orange rectangle is inside and touching box DDD. Midsize orange rectangle number one is to the north of and this thing touches midsize green rectangle number two. South of and touches midsize green rectangle number one is the shape which was to the north of midsize green rectangle number two. Midsize green rectangle number two is north of midsize orange rectangle number two and touches this thing.,Where is midsize green rectangle number one regarding box DDD?,NTPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ntpp,ntpp,inside
6,FR,1x0 0x1,"We have two blocks, called AAA and BBB. Block BBB is below and disconnected from block AAA. Block AAA with a big black triangle is in front of and close to this block. A big blue circle is inside and touching block AAA. In front of the big black triangle is this object. Block BBB contains a big black triangle.",Where is the big black triangle in BBB regarding the blue shape?,BELOW BEHIND DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,5,3,behind,behind,behind
4,FR,0 1,"There are two blocks, named HHH and LLL. Block LLL overlaps block HHH. Block HHH covers a large red star. A large purple star and a little red hexagon are within this block. A large grey pentagon is inside and touching block HHH. The large purple star is east of the little red hexagon and is to the north of the large red star. South of and east of this shape there is the large grey pentagon. Block LLL contain a large purple hexagon and a little red star. Another large purple hexagon is west of large purple hexagon number one. Large purple hexagon number two is covered by block LLL. A medium star is in block LLL. To the east of the little red star is this shape.",What is the position of block HHH relative to LLL?,PO,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,po,po,po
6,FR,0x0 0x3,"We have two blocks, called AAA and BBB. Block AAA with a medium yellow square is to the south of, disconnected from, far from and in front of block BBB. Another medium yellow square and a medium blue square are inside block AAA. A black square is to the south of medium yellow square number one. The black object is inside and touching block AAA. Two medium yellow squares are to the south of the medium blue square.South of medium yellow square number two there is medium yellow square number one. Block BBB covers a medium blue square.",What is the position of the black object relative to the medium blue square in block AAA?,BELOW,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,below,below,above
1,YN,0 0x1,A midsize green rectangle is within and a midsize white object is covered by a box named DDD. The white thing touches the green object.,Does a box have any midsize rectangle?,Yes,Yes No,1,1,ntppi,ntppi,Yes
0,YN,0x4 0x1,"We have two blocks, called HHH and LLL. Block LLL touches block HHH. A little purple hexagon and two little red stars are within block HHH. Near to the little purple hexagon is a medium red hexagon. The medium thing is covered by block HHH. A large grey pentagon is inside and touching block HHH. This shape is south of and little red star number two is to the west of little red star number one.",Is the little purple hexagon far from any medium red hexagon?,No,Yes No,1,1,far,near,No
3,YN,1 0x1,"Two blocks, called AAA and BBB exist in the image. Block BBB is disconnected from and in front of block AAA. Block AAA with a medium yellow square is north of this block. A medium black square is inside and another medium yellow square is covered by block AAA. Medium yellow square number two touches medium yellow square number one. A medium yellow square is covered by and a blue square is inside block BBB. Block BBB contains a medium black square. The medium yellow square touches the blue object.",Are all blocks south of all things?,No,Yes No,2,2,below,below,No
1,YN,0 1,"Two blocks, called AAA and BBB exist. Block BBB is below block AAA. A medium black thing is in block AAA. This shape touches a yellow square. Block AAA covers the yellow shape. A medium blue square is covered by block BBB.",Are all blocks over BBB?,No,Yes No,1,1,above,above,No
7,FR,0x1 1,"There are two blocks, called AAA and BBB. A medium black object and a medium blue square are in block AAA. Block AAA has another medium blue square. Medium blue square number one touches medium blue square number two. Over and in front of block BBB there is block AAA. Disconnected from this block is block BBB. This block covers a medium blue square. A medium yellow square is in this block. The yellow shape is above the medium blue square.",What is the position of the black thing relative to BBB?,ABOVE FRONT DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,front,front,above
2,YN,2x0 2x1,"We have three boxes, named one, two and three. Box two contain a medium green apple and a medium orange apple. To the south of the medium orange apple there is the medium green apple. Box two covers another medium green apple. Another medium green apple is within this box. The medium orange apple touches medium green apple number three and is north of medium green apple number two. Box three covers a medium orange apple and has a medium yellow apple. The medium yellow apple touches the medium orange apple.",Do all medium orange apples touch all yellow apples?,No,Yes No,1,1,ec,ec,No
2,FR,0x0 0,"Two blocks, named HHH and LLL exist. Block LLL touches block HHH. A medium purple hexagon is within block HHH. This object is above a red hexagon. Under and touches a medium grey hexagon is this object. Block HHH covers the red hexagon. This block has the medium grey hexagon. The red shape touches the object that touches the medium grey hexagon. Block LLL covers a medium grey hexagon.",Where is the red shape regarding HHH?,TPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,tpp,tpp,"above, within"
4,FR,1x3 1x0,"There exist two boxes, called one and two. Box one with a medium green apple and a medium yellow apple contains box two. This box covers another medium green apple. Medium green apple number two is south of medium green apple number one. To the south of the medium yellow apple is medium green apple number one. A medium yellow apple and a medium green apple are inside box two. Box two contains another medium yellow apple which is south of medium yellow apple number one. Box two covers another medium yellow apple. The medium green apple and medium yellow apple number three are to the south of the fruit which was south of medium yellow apple number one. Medium yellow apple number three is to the south of and medium yellow apple number two touches the medium green apple.",Where is medium yellow apple number one relative to medium yellow apple number three?,ABOVE,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,below,above,above
7,FR,0x0 0,"A block named AAA contain a big circle, a small yellow triangle and a big black square. A medium yellow thing is inside and touching this block. The big black square is to the south of this shape and is to the east of the circle. To the south of this thing there is the small thing. The big circle is west of this object. The medium yellow thing is close to the big black square and is east of this shape.",Where is the circle relative to AAA?,NTPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ntpp,ntpp,left
4,FR,0x2 0x1,One block named HHH exists in the image. A medium red hexagon is inside and another medium red hexagon is inside and touching block HHH. Medium red hexagon number two is below medium red hexagon number one. Medium red hexagon number one is below and touches a medium grey hexagon. Block HHH contains the medium grey hexagon.,What is the position of the medium grey hexagon relative to medium red hexagon number one?,ABOVE EC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ec,ec,above
1,YN,0x5 0x2,A large grey star and a medium grey star are inside a block named HHH. Block HHH have a little purple star and another large grey star. East of the little purple star there is large grey star number one. This thing is west of and close to large grey star number two. The little purple star is to the north of and large grey star number two is to the south of this shape. Block HHH cover a medium purple hexagon and another large grey star. The medium purple hexagon is close to and large grey star number three is to the north of the medium grey star. There exists a block called LLL. A little grey hexagon is inside block LLL. To the north of a large red hexagon there is this thing. Block LLL covers the large red hexagon. We have a block named KKK. Block KKK have a medium grey star and a little red star. The little red star is west of a medium grey hexagon. The medium grey hexagon is covered by block KKK.,Is any shape near to the medium purple hexagon?,Yes,Yes No,1,1,near,near,Yes
1,FR,1x0 2,"Three blocks, called HHH, LLL and KKK exist. In block KKK there is block LLL. A medium red hexagon is inside and touching and a medium grey hexagon is in block HHH. Block HHH contains another medium red hexagon. Medium red hexagon number one and the medium grey hexagon touch medium red hexagon number two. Block LLL have two medium red hexagons. Another medium red hexagon touches medium red hexagon number one and is below medium red hexagon number two. Medium red hexagon number three is within block LLL. Above this object is medium red hexagon number one. Block LLL covers a medium grey hexagon. Block KKK covers a medium red hexagon. Another medium red hexagon touches medium red hexagon number one. Medium red hexagon number two is within block KKK.",Where is the medium grey hexagon covered by block LLL regarding block KKK?,NTPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,2,ntpp,ntpp,inside
2,YN,1x1 1,"We have three boxes, called one, two and three. A medium yellow apple is inside box one. Box one covers a medium orange apple. Box two contains a medium yellow apple and covers a medium orange apple. A medium green apple is inside this box. The medium orange apple touches the medium yellow apple. The medium yellow apple touches the medium green apple. To the right of box one there is box three with a medium green apple. Box one is disconnected from this box. Above a medium orange apple there is the medium green apple. The medium orange apple is within box three. Box three covers a medium yellow apple.",Is any medium yellow thing inside all boxes?,No,Yes No,1,1,ntpp,ntpp,No
2,YN,0x0 0,"A box named one have a big orange watermelon, a medium orange melon and a medium orange watermelon. To the left-hand side of a big green melon there is the medium orange melon. The big green melon is covered by box one. On the right side of the medium orange watermelon is the big orange watermelon. There is a box named two. A medium orange melon is in box two. To the left-hand side of a medium orange watermelon there is this thing. Box two covers the medium orange watermelon. Below and on the left side of another box called three is box one. On the right side of a medium orange melon is a medium yellow melon. The medium yellow melon is in box three. Box three covers the medium orange melon. This box contains another medium yellow melon which is to the right of medium yellow melon number one.",Is any big orange watermelon within all boxes?,No,Yes No,1,1,ntpp,ntpp,No
3,FR,1 0x3,"We have three blocks, called AAA, BBB and CCC. Block AAA with a medium yellow square is disconnected from and in front of block BBB. To the south of this block is block BBB. Another medium yellow square and a medium black square are within block AAA. South of medium yellow square number two is medium yellow square number one. Block BBB have a medium blue square and a medium black square. A medium yellow square is to the north of the medium blue square. The medium yellow square is in block BBB. North of the medium black square there is the medium blue square. Another medium blue square is covered by block BBB. South of medium blue square number one there is this thing. A medium blue square is in block CCC. Block CCC has a medium yellow square. North of the medium yellow square is the medium blue square.",What is the position of block BBB regarding medium yellow square number two?,BELOW BEHIND DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,dc,dc,south
4,FR,1x4 1,"We have three boxes, named one, two and three. A big green melon is covered by box two. Box two covers a medium green melon which is below a small yellow melon. Box two contains the small yellow melon. This box contains a medium orange watermelon and covers a big orange melon. Over the small yellow melon is the medium orange watermelon. The small yellow melon is under the big green melon and is over the big orange melon. The big green melon is below the fruit that was over the small yellow melon. Below this thing there is the big orange melon. Box three covers a small yellow apple. A medium green apple is within this box. This fruit is close to the small yellow apple.",What is the position of the medium orange watermelon relative to box two?,NTPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ntpp,ntpp,inside
2,YN,0x0 0x3,"We have two blocks, called AAA and BBB. Block AAA with a medium yellow square is to the south of, disconnected from, far from and in front of block BBB. Another medium yellow square and a medium blue square are inside block AAA. A black square is to the south of medium yellow square number one. The black object is inside and touching block AAA. Two medium yellow squares are to the south of the medium blue square.South of medium yellow square number two there is medium yellow square number one. Block BBB covers a medium blue square.",Is the black shape south of all blue squares?,Yes,Yes No,1,2,below,below,No
1,YN,0x0 0,One box named DDD exists. This box covers a white rectangle. Under a green rectangle there is the white rectangle. The green shape is within box DDD.,Are all rectangles covered by any box?,No,Yes No,1,1,tpp,tpp,No
3,YN,0x0 0,"We have two boxes, named one and two. Inside box two there is box one with a medium yellow apple. This box covers another medium yellow apple. Another medium yellow apple is in this box. To the north of medium yellow apple number two is this thing. To the north of medium yellow apple number two is medium yellow apple number one. A medium yellow apple is covered by and another medium yellow apple is inside box two. Medium yellow apple number one touches and medium yellow apple number two is to the north of a medium green fruit. Box two contains the medium green fruit. South of medium yellow apple number two there is the thing that touches the green fruit.",Is a medium yellow apple inside and touching any box?,Yes,Yes No,1,1,tpp,tpp,Yes
6,FR,2 1,"We have three boxes, called one, two and three. Box two overlaps and box one covers box three. Box one has a medium yellow apple. Another medium yellow apple is covered by and a medium orange apple is within this box. The medium orange apple is under medium yellow apple number one and touches medium yellow apple number two. Under this fruit there is medium yellow apple number two. A medium green apple is within and another medium green apple is inside and touching box three. Medium green apple number one touches medium green apple number two.",Where is box three regarding box two?,PO,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,po,po,po
0,YN,0 0x0,A box named DDD have a midsize orange rectangle and a midsize white rectangle. The midsize white rectangle is over another midsize orange rectangle and touches midsize orange rectangle number one. Midsize orange rectangle number two is inside box DDD. Another midsize white rectangle is inside and touching box DDD. Above this thing there is midsize orange rectangle number two. Below the thing which was above midsize orange rectangle number two is midsize orange rectangle number one. Midsize white rectangle number two and midsize orange rectangle number two are below this thing. Another box named EEE covers box DDD.,Does a box cover midsize white rectangle number two?,Yes,Yes No,1,1,tppi,tppi,Yes
3,YN,2x2 2x1,"We have three boxes, named DDD, EEE and JJJ. Box DDD covers a midsize white dimond. Box EEE with a large green rectangle is far from and in front of this box. Box DDD is under this box. A tiny white dimond and another large green rectangle are inside and touching box EEE. Below large green rectangle number one there is large green rectangle number two. Below the tiny white dimond there is large green rectangle number one. Below box DDD there is box JJJ with a large white rectangle. Under a midsize green dimond there is the large white rectangle. Box JJJ covers the midsize green dimond. A midsize orange rectangle is inside and touching this box.",Is any midsize green object over any white rectangle?,Yes,Yes No,1,1,above,above,No
3,YN,1x0 1,A box called DDD contain a midsize green rectangle and a midsize white rectangle. This box covers another midsize green rectangle. Midsize green rectangle number one is above midsize green rectangle number two. Under and touches the midsize white rectangle there is this thing. Inside and touching another box called EEE is box DDD. A midsize green rectangle touches a midsize white rectangle. The midsize green rectangle is inside box EEE. Box EEE covers the midsize white rectangle.,Is a midsize white rectangle inside and touching box EEE?,Yes,Yes No,1,1,tpp,tpp,Yes
1,YN,0 1,"There are two blocks, named HHH and LLL. Block LLL overlaps block HHH. Block HHH covers a large red star. A large purple star and a little red hexagon are within this block. A large grey pentagon is inside and touching block HHH. The large purple star is east of the little red hexagon and is to the north of the large red star. South of and east of this shape there is the large grey pentagon. Block LLL contain a large purple hexagon and a little red star. Another large purple hexagon is west of large purple hexagon number one. Large purple hexagon number two is covered by block LLL. A medium star is in block LLL. To the east of the little red star is this shape.",Does block HHH overlap all blocks?,No,Yes No,1,1,po,po,No
6,FR,0x2 0x1,A large red hexagon and a large red pentagon are in a block named HHH. Block HHH contains a large grey hexagon and covers a large purple hexagon. To the north of the large grey hexagon is the large red pentagon. The large grey hexagon is to the north of the large purple hexagon. Disconnected from and away from block HHH is another block called LLL. To the north of this block there is block HHH. A purple star is inside and touching and a large grey hexagon is within block LLL.,Where is the large red pentagon relative to the large purple hexagon?,ABOVE,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,above,above,above
7,FR,2x3 1,"There exist three boxes, called one, two and three. To the north of and disconnected from box two is box three. Box two have two medium yellow apples and a medium green apple. The medium green apple is north of medium yellow apple number two. North of medium yellow apple number one there is medium yellow apple number two. Box three has a medium yellow apple. A medium orange apple is inside this box.",Where is the medium orange apple relative to box two?,ABOVE DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,above,above,"above, dc"
5,FR,0 0x0,One block called AAA exists in the image. A medium yellow square is within and a blue square is inside and touching block AAA. The yellow object touches the blue object.,Where is block AAA relative to the blue object?,TPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ntppi,tppi,tpp
4,FR,0 1,"There are two blocks, named HHH and LLL. Block LLL overlaps block HHH. Block HHH covers a large red star. A large purple star and a little red hexagon are within this block. A large grey pentagon is inside and touching block HHH. The large purple star is east of the little red hexagon and is to the north of the large red star. South of and east of this shape there is the large grey pentagon. Block LLL contain a large purple hexagon and a little red star. Another large purple hexagon is west of large purple hexagon number one. Large purple hexagon number two is covered by block LLL. A medium star is in block LLL. To the east of the little red star is this shape.",What is the position of block HHH relative to LLL?,PO,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,po,po,po
2,YN,0x3 1x0,"A box called DDD covers a midsize green rectangle. A midsize white rectangle is to the north of the midsize green rectangle. The midsize white rectangle is in box DDD. Another midsize green rectangle is within box DDD. Another box called EEE is behind, disconnected from and away from box DDD. South of this box there is box DDD. Box EEE covers a midsize white rectangle.",Is midsize green rectangle number two in front of any midsize shape?,Yes,Yes No,3,3,front,front,No
0,YN,0x3 0x1,"We have one block called AAA. A medium triangle and a small yellow square are in block AAA. A big blue circle and the small yellow square are to the right-hand side of a medium black circle. Block AAA covers the medium black circle. This block have the blue thing, a small black circle and a big yellow square. The medium black circle are below the small black circle and the medium triangle. The big yellow square is under the triangle. On the left side of this object is the triangle. To the right-hand side of the big blue circle is the small yellow square.",Are all medium black circles to the left-hand side of the blue thing?,Yes,Yes No,1,1,left,left,No
1,YN,0x5 0x2,A large grey star and a medium grey star are inside a block named HHH. Block HHH have a little purple star and another large grey star. East of the little purple star there is large grey star number one. This thing is west of and close to large grey star number two. The little purple star is to the north of and large grey star number two is to the south of this shape. Block HHH cover a medium purple hexagon and another large grey star. The medium purple hexagon is close to and large grey star number three is to the north of the medium grey star. There exists a block called LLL. A little grey hexagon is inside block LLL. To the north of a large red hexagon there is this thing. Block LLL covers the large red hexagon. We have a block named KKK. Block KKK have a medium grey star and a little red star. The little red star is west of a medium grey hexagon. The medium grey hexagon is covered by block KKK.,Is any shape near to the medium purple hexagon?,Yes,Yes No,1,1,near,near,Yes
0,YN,0 0x0,A box named DDD have a midsize orange rectangle and a midsize white rectangle. The midsize white rectangle is over another midsize orange rectangle and touches midsize orange rectangle number one. Midsize orange rectangle number two is inside box DDD. Another midsize white rectangle is inside and touching box DDD. Above this thing there is midsize orange rectangle number two. Below the thing which was above midsize orange rectangle number two is midsize orange rectangle number one. Midsize white rectangle number two and midsize orange rectangle number two are below this thing. Another box named EEE covers box DDD.,Does a box cover midsize white rectangle number two?,Yes,Yes No,1,1,tppi,tppi,Yes
4,FR,1x6 1x1,"Three boxes, named one, two and three exist. Box one is farther from box three. Box three is disconnected from box two. Box two is under and to the left of this box. Box one contains a small yellow melon. Box two have a big yellow melon and a small apple. Under the apple is the big yellow melon. Box three covers a medium green watermelon and contains another medium green watermelon.",Where is the apple regarding the big yellow melon?,ABOVE,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,above,above,above
1,YN,0 1x2,"Three blocks, called AAA, BBB and CCC exist in the image. Block AAA covers a medium blue square. This block is to the south of block BBB. Away from and in front of this block there is block BBB. Two medium black squares are inside this block. A medium blue square touches and medium black square number one is north of medium black square number two. The medium blue square is inside and touching block BBB. Block CCC has a medium blue square. A medium yellow square is in this block.",Is any block behind medium black square number one?,Yes,Yes No,3,2,behind,behind,No
6,FR,0x2 0x3,"There exist two blocks, named AAA and BBB. Behind and disconnected from block AAA is block BBB. Over this block there is block AAA with a small blue triangle. A medium blue triangle is inside and a big blue square is inside and touching block AAA. The big blue square is near to the medium blue triangle. A big yellow triangle is in block BBB. Block BBB has a medium yellow square.",Where is the medium blue triangle relative to the big blue square?,NEAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,far,near,near
5,FR,0 1x1,"A box called DDD covers a midsize orange rectangle. This box is under, disconnected from and in front of another box named EEE. Near to this box there is box EEE with two midsize green rectangles. This box covers a midsize white rectangle. The midsize white rectangle is under and midsize green rectangle number one touches midsize green rectangle number two. Midsize green rectangle number two is above midsize green rectangle number one.",Where is box DDD relative to midsize green rectangle number one?,BELOW FRONT DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,front,front,"below, front, dc"
1,YN,1 0,"There exist two blocks, called HHH and LLL. A medium purple hexagon is covered by block HHH. Block HHH has a medium red hexagon. The medium purple hexagon touches the medium red hexagon. Block HHH overlaps block LLL. A medium red hexagon is inside and a medium purple hexagon is covered by block LLL. The medium purple hexagon touches the medium red hexagon.",Do all blocks touch HHH?,No,Yes No,1,1,ec,po,No
1,FR,0x0 0x2,"There exist three boxes, named one, two and three. A big orange watermelon is covered by and a small orange apple is within box one. East of the small orange apple there is the big orange watermelon. A medium green apple and a big green melon are to the south of a small orange melon which is in box two. Box two covers a big yellow watermelon which is close to a medium yellow watermelon. The medium yellow watermelon is in box two. The medium green apple is inside and touching box two. Box two contains the big green melon.",Where is the small orange apple regarding the big orange watermelon?,LEFT,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,left,left,west
0,YN,0x0 1x0,A little purple pentagon is within and a large purple star is inside and touching a block named HHH. On the right side of another block named LLL there is block HHH. Over and disconnected from this block there is block LLL with a medium red hexagon. A little red hexagon is covered by this block. Above and on the left side of block LLL there is another block named KKK. A large red star is covered by and a large red pentagon is inside this block.,Are all little things to the right of the medium red hexagon?,No,Yes No,2,3,right,right,No
0,YN,2x5 0,A box named one has a small orange melon. We have a box called two. Box two contains a medium orange apple. Disconnected from and to the east of box one is another box named three. Box two is to the north of and east of this box. A small orange watermelon and a medium green melon are within box three. A medium green apple is covered by box three. Box three covers a medium yellow melon.,Is the medium green apple to the east of box one?,Yes,Yes No,1,2,right,right,Yes
4,FR,0x1 1x3,"Two boxes, called DDD and EEE exist. A tiny green dimond is covered by box DDD. Box DDD covers a large orange rectangle and has a tiny orange dimond. Box EEE with a large white oval is behind and disconnected from this box. Box DDD is above this box. A large orange rectangle is covered by box EEE.",Where is the tiny green dimond relative to the large orange rectangle covered by EEE?,ABOVE FRONT DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,4,3,front,front,above
1,YN,2x1 0x1,A block called HHH contains a little red star. A large red hexagon is inside this block. There exists a block called LLL. A little red hexagon is inside and touching block LLL. Under and to the left of block HHH there is another block called KKK with a little red pentagon. Inside this block there is block LLL. A medium grey star is inside block KKK.,Is any red pentagon over all large red hexagons?,No,Yes No,4,3,above,left,No
5,FR,0x2 0x0,There is one box named DDD. A white rectangle and a midsize dimond are within box DDD. Box DDD have a tiny white dimond and a large white dimond. The large white dimond is near to the midsize thing and is below the rectangle. Under and to the right of the tiny white dimond is the rectangle. Over and to the right-hand side of the midsize shape there is the tiny white dimond.,What is the position of the rectangle relative to the midsize dimond?,RIGHT,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,right,right,above
3,YN,1x1 1,"Three blocks, called HHH, LLL and KKK exist in the image. Block HHH contains a little grey hexagon. A medium grey star is within this block. Block LLL covers a large red star. A medium red pentagon is inside and touching this block. South of and near to block HHH is block KKK with a little red star. Block HHH is disconnected from this block. A purple hexagon is near to the little red star. The purple hexagon is within block KKK. Block KKK covers a little red hexagon.",Is the large shape inside and touching LLL?,Yes,Yes No,1,1,tpp,tpp,No
