q_id,q_type,q_query,story,question,answer,choices,reasoning_steps,num_facts,asked_relation,target_relation,model_answer
3,FR,0 1x0,"There are two boxes, named DDD and EEE. Box DDD with a midsize orange rectangle and a midsize green rectangle has box EEE. Another midsize green rectangle is in and a midsize white rectangle is inside and touching box DDD. Midsize green rectangle number two is to the north of the midsize white rectangle and is south of the midsize orange rectangle. Midsize green rectangle number one touches the midsize orange rectangle. Box EEE have a midsize orange rectangle and a midsize white rectangle. This box covers another midsize white rectangle. Midsize white rectangle number two touches midsize white rectangle number one. Another midsize orange rectangle is in box EEE. To the north of midsize white rectangle number two is midsize orange rectangle number two.",Where is DDD relative to midsize white rectangle number two?,NTPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,ntppi,ntppi,above
0,YN,0x2 1x0,"Two boxes, called DDD and EEE exist in the image. Box DDD with a midsize white rectangle is to the north of and behind box EEE. Disconnected from and farther from this box there is box EEE. Box DDD covers another midsize white rectangle. A midsize orange rectangle is in this box. Box EEE covers a midsize white rectangle and has a midsize orange rectangle.",Are all midsize orange rectangles behind a white thing?,No,Yes No,2,3,behind,behind,Yes
3,YN,0x2 0,"There are two blocks, named HHH and LLL. Block LLL overlaps block HHH. Block HHH contain a medium purple hexagon and two medium red hexagons. This block covers another medium purple hexagon. Medium red hexagon number two is north of medium purple hexagon number two. South of this shape there is medium purple hexagon number one. Medium purple hexagon number two touches this shape. Block LLL covers a medium purple hexagon and contains a medium grey hexagon. To the south of the grey shape is the medium purple hexagon.",Is medium red hexagon number one within a block?,Yes,Yes No,1,1,ntpp,ntpp,Yes
4,FR,0x4 0x0,One box called one exists. This box have a big orange melon and two small green apples. Small green apple number one is to the right of a big green watermelon and is below the big orange melon. The big green watermelon is in box one. Box one covers a medium green watermelon. The medium green watermelon is to the right-hand side of and small green apple number two is to the left of small green apple number one. The big green watermelon is near to small green apple number two and is under the big orange melon. To the right of the fruit which was to the left of small green apple number one there is the big orange melon. On the left side of and near to the thing that was to the right-hand side of small green apple number one there is this fruit.,What is the position of the big green watermelon regarding small green apple number one?,LEFT,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,left,left,"near, left"
0,YN,0x0 1,A medium purple hexagon is inside and touching a block called HHH. Inside and touching another block named LLL is block HHH. Block LLL covers a medium purple hexagon which is to the south of and touches a medium grey shape. The grey shape is within block LLL.,Are all medium purple hexagons within a block?,No,Yes No,1,2,ntpp,ntpp,Yes
4,FR,0 1,"We have two blocks, called HHH and LLL. Block LLL with a little grey hexagon overlaps block HHH. A large grey hexagon, a medium purple star and a little purple pentagon are in this block. Block LLL covers another large grey hexagon. A large red star is covered by this block. Large grey hexagon number two is over the little grey hexagon. Above the medium thing there is large grey hexagon number one. Above this shape is the little purple pentagon.",Where is HHH relative to LLL?,PO,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,po,po,PO
4,FR,0x1 1x0,"We have two boxes, called DDD and EEE. Disconnected from and in front of box EEE is box DDD with a midsize orange rectangle. Below this box is box EEE. Box DDD covers another midsize orange rectangle. A midsize green rectangle and another midsize orange rectangle are in this box. Midsize orange rectangle number three is above midsize orange rectangle number two. Midsize orange rectangle number two touches the green object. The green object touches midsize orange rectangle number three. A midsize orange rectangle is inside and touching box EEE.",Where is the green shape relative to the midsize orange rectangle covered by EEE?,ABOVE FRONT DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,3,dc,dc,above
2,YN,0 0x1,We have one box named one. A green watermelon is in box one. Box one covers a big green melon and contains a small yellow melon. To the right of the yellow thing is the watermelon. The small yellow melon is above this thing. Above and to the right-hand side of the watermelon is the big fruit.,Do all boxes have all fruits?,No,Yes No,1,1,ntppi,ntppi,No
0,YN,0 1x0,A large red hexagon and a large red pentagon are in a block named HHH. Block HHH contains a large grey hexagon and covers a large purple hexagon. To the north of the large grey hexagon is the large red pentagon. The large grey hexagon is to the north of the large purple hexagon. Disconnected from and away from block HHH is another block called LLL. To the north of this block there is block HHH. A purple star is inside and touching and a large grey hexagon is within block LLL.,Is any block disconnected from the star?,Yes,Yes No,3,2,dc,dc,Yes
1,YN,0x1 0x0,A large green rectangle and a tiny dimond are in a box called DDD. Box DDD covers a midsize white oval which is in front of and close to the large green rectangle. Above and in front of the tiny dimond there is the large thing.,Are all green objects close to all things?,No,Yes No,1,1,near,near,No
1,YN,1x2 1x3,"Three boxes, called one, two and three exist. A medium green apple touches another medium green apple and is above another medium green apple. Medium green apple number one is in box two. Medium green apple number two is inside box two. Medium green apple number three is inside and touching box two. A medium yellow apple and medium green apple number three are below medium green apple number two. The medium yellow apple is inside box two. A medium yellow apple is inside and a medium green apple is covered by box three. The medium yellow apple is above the medium green apple.",Does any medium green apple touch medium green apple number one?,Yes,Yes No,1,1,ec,ec,No
4,FR,0x4 1,A block named AAA have a small blue square and a small black triangle. A medium yellow triangle is close to the small blue square. The medium yellow triangle is within block AAA. A big yellow circle is within block AAA. South of this object there is the object which was close to the small blue square. In front of this shape is the small black triangle. Away from and in front of another block named BBB there is block AAA. North of and disconnected from this block is block BBB. A medium black square is inside and touching this block.,Where is the small blue square relative to BBB?,BELOW FRONT FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,dc,dc,"front, away"
1,YN,1x1 1x2,A block called HHH contains a medium red hexagon. A medium purple hexagon and a medium grey hexagon are within this block. Under the medium grey hexagon is the medium purple hexagon. The medium grey hexagon is under and touches the medium red hexagon. There exists a block called LLL. Block LLL contains a medium purple hexagon which touches a medium red hexagon. Block LLL contains the medium red hexagon. Another medium purple hexagon is covered by this block.,Does any medium red hexagon touch a purple hexagon?,Yes,Yes No,1,1,ec,ec,Yes
0,YN,0x1 1x0,"There exist two blocks, named AAA and BBB. Block AAA has a medium yellow square and covers a medium blue square. Under the medium yellow square there is the blue shape. The medium yellow square touches this object. Block AAA is disconnected from block BBB. In front of this block is block BBB. This block covers a medium yellow square.",Does a medium yellow square touch all medium squares?,No,Yes No,4,3,ec,behind,No
0,YN,1 0x0,"A box named DDD covers a midsize orange rectangle. Another box called EEE covers this box. Two midsize orange rectangles are inside this box. Below midsize orange rectangle number two is midsize orange rectangle number one. Box EEE covers another midsize orange rectangle which touches this object. Above, behind and near to box DDD is another box named JJJ. Disconnected from this box there is box DDD. Box JJJ covers a white rectangle.",Do all boxes contain all objects?,No,Yes No,1,2,ntppi,ntppi,No
5,FR,1x0 0x0,"Two blocks, named AAA and BBB exist in the image. A medium blue square is inside and touching block AAA. Away from and in front of block AAA there is block BBB. North of and disconnected from this block is block AAA. A medium black square and a medium blue square are within block BBB. The black object touches a yellow square. The yellow square is inside and touching block BBB. The medium blue square is to the north of the object which touches the yellow shape.",Where is the yellow thing regarding the medium blue square covered by AAA?,BELOW FRONT FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,3,front,front,below
0,YN,0 1x3,"We have two blocks, called HHH and LLL. Disconnected from and on the left side of block LLL is block HHH with a medium purple hexagon. Above this block there is block LLL. Block HHH covers another medium purple hexagon. Block LLL contains a medium grey hexagon. A medium red hexagon is below another medium grey hexagon. The medium red hexagon is covered by block LLL. Medium grey hexagon number two is inside block LLL. Medium grey hexagon number one is above this object.",Are all blocks disconnected from any medium grey hexagon?,No,Yes No,1,2,dc,dc,No
2,YN,2 0x1,"There exist three blocks, called HHH, LLL and KKK. Block HHH is within block LLL. Under, disconnected from and on the right side of block LLL is block KKK. Block HHH contains a medium red hexagon. A medium red hexagon is within block LLL. A medium grey hexagon is in block KKK. Block KKK covers a medium red hexagon.",Is KKK under a medium red hexagon?,Yes,Yes No,3,3,below,below,No
1,YN,0x4 0x2,A block named AAA have a small blue square and a small black triangle. A medium yellow triangle is close to the small blue square. The medium yellow triangle is within block AAA. A big yellow circle is within block AAA. South of this object there is the object which was close to the small blue square. In front of this shape is the small black triangle. Away from and in front of another block named BBB there is block AAA. North of and disconnected from this block is block BBB. A medium black square is inside and touching this block.,Are all small things near to all things?,No,Yes No,1,1,near,near,No
5,FR,0 1x0,"There are two blocks, named HHH and LLL. Block HHH covers a purple hexagon. A medium red hexagon is inside this block. North of and touches the purple thing there is this thing. Disconnected from block HHH there is block LLL. South of, far from and west of this block there is block HHH. Block LLL covers a medium red hexagon.",Where is HHH regarding the medium red hexagon covered by block LLL?,LEFT BELOW FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,below,below,"north, far"
4,FR,2 1x0,A box called DDD covers a midsize green rectangle and contains another midsize green rectangle. To the south of and in front of this box there is another box called EEE. A midsize green rectangle is inside and touching this box. Box EEE is disconnected from another box called JJJ. To the south of and in front of this box there is box JJJ. This box covers a midsize green rectangle.,Where is JJJ regarding the midsize green rectangle covered by EEE?,BELOW FRONT DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,2,front,front,behind
4,FR,0 0x0,One box named one exists in the image. This box has a medium green apple. Another medium green apple is inside and touching and another medium green apple is within this box. Medium green apple number one is below medium green apple number three. Below and touches this fruit there is medium green apple number two. Medium green apple number three is over this thing.,Where is box one relative to medium green apple number two?,TPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,tppi,tppi,above
5,FR,0x1 0x0,One block named AAA exists. A big black circle is covered by block AAA. Block AAA contains a small square. To the east of the small square there is the circle.,Where is the square regarding the big thing?,LEFT,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,left,left,west
2,YN,2x1 2x0,"Three boxes, called one, two and three exist in the image. In box two is box three. A medium green apple is inside and touching box one. A small orange melon is within box two. Box two has a medium yellow watermelon which is on the left side of this thing. A big green watermelon and a small orange melon are inside box three. On the right side of a medium orange melon there is the big green watermelon. Box three has the medium orange melon. This box has another small orange melon. On the right side of small orange melon number two there is the medium orange melon. Small orange melon number one is below the big green watermelon.",Is any medium orange melon to the left-hand side of a fruit?,Yes,Yes No,1,1,left,left,Yes
0,YN,1x0 0x0,"There exist three boxes, named one, two and three. Box three is to the north of box two and is west of box one. Disconnected from and west of this box is box two. Box one covers a medium green apple. A medium green apple is covered by and a medium yellow apple is in box two. Box three covers a medium yellow apple.",Is a fruit west of a medium green apple?,Yes,Yes No,3,4,left,left,Yes
2,YN,0 1,"There are two blocks, named HHH and LLL. Block LLL overlaps block HHH. Block HHH contain a medium purple hexagon and two medium red hexagons. This block covers another medium purple hexagon. Medium red hexagon number two is north of medium purple hexagon number two. South of this shape there is medium purple hexagon number one. Medium purple hexagon number two touches this shape. Block LLL covers a medium purple hexagon and contains a medium grey hexagon. To the south of the grey shape is the medium purple hexagon.",Does any block overlap LLL?,Yes,Yes No,1,1,po,po,Yes
5,FR,0x1 1x3,"Two boxes, called DDD and EEE exist. To the south of, disconnected from, away from and in front of box EEE there is box DDD. This box covers a midsize white rectangle. A midsize green rectangle is in this box. The midsize white rectangle touches this thing. Box EEE has a midsize green rectangle. To the south of another midsize green rectangle there is the midsize green rectangle. Midsize green rectangle number two is within box EEE. A midsize white rectangle is inside and touching box EEE. This shape touches the shape which was to the south of midsize green rectangle number two.",What is the position of the midsize green rectangle in box DDD regarding midsize green rectangle number two?,BELOW FRONT FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,3,far,far,north
6,FR,1 0,A midsize orange rectangle is inside and touching a box named DDD. Above and in front of box DDD is another box named EEE. Box DDD is disconnected from and near to this box. A midsize orange rectangle is over and touches another midsize orange rectangle. Midsize orange rectangle number one is within box EEE. Box EEE covers midsize orange rectangle number two.,Where is EEE regarding DDD?,ABOVE FRONT NEAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,near,near,"above, near"
3,YN,0x2 1,"Two blocks, named HHH and LLL exist in the image. On the left side of block HHH is block LLL. Over this block there is block HHH. A large red hexagon is covered by and a large purple star is in block HHH. A medium purple star is covered by and a medium purple pentagon is within block LLL. The medium purple star are below another medium purple star and the medium purple pentagon. Block LLL have a little purple pentagon, medium purple star number two and a little grey hexagon. To the right-hand side of the little purple pentagon is the little grey hexagon.",Are all purple stars to the right of any block?,No,Yes No,2,2,right,right,No
2,YN,0x1 0x3,One block named AAA exists in the image. A medium black square is covered by and a big yellow object is within block AAA. Block AAA have a medium blue object and another medium black square. To the east of the big yellow object there is medium black square number two. The blue thing is east of and the yellow shape is to the north of this object. Medium black square number one is to the north of and to the east of medium black square number two. Close to this object is the medium blue object.,Are all medium blue objects to the east of a shape?,Yes,Yes No,1,2,right,right,No
2,YN,1x1 1x0,"We have two boxes, named one and two. Inside box two there is box one with a medium yellow apple. This box covers another medium yellow apple. Another medium yellow apple is in this box. To the north of medium yellow apple number two is this thing. To the north of medium yellow apple number two is medium yellow apple number one. A medium yellow apple is covered by and another medium yellow apple is inside box two. Medium yellow apple number one touches and medium yellow apple number two is to the north of a medium green fruit. Box two contains the medium green fruit. South of medium yellow apple number two there is the thing that touches the green fruit.",Does a medium green fruit touch all medium yellow apples?,No,Yes No,1,1,ec,ec,No
2,YN,0x0 0,One block named AAA exists. This block have a medium blue object and a medium yellow object. This block covers a medium black square. Another medium black square is within this block. Medium black square number two touches the yellow shape. Under and touches the medium blue object is this thing. The medium yellow object and medium black square number one are below this thing.Over medium black square number one there is the yellow shape.,Is medium black square number one covered by all blocks?,Yes,Yes No,1,1,tpp,tpp,No
3,YN,0x0 0x2,"We have two boxes, named DDD and EEE. Box EEE is to the south of box DDD. Box DDD contain a midsize orange rectangle and a midsize white rectangle. This box covers a midsize green rectangle. To the south of the midsize orange rectangle is the midsize green rectangle. The midsize orange rectangle is to the south of the midsize white rectangle. Box EEE have a midsize orange rectangle and a midsize white rectangle. A midsize green rectangle is covered by this box. To the south of the midsize white rectangle there is this thing. To the north of the midsize orange rectangle there is the midsize white rectangle. To the north of the midsize green rectangle there is the midsize orange rectangle.",Are all midsize green shapes to the south of any midsize white rectangle?,Yes,Yes No,1,2,below,below,Yes
7,FR,0 1,"Two blocks, called AAA and BBB exist in the image. Block AAA is over and behind block BBB. Block BBB is near to this block. A medium black square is inside and touching block AAA. A medium blue shape is covered by block BBB. This thing is under and a medium black square touches a medium yellow square. Block BBB has the medium yellow square. This block contains the medium black square. Over the medium blue shape there is the medium black square. The yellow shape is below this object.",What is the position of block AAA relative to block BBB?,ABOVE BEHIND NEAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,near,near,behind
6,FR,0x0 1,"There exist two boxes, named DDD and EEE. North of and behind box DDD is box EEE. Box DDD with a midsize green rectangle is disconnected from and farther from this box. A midsize orange rectangle is covered by box DDD. This object is south of and touches the green shape. A midsize orange rectangle is inside and touching box EEE.",Where is the midsize orange rectangle covered by DDD regarding EEE?,BELOW FRONT FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,2,below,below,south
4,FR,0x0 0x2,There is one block named AAA. A medium yellow square is covered by block AAA. Block AAA contain a blue square and another medium yellow square. Below the blue object there is medium yellow square number one. The blue square touches this thing. Below and touches medium yellow square number two there is this shape.,What is the position of medium yellow square number one regarding medium yellow square number two?,BELOW,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,below,below,below
6,FR,1x5 0,"We have two boxes, called DDD and EEE. Disconnected from and in front of box EEE there is box DDD with a tiny orange oval. Box EEE is north of and away from this box. Box DDD covers a tiny white oval. A large green dimond is inside and touching and a midsize orange oval is in box EEE. Box EEE has a tiny white rectangle and covers a midsize white dimond.",Where is the midsize orange oval relative to DDD?,ABOVE BEHIND FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,above,above,behind
3,YN,0x0 0x1,"We have two boxes, called DDD and EEE. Box DDD with a midsize green rectangle is behind box EEE. A midsize white rectangle and another midsize green rectangle are within box DDD. Box DDD covers another midsize green rectangle. Midsize green rectangle number one and midsize green rectangle number three are under the midsize white rectangle. Under midsize green rectangle number two there is the midsize white rectangle. Midsize green rectangle number one and midsize green rectangle number two are over midsize green rectangle number three. A midsize white rectangle is inside box EEE. Box EEE contains a midsize orange rectangle. Above the midsize white rectangle there is the midsize orange rectangle.",Is midsize green rectangle number three below midsize green rectangle number one?,Yes,Yes No,1,1,below,below,No
2,FR,1x0 1x1,"There are two boxes, called DDD and EEE. A tiny green rectangle is within box DDD. Box DDD has a tiny green dimond which is to the left of a tiny orange oval and is below this shape. Box DDD covers the tiny orange oval. Under the tiny green rectangle there is the oval. Box DDD has box EEE. A midsize white rectangle is near to and a large green dimond is on the right side of a midsize orange dimond. Box EEE has the midsize orange dimond. This box covers the midsize white rectangle. The large green dimond is inside and touching this box. On the right side of the midsize white rectangle is the shape which was on the right side of the midsize orange dimond.",Where is the midsize orange dimond regarding the midsize white rectangle?,NEAR,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,far,near,right
6,FR,1x1 1,A box called one covers a medium green apple. Covered by another box named two is this box. Box two covers a medium green apple which is under a medium yellow apple. Below and touches another medium green apple there is this thing. Box two has the medium yellow apple. This box contains medium green apple number two. Another medium yellow apple is in this box. Medium green apple number two is under medium yellow apple number two.,Where is medium green apple number two regarding box two?,NTPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ntpp,ntpp,inside
6,FR,2x0 2,A block called AAA exists in the image. Block AAA is to the west of and near to another block named BBB. Block BBB contains a medium yellow square. Block AAA overlaps another block named CCC. Block CCC covers a medium yellow square. To the north of and touches medium yellow square number one there is another medium yellow square. Medium yellow square number two is inside block CCC.,Where is medium yellow square number one regarding CCC?,TPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,tpp,tpp,po
2,YN,0 1,"We have two blocks, called HHH and LLL. Block LLL with a little grey hexagon overlaps block HHH. A large grey hexagon, a medium purple star and a little purple pentagon are in this block. Block LLL covers another large grey hexagon. A large red star is covered by this block. Large grey hexagon number two is over the little grey hexagon. Above the medium thing there is large grey hexagon number one. Above this shape is the little purple pentagon.",Does any block overlap all blocks?,No,Yes No,1,1,po,po,No
1,YN,1x3 1x2,"There exist three boxes, called one, two and three. Box one covers a medium orange apple. A medium orange apple and a medium yellow apple are inside box two. Box two has a medium green apple and covers another medium orange apple. The green fruit is to the north of medium orange apple number one. To the north of and touches medium orange apple number one is the medium yellow apple. North of medium orange apple number two there is medium orange apple number one. The thing which touches medium orange apple number one touches the green fruit. A medium yellow apple is inside box three. Box three contains a medium orange apple. The medium orange apple touches the medium yellow apple.",Do all medium green apples touch all medium yellow apples?,No,Yes No,1,1,ec,ec,No
7,FR,1x0 0x3,"There are two blocks, called AAA and BBB. Disconnected from, away from and in front of block AAA there is block BBB. Block AAA has a medium blue circle and covers a small yellow circle. A medium yellow triangle is inside and touching this block. A big yellow circle and a small blue circle are inside block BBB. Block BBB has a small blue square.",What is the position of the small blue circle regarding the medium yellow triangle?,FRONT FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,3,far,far,far
6,FR,1x1 1x0,A box called one covers a medium yellow apple and contains a medium orange apple. Below the medium orange apple is the medium yellow apple. There exists a box called two. A medium green apple is within and a medium orange apple is inside and touching box two. Under a medium yellow apple is the medium green apple. Box two has the medium yellow apple. The medium orange apple is under the medium green apple. Another box called three with a medium yellow apple covers box two. Another medium yellow apple is inside and touching and a medium orange apple is in this box. Medium yellow apple number two are below medium yellow apple number one and the medium orange apple. Above the medium orange apple there is medium yellow apple number one.,Where is the medium green apple regarding the medium orange apple covered by box two?,ABOVE,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,above,above,above
5,FR,0 1x1,"Two blocks, named AAA and BBB exist in the image. Block AAA is south of and far from block BBB. Block BBB is behind and disconnected from this block. A medium black square is covered by block AAA. A medium black square is covered by and a medium blue square is within block BBB. To the north of and touches the medium black square is the blue shape.",What is the position of AAA relative to the blue shape?,BELOW FRONT FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,2,far,far,"south, far"
6,FR,1 0,A midsize orange rectangle is inside and touching a box named DDD. Above and in front of box DDD is another box named EEE. Box DDD is disconnected from and near to this box. A midsize orange rectangle is over and touches another midsize orange rectangle. Midsize orange rectangle number one is within box EEE. Box EEE covers midsize orange rectangle number two.,Where is EEE regarding DDD?,ABOVE FRONT NEAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,near,near,"above, near"
3,YN,1x1 1x2,"Two blocks, named AAA and BBB exist in the image. A small blue circle is inside block AAA. North of and in front of block BBB there is block AAA. Block BBB with a big yellow square is disconnected from this block. The yellow thing is behind a big blue triangle. The big blue triangle is inside and touching block BBB. Block BBB covers a big blue circle. A small blue triangle is in this block. The big blue triangle and the small blue triangle are in front of the big blue circle. Near to the big blue triangle is the small blue triangle.",Is any big shape in front of all big yellow squares?,Yes,Yes No,1,1,front,front,Yes
5,FR,0 0x2,One box called DDD exists. This box covers a midsize green rectangle and has a midsize white rectangle. Another midsize white rectangle is within this box. The midsize green rectangle touches midsize white rectangle number one. Above and touches midsize white rectangle number one is midsize white rectangle number two. Midsize white rectangle number one is above the midsize green rectangle.,What is the position of box DDD relative to midsize white rectangle number two?,NTPPI,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ntppi,ntppi,above
0,YN,0x1 1x3,"Two boxes, called DDD and EEE exist. A tiny green dimond is covered by box DDD. Box DDD covers a large orange rectangle and has a tiny orange dimond. Box EEE with a large white oval is behind and disconnected from this box. Box DDD is above this box. A large orange rectangle is covered by box EEE.",Is any tiny thing in front of a large orange rectangle?,Yes,Yes No,4,3,front,front,Yes
4,FR,1x1 1x0,"There exist two blocks, called HHH and LLL. A medium purple hexagon is covered by block HHH. Block HHH has a medium red hexagon. The medium purple hexagon touches the medium red hexagon. Block HHH overlaps block LLL. A medium red hexagon is inside and a medium purple hexagon is covered by block LLL. The medium purple hexagon touches the medium red hexagon.",Where is the medium red hexagon in block LLL relative to the medium purple hexagon covered by LLL?,EC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ec,ec,tpp
0,YN,1x5 1x4,"Two boxes, named DDD and EEE exist. Box DDD contains a tiny green oval and covers a midsize orange dimond. The tiny green oval are west of a tiny white dimond and the midsize orange dimond. The tiny white dimond and a large white oval are within box DDD. The tiny white dimond is to the east of the large white oval. Box EEE with a tiny white dimond and a tiny green rectangle is within box DDD. A tiny orange oval is near to and a large white rectangle is to the east of the tiny green rectangle. The tiny orange oval is inside box EEE. Box EEE covers the large white rectangle. Near to the tiny white dimond there is a midsize orange oval. The midsize orange oval is inside box EEE. The tiny white dimond is to the west of the shape which was east of the tiny green rectangle.",Are all tiny green rectangles near to any tiny shape?,Yes,Yes No,1,1,near,near,No
2,YN,2 2x0,A medium blue shape is within a block named AAA. Another block called BBB is north of and disconnected from block AAA. In front of this block is block AAA. A medium yellow square is within and another medium yellow square is covered by block BBB. Medium yellow square number two touches medium yellow square number one. North of this shape is medium yellow square number one. There is a block called CCC. A medium black square is inside and touching block CCC. Block CCC contains a medium yellow square. The medium yellow square touches the black thing.,Does a block cover the black shape?,Yes,Yes No,1,1,tppi,tppi,The answer is: Yes
3,FR,0x0 0,We have one block called AAA. A small yellow triangle is in block AAA. Block AAA covers a big blue triangle which is to the east of this object. Near to a big yellow triangle there is the small yellow triangle. Block AAA has the big yellow triangle. To the east of the big yellow triangle there is the big blue triangle. North of this object is the big yellow triangle. Block AAA has a blue circle.,Where is the big blue triangle relative to block AAA?,TPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,tpp,tpp,"The correct answer is: below, east, po"
2,YN,1x1 1,"Three boxes, called one, two and three exist in the image. Box one is disconnected from and box three has box two. Over box one there is box two. This box contain a small green watermelon and a small orange watermelon. Above and to the left of another small green watermelon is a medium yellow fruit. The medium fruit is within box two. Small green watermelon number two is inside and touching box two. Small green watermelon number one is to the left-hand side of the medium fruit. Box two covers a small green apple. Over the small green apple is the small orange watermelon.",Are all small green apples covered by all boxes?,No,Yes No,1,1,tpp,tpp,No
2,YN,0x2 2x1,"Three boxes, called one, two and three exist in the image. Disconnected from box one there is box three. Box one is to the south of, farther from and east of this box. A medium orange apple and a medium yellow fruit are in box one. Box one covers another medium orange apple. Medium orange apple number two is south of and the yellow fruit is to the north of medium orange apple number one. A medium orange apple is covered by box three. Box three contains a medium green apple.",Is a medium yellow fruit far from the medium green apple?,Yes,Yes No,2,3,far,far,Yes
1,YN,0x1 2x0,"Three boxes, called one, two and three exist in the image. Disconnected from box one there is box three. Box one is to the south of, farther from and east of this box. A medium orange apple and a medium yellow fruit are in box one. Box one covers another medium orange apple. Medium orange apple number two is south of and the yellow fruit is to the north of medium orange apple number one. A medium orange apple is covered by box three. Box three contains a medium green apple.",Is medium orange apple number one away from a medium orange fruit?,Yes,Yes No,3,3,far,far,No
6,FR,0x2 0x1,A box named one have three medium green apples. Medium green apple number two is to the north of and a medium orange thing is to the south of medium green apple number three. To the south of and touches medium green apple number three there is medium green apple number one. Box one covers the orange thing. To the south of the fruit which touches medium green apple number three there is the medium orange thing. Another box called two is inside and touching box one. This box covers a medium yellow apple.,Where is medium green apple number three relative to medium green apple number one?,ABOVE EC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,1,ec,ec,above
6,FR,2x2 0,A block called AAA contain a medium yellow square and a medium blue square. The medium yellow square touches the medium blue square. Above block AAA there is another block named BBB with a medium black square. Block AAA is disconnected from and away from this block. In this block there is another block called CCC with a medium blue square and a medium black square.,Where is the medium black square in CCC regarding AAA?,NTPP,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,2,2,ntpp,ntpp,above
0,YN,1x3 0x1,"We have two blocks, called AAA and BBB. North of, disconnected from and far from block BBB there is block AAA with a medium blue square. Block BBB is behind this block. This block have a medium yellow square and a medium blue square. This block covers another medium blue square.",Is the medium yellow square away from any medium blue square?,Yes,Yes No,4,3,far,far,Yes
1,YN,0x1 1x1,A midsize orange rectangle is within a box named DDD. Box DDD contains a green rectangle which is to the north of a midsize white rectangle. Box DDD covers the midsize white rectangle. The midsize orange rectangle is to the north of the green shape. Disconnected from and farther from box DDD is another box named EEE. A midsize white rectangle is inside and a midsize orange rectangle is covered by this box.,Is the green rectangle far from a midsize white rectangle?,Yes,Yes No,5,3,far,far,No
6,FR,1x0 0,"Two blocks, named AAA and BBB exist in the image. Block AAA is south of and far from block BBB. Block BBB is behind and disconnected from this block. A medium black square is covered by block AAA. A medium black square is covered by and a medium blue square is within block BBB. To the north of and touches the medium black square is the blue shape.",What is the position of the medium black square covered by BBB regarding AAA?,ABOVE BEHIND FAR DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,1,2,dc,dc,"behind, far"
2,YN,0x5 0x1,"There are two boxes, called DDD and EEE. Box DDD contains box EEE. This box cover a tiny green dimond, a midsize orange oval and a large orange oval. A tiny green oval and a tiny white dimond are to the right-hand side of the tiny green dimond. The tiny green oval, the tiny white dimond and a large white dimond are in box DDD. The midsize object is below the tiny green oval. To the left of the large white dimond there is the tiny green dimond. The large orange oval touches the tiny green oval. Above the tiny white dimond there is the large white dimond. A tiny white dimond is within box EEE. Box EEE contain a tiny green rectangle and a tiny white rectangle. To the left of the tiny green rectangle is the tiny white dimond. The tiny white rectangle is to the left-hand side of this object.",Are all dimonds above the tiny green oval?,No,Yes No,1,1,above,left,No
4,FR,0 1x2,"A block called AAA has a medium black square. A medium blue square is covered by this block. Another block named BBB is above, behind and disconnected from block AAA. Two medium black squares and a yellow square are inside this block. A medium blue square is inside and touching block BBB.",What is the position of AAA regarding the yellow thing?,BELOW FRONT DC,left right above below behind front near far dc ec po tpp ntpp tppi ntppi,3,2,dc,dc,below
3,YN,0 0x0,A medium green apple is covered by and another medium green apple is inside a box called one. Box one has an orange apple. Above the orange thing there is medium green apple number two. The orange fruit is above medium green apple number one. Medium green apple number one touches this fruit.,Does any box cover medium green apple number one?,Yes,Yes No,1,1,tppi,tppi,Yes
