ID,Story,Question,Label
1687,Q is positioned in the front right corner of R. S is at the 12 o'clock position relative to R. C is on the same horizontal plane directly right to S. The object L is upper and slightly to the left of the object G. Q is to the left of G and below G at approximately a 45 degree angle. D presents lower left to C.,What is the relation of the agent Q to the agent D?,upper-right
1688,L is at K’s 9 o'clock. U is sitting in the left direction of I. The object Q is lower and slightly to the right of the object M. L and M are both there with the object L is to the left of object M. J is on the right side and top of I. U is placed at the lower left of Q.,What is the relation of the agent Q to the agent K?,lower-right
1689,D is above and to the left of P. R is north east of S. L is sitting at the upper left position to I. L is at the bottom of S and is on the same vertical plane. I and B are horizontal and I is to the right of B. D and B are both there with the object D is to the left of object B.,What is the relation of the agent I to the agent D?,overlap
1690,B is above and to the right of S. The object S is positioned directly above the object F. W is positioned above and to the left of P. P is diagonally below C to the right at a 45 degree angle. B is over C. F is below and to the right of G.,What is the relation of the agent P to the agent S?,lower-right
1691,R is to the top-left of X. Q is over there and L is at the bottom of it. Q is positioned left to N. S is over there and O is directly above it. X and N are next to each other with N on the right and X on the left. S is over there with R below.,What is the relation of the agent N to the agent R?,lower-right
1692,The objects Q and W are over there. The object Q is lower and slightly to the left of the object W. W is on the lower left of U. U and T are side by side with T at the bottom and U on the top. I is on the upper right of Y. Y is diagonally left and above Y. The object I is upper and slightly to the right of the object G.,What is the relation of the agent Q to the agent W?,lower-left
1693,The object N is lower and slightly to the left of the object H. K is over there and B is at the bottom of it. J is on the left side of and below L. N is sitting at the top position to K. C is sitting at the lower left position to H. L presents upper right to B.,What is the relation of the agent H to the agent L?,above
1694,O is lower right of J. O is diagonally below S to the left at a 45 degree angle. The object J and Y are there. The object J is below and slightly to the right of the object Y. V is north west of L. Y is on the same vertical plane directly above W. V is above S and to the right of S.,What is the relation of the agent S to the agent J?,right
1695,M is diagonally left and above M. D is to the top-right of P. M is there and G is at the 2 position of a clock face. P is positioned below and to the right of G. R is sitting at the upper left position to T. W is placed at the upper right of T.,What is the relation of the agent D to the agent M?,upper-right
1696,"If Q is the center of a clock face, C is located between 10 and 11. U and P are parallel, and U is to the right of P. C is positioned below G and to the right. G presents below O. U and O are in a vertical line with O below U. Object S is below object P and to the left of it, too.",What is the relation of the agent S to the agent P?,lower-left
1697,D is on the right side and below J. R is to the bottom-right of Z. R presents upper left to M. O is over there with M above. I is sitting at the lower right position to J. O is positioned above D and to the right.,What is the relation of the agent I to the agent O?,lower-left
1698,"J is south west of G. B and X are parallel, and B on the right of X. X is on the right side and top of G. H is at B’s 9 o'clock. M is at the 3 o'clock position relative to J. H and R are side by side with R at the bottom and H on the top.",What is the relation of the agent G to the agent X?,lower-left
1699,"U is below and to the left of N. N is placed on the top of V. If O is the center of a clock face, U is located between 7 and 8. T is below and to the right of G. Object D is above object O and to the left of it, too. V and G are horizontal and V is to the right of G.",What is the relation of the agent T to the agent D?,lower-right
1700,The object I is positioned directly above the object M. I is diagonally above Y to the right at a 45 degree. Y is positioned down and to the left of D. W is positioned above M and to the right. K and W are horizontal and K is to the left of W. O is on the same vertical plane directly below D.,What is the relation of the agent K to the agent D?,overlap
1701,"The object S is positioned below and to the left of the object Y. F is positioned above and to the left of B. K presents left to F. If S is the center of a clock face, J is located between 7 and 8. Y is over K. B is at a 45 degree angle to N, in the upper lefthand corner.",What is the relation of the agent B to the agent Y?,lower-right
1702,"The object A is lower and slightly to the right of the object C. H and A are parallel, and H is on top of A. H is on the right side to R. Y and Q are side by side with Q at the bottom and Y on the top. Y is to the right of R with a small gap between them. The objects C and N are over there. The object C is lower and slightly to the left of the object N.",What is the relation of the agent H to the agent N?,below
1703,P is diagonally to the bottom right of D. F is at the 3 o'clock position relative to W. P is diagonally to the upper right of A. V is at the bottom of W. D is over there and V is on the top of it. F is to the top right of J.,What is the relation of the agent P to the agent F?,below
1704,"O is diagonally to the upper right of M. O is there and I is at the 10 position of a clock face. If Q is the center of a clock face, E is located between 10 and 11. M is sitting at the 12:00 position to N. J is upper left of I. N is at the lower side of Q.",What is the relation of the agent N to the agent I?,below
1705,D is sitting at the lower left position to J. J is there and U is at the 10 position of a clock face. R is above U at 10 o'clock. D is positioned below N and to the right. The object labeled W is positioned to the left of the object labeled G. G is to the left of N.,What is the relation of the agent R to the agent W?,right
1706,F is over there and W is on the left. U is positioned up and to the right of R. C is upper right to F. R is over there and Z is directly above it. The objects U and M are over there. The object U is above and slightly to the right of the object M. M and W are both there with the object M above the object W.,What is the relation of the agent W to the agent M?,below
1707,W is upper right to T. M is to the left of V and is on the same horizontal plane. V and X are side by side with V to the left and X to the right. X is slightly off center to the top left and E is slightly off center to the bottom right. W is positioned right to O. M is south east of O.,What is the relation of the agent M to the agent V?,left
1708,"F is diagonally right and above N. H is sitting at the lower left position to E. B is positioned below F. B is upper right to U. If E is the center of a clock face, Z is located between 7 and 8. N and H are vertical and N is below H.",What is the relation of the agent N to the agent H?,below
1709,"O is above and to the right of V. C is sitting at the lower right position to F. P presents over G. T is placed at the upper right of G. P is at the bottom of F and is on the same vertical plane. Object O is below object C and to the right of it, too.",What is the relation of the agent V to the agent F?,lower-right
1710,"D is sitting at the top position to R. Q is to the left of R and is on the same horizontal plane. L and Q are parallel, and L is to the right of Q. L is directly north west of A. N is at the 6 o'clock position relative to T. T is sitting at the upper right position to A.",What is the relation of the agent Q to the agent R?,left
1711,"N presents upper left to R. V is at a 45 degree angle to O, in the upper righthand corner. P is diagonally to the upper right of B. V is positioned up and to the right of R. P and N are parallel, and P on the left of N. B is slightly off center to the top left and Y is slightly off center to the bottom right.",What is the relation of the agent B to the agent O?,left
1712,F is at the 3 o'clock position relative to Q. The object M is positioned directly above the object K. A is placed on the top of J. F is to the top right of A. J is on the left side of and below U. The objects U and M are over there. The object U is above and slightly to the right of the object M.,What is the relation of the agent M to the agent U?,lower-left
1713,"The object U is positioned below and to the right of the object S. Object J is above object R and to the right of it, too. X is sitting at the 3:00 position to S. M is positioned below U and to the left. Q is directly south east of X. M and J are side by side with M on the top and J at the bottom.",What is the relation of the agent M to the agent Q?,above
1714,W is positioned above L. The object X is positioned below and to the left of the object Y. W is positioned left to U. L is positioned below E and to the right. F is placed on the top of Y. U presents lower left to X.,What is the relation of the agent X to the agent F?,lower-left
1715,K is diagonally left and below Y. K is above and to the left of E. V is directly north west of E. I is diagonally below R to the left at a 45 degree angle. R is north east of F. F is on the same horizontal plane directly right to Y.,What is the relation of the agent K to the agent I?,lower-left
1716,K is over there with R above. E is under M. M is positioned above H. U and E are both there with the object U above the object E. C is at U's 12 o'clock. K is to the right of C horizontally.,What is the relation of the agent K to the agent R?,below
1717,The object I is lower and slightly to the right of the object W. H is at the 3 o'clock position relative to M. I is at the bottom and O is on the top. E is positioned above and to the left of O. W and C are both there with the object W is to the left of object C. C is at M's 12 o'clock.,What is the relation of the agent I to the agent E?,lower-right
1718,"D is to the bottom-right of W. J is on the left side of and below B. If W is the center of a clock face, B is located between 4 and 5. J is sitting at the 12:00 position to K. The objects H and F are over there. The object H is lower and slightly to the left of the object F. H and K are side by side with H to the left and K to the right.",What is the relation of the agent K to the agent H?,right
1719,"U is lower left to O. E is below R at 4 o'clock. A is over there and E is on the left. N is sitting at the lower position to U. A and J are parallel, and A on the right of J. O is above J and to the right of J.",What is the relation of the agent O to the agent J?,upper-right
1720,I and E are horizontal and I is to the left of E. S is to the top of I vertically. X is placed on the top of C. C and G are vertical and C is above G. E is placed at the lower left of W. S is below G at 4 o'clock.,What is the relation of the agent W to the agent I?,upper-right
1721,"G is diagonally right and above V. F is there and C is at the 2 position of a clock face. L is directly north east of W. V and C are parallel, and C is below V. W is above and to the right of A. G and A are both there with the object G above the object A.",What is the relation of the agent W to the agent C?,upper-right
1722,"If E is the center of a clock face, L is located between 10 and 11. E is diagonally above M to the left at a 45 degree angle. F is diagonally to the bottom left of L. The object P is lower and slightly to the left of the object F. C is to the top-left of T. If P is the center of a clock face, C is located between 7 and 8.",What is the relation of the agent F to the agent T?,upper-right
1723,"V is sitting in the right direction of W. X is sitting at the lower left position to Z. W is below R at 7 o'clock. V is below and to the left of X. Z and E are parallel, and Z on the right of E. The object labeled R is positioned to the left of the object labeled K.",What is the relation of the agent V to the agent X?,lower-left
1724,E is over there and F is directly below it. O is on the lower right of F. M is on the top side to U. Q is placed on the top of E. M is above O with a small gap between them. P is positioned left to U.,What is the relation of the agent U to the agent F?,lower-right
1725,U is on the lower left of D. F is there and M is at the 10 position of a clock face. The object M is positioned directly below the object E. F is placed on the top of D. I is diagonally below U to the left at a 45 degree angle. T is on the left side of and below E.,What is the relation of the agent D to the agent F?,below
1726,V and C are both there with the object V is to the right of object C. Y is positioned in the lower right corner of K. H presents lower left to V. Y is at the bottom of X vertically. Z and K are in a horizontal line with Z on the left. C is placed at the bottom of Z.,What is the relation of the agent Y to the agent H?,lower-right
1727,R is to the left of M. G is diagonally above Y to the right at a 45 degree. O is positioned above and to the left of H. G and R are both there with the object G is to the right of object R. O is positioned above I. M is to the left of I with a small gap between them.,What is the relation of the agent I to the agent M?,right
1728,"T and E are both there with the object T above the object E. R is directly north west of A. U is at the lower side of T. Object E is above object Y and to the left of it, too. Y is above D at 10 o'clock. U is below A and to the right of A.",What is the relation of the agent Y to the agent E?,lower-right
1729,U is below E and to the left of E. Y is placed in the left direction of U. The object M is positioned directly below the object C. V is positioned above and to the left of F. Y is lower right of M. C is sitting at the 9:00 position of V.,What is the relation of the agent U to the agent C?,lower-right
1730,V is to the right of N and is on the same horizontal plane. N is at R's 3 o'clock. G is on the left and O is on the right. P and V are both there with the object P above the object V. O is positioned left to M. R is sitting at the 9:00 position of G.,What is the relation of the agent V to the agent N?,right
1731,"X is north east of Q. E and K are parallel, and E on the right of K. H is at K's 3 o'clock. X is directly south east of J. Q is to the right of C with a small gap between them. C is on the right and E is on the left.",What is the relation of the agent J to the agent Q?,above
1732,"L is on the left side of and below H. C is placed at the lower right of U. K is to the top of C vertically. Y is on the same horizontal plane directly right to K. T is directly below Y. T is at a 45 degree angle to L, in the lower lefthand corner.",What is the relation of the agent T to the agent C?,right
1733,"F is above T and to the right of T. Q is directly north east of E. B is on the right side and below Q. T is sitting at the lower position to Z. B is above X at 10 o'clock. Object E is below object F and to the right of it, too.",What is the relation of the agent Z to the agent Q?,left
1734,U is directly above O. C is upper left of Y. C and V are both there with the object C is to the right of object V. The object J is positioned above and to the left of object N. V is at N’s 9 o'clock. Y is on the lower left of O.,What is the relation of the agent Y to the agent C?,lower-right
1735,U is above H and to the right of H. The object C is positioned above and to the right of the object U. Q is placed at the upper left of H. S is positioned up and to the right of Q. Y is placed on the top of C. E is diagonally left and below Y.,What is the relation of the agent H to the agent C?,lower-left
1736,"F is at I's 12 o'clock. H is to the left of I and below I at approximately a 45 degree angle. A and H are parallel, and A on the right of H. G is over there and S is on the left. S and R are next to each other with S on the left and R on the right. A is at G's 3 o'clock.",What is the relation of the agent G to the agent R?,overlap
1737,"Y is slightly off center to the top left and C is slightly off center to the bottom right. P is at a 45 degree angle to C, in the upper lefthand corner. R is above Y and to the left of Y. E is above and to the right of A. The object A is lower and slightly to the right of the object K. K is sitting in the right direction of R.",What is the relation of the agent Y to the agent C?,upper-left
1738,The object R is lower and slightly to the left of the object V. D is slightly off center to the top left and W is slightly off center to the bottom right. X presents right to V. The object O is positioned below and to the right of the object D. W is positioned right to J. X and O are next to each other with X on the left and O on the right.,What is the relation of the agent X to the agent V?,right
1739,"S is to the top-right of V. G is positioned above V and to the right. S is below H and to the left of H. G is to the right and above W at an angle of about 45 degrees. W and T are parallel, and W is to the left of T. Z and T are side by side with Z to the left and T to the right.",What is the relation of the agent W to the agent S?,lower-left
1740,O is above T at 10 o'clock. L presents left to W. P and G are both there with the object P is to the right of object G. W is positioned below R and to the right. O is directly south east of L. G is diagonally below T to the right at a 45 degree angle.,What is the relation of the agent L to the agent G?,upper-left
1741,X is upper right to P. L is to the top right of D. O and X are side by side with O to the right and X to the left. The object N and G are there. The object N is below and slightly to the right of the object G. The object O is lower and slightly to the right of the object L. P is to the top of N vertically.,What is the relation of the agent G to the agent X?,lower-left
1742,S is positioned above J and to the right. X is at the bottom of Z and is on the same vertical plane. W is sitting at the upper right position to X. S is at D’s 9 o'clock. The object D and W are there. The object W is above and slightly to the left of the object D. Z is positioned above I.,What is the relation of the agent X to the agent D?,left
1743,H is at A's 3 o'clock. S is there and Y is at the 10 position of a clock face. U is diagonally above H to the left at a 45 degree angle. D is below L and to the left of L. D and U are side by side with U at the bottom and D on the top. S and L are horizontal and S is to the right of L.,What is the relation of the agent S to the agent D?,above
1744,I is under M. N is on the left side of and below T. H and T are in a vertical line with T below H. I is sitting at the lower position to H. M is below and to the right of L. J is slightly off center to the top left and L is slightly off center to the bottom right.,What is the relation of the agent J to the agent L?,upper-left
1745,"L is to the right of Q. L is to the right of R with a small gap between them. If Q is the center of a clock face, P is located between 2 and 3. I is to the bottom right of Y. H is placed on the top of P. I is at H's 6 o'clock.",What is the relation of the agent Q to the agent R?,overlap
1746,"W is positioned above G. H and D are parallel, and H is to the left of D. N is to the right and above L at an angle of about 45 degrees. B and G are in a horizontal line with B on the left. L is slightly off center to the top left and B is slightly off center to the bottom right. N is to the top-left of H.",What is the relation of the agent G to the agent D?,upper-left
1747,"S and R are parallel, and S is to the left of R. W is positioned below A and to the right. R is to the upper left of K. The object S is positioned directly above the object D. J is on the same horizontal plane directly left to W. J and K are side by side with K at the bottom and J on the top.",What is the relation of the agent A to the agent K?,above
1748,E and P are side by side with P at the bottom and E on the top. G is placed in the right direction of Y. N is directly below P. The object N is upper and slightly to the left of the object S. S is sitting at the 6:00 position to G. Y is directly below R.,What is the relation of the agent G to the agent E?,lower-right
1749,"C and H are parallel, and C is to the right of H. X is above I at 2 o'clock. I is to the right of S with a small gap between them. S is on the same vertical plane directly below U. X is positioned in the lower left corner of C. H is above K and to the right of K.",What is the relation of the agent K to the agent X?,right
1750,O is to the right and above C at an angle of about 45 degrees. J is to the bottom left of F. C is positioned below J. F and W are both there with the object F is to the right of object W. I is there and N is at the 10 position of a clock face. O is at the 3 o'clock position relative to N.,What is the relation of the agent O to the agent J?,left
1751,"M is diagonally right and above I. X is south west of O. M presents lower right to X. E and U are parallel, and E on the right of U. The object I is upper and slightly to the left of the object U. Q is placed on the top of O.",What is the relation of the agent O to the agent E?,upper-right
1752,"The object M is positioned directly below the object K. J is at I's 3 o'clock. The object labeled Q is positioned to the right of the object labeled N. N and K are in a horizontal line with N on the left. Q and J are parallel, and Q is under J. M and P are side by side with P at the bottom and M on the top.",What is the relation of the agent K to the agent J?,below
1753,"W is positioned above A and to the left. A is above and to the right of C. S is to the bottom-right of G. C is directly north east of B. P presents lower right to G. B and S are parallel, and B is to the right of S.",What is the relation of the agent G to the agent W?,lower-left
1754,The object U is positioned below and to the right of the object Z. A is diagonally right and above W. A is directly south east of P. Z is over there and P is on the left of it. X is on the left side and above U. W is above and to the left of J.,What is the relation of the agent U to the agent A?,right
1755,G is at the bottom of W vertically. A is placed in the right direction of U. G is on top of E. Y is south east of A. O is positioned left to W. E is to the top right of Y.,What is the relation of the agent G to the agent U?,upper-right
1756,B is on the left side to W. U is diagonally to the upper left of K. The object J and K are there. The object K is above and slightly to the left of the object J. B and M are next to each other with B on the left and M on the right. J is on the right side to S. M is placed at the bottom of U.,What is the relation of the agent U to the agent J?,upper-left
1757,"The object T is upper and slightly to the left of the object U. N is at the 9 o'clock position relative to Y. W is on the left side of and below N. W is diagonally to the bottom left of U. If M is the center of a clock face, T is located between 10 and 11. Q and M are side by side with Q to the right and M to the left.",What is the relation of the agent W to the agent Q?,lower-left
1758,U is on the same horizontal plane directly left to R. The object labeled X is positioned to the left of the object labeled R. V is directly north west of C. U is there and W is at the 2 position of a clock face. T is above V at 10 o'clock. X is on the lower left of C.,What is the relation of the agent T to the agent R?,upper-left
1759,S is placed at the upper right of I. T presents below R. The object L is positioned below and to the right of the object T. S is on the right side and top of R. L is on the same vertical plane directly above H. I and P are in a horizontal line with P on the right.,What is the relation of the agent T to the agent S?,lower-left
1760,M is placed at the upper right of W. W is to the right of K with a small gap between them. J is slightly off center to the top left and U is slightly off center to the bottom right. C presents left to N. C is to the bottom left of K. J presents right to M.,What is the relation of the agent C to the agent M?,lower-left
1761,F is sitting in the right direction of A. M and A are next to each other with M on the top and A at the bottom. Y is positioned right to K. L is over there with Y above. L is placed at the lower right of M. O is north east of F.,What is the relation of the agent F to the agent M?,lower-right
1762,"F is positioned below and to the right of E. L is placed in the left direction of M. The object X and F are there. The object F is above and slightly to the left of the object X. X is positioned right to R. V is below R and to the left of R. V and M are parallel, and V is over M.",What is the relation of the agent V to the agent F?,lower-left
1763,S and B are in a vertical line with S on top. I is over there and C is on the left. S is north east of P. Y is at the bottom and I is on the top. Y is north west of B. V is to the bottom-right of P.,What is the relation of the agent C to the agent Y?,upper-left
1764,"W is above I at 10 o'clock. A is there and R is at the 2 position of a clock face. R is there and W is at the 10 position of a clock face. B is to the right and above Q at an angle of about 45 degrees. S is sitting in the left direction of I. Object A is below object Q and to the left of it, too.",What is the relation of the agent W to the agent I?,upper-left
1765,"Object I is below object Q and to the right of it, too. X is on the right side to O. L is over there and U is on the left of it. L and I are parallel, and L is under I. Q is above and to the left of X. U is placed at the lower right of Y.",What is the relation of the agent Q to the agent O?,above
1766,The object Q and K are there. The object K is above and slightly to the left of the object Q. V is placed at the lower right of G. W and Q are horizontal and W is to the right of Q. W is over there and C is directly above it. V is to the top right of C. G is above E.,What is the relation of the agent C to the agent V?,lower-left
1767,O presents upper right to M. E is at L's 6 o'clock. M presents below P. P is sitting at the lower left position to L. D and I are side by side with D to the right and I to the left. O is directly north east of D.,What is the relation of the agent O to the agent L?,below
1768,"C is north west of O. Q is directly north east of X. H is on the right side to C. H is placed at the upper left of S. P is sitting at the lower left position to Q. P is at a 45 degree angle to S, in the lower righthand corner.",What is the relation of the agent S to the agent C?,lower-right
1769,N is above D at 10 o'clock. R is to the right of Y. Q is on the upper right of V. F is diagonally below R to the right at a 45 degree angle. Q is sitting at the lower left position to Y. D is on the left side of and below V.,What is the relation of the agent N to the agent D?,upper-left
1770,"I is below H. Q is above D at 2 o'clock. The object R is upper and slightly to the left of the object B. R and X are horizontal and R is to the right of X. B is to the right of Q. I and X are parallel, and I is on top of X.",What is the relation of the agent H to the agent Q?,upper-right
1771,The object labeled D is positioned to the right of the object labeled V. H is sitting at the 9:00 position of D. Q is on the left and U is on the right. The object S and M are there. The object S is below and slightly to the right of the object M. H is diagonally left and above H. M presents right to V.,What is the relation of the agent M to the agent U?,above
1772,M is over there with C below. X is on the same horizontal plane directly right to R. S is diagonally left and above S. S is sitting at the lower position to C. D is on the same horizontal plane directly right to V. V is on the left side and above X.,What is the relation of the agent V to the agent S?,right
1773,I is to the right and above K at an angle of about 45 degrees. X is above I and to the right of I. The object labeled H is positioned to the left of the object labeled G. G is south west of Q. X is sitting at the 9:00 position of P. Q is below P and to the right of P.,What is the relation of the agent H to the agent I?,lower-right
1774,K is directly south east of F. F is to the left of L and is on the same horizontal plane. G presents right to K. G is directly south west of N. L is on the upper right of Y. N is on the right side and below O.,What is the relation of the agent N to the agent F?,right
1775,"N is above F at 10 o'clock. A is at a 45 degree angle to Y, in the upper righthand corner. Y is there and Z is at the 10 position of a clock face. F is placed at the bottom of U. Object M is below object N and to the right of it, too. A is sitting at the upper left position to M.",What is the relation of the agent A to the agent U?,upper-left
1776,"If N is the center of a clock face, A is located between 10 and 11. Z is positioned above and to the left of R. P and R are both there with the object R below the object P. D is directly south west of Z. If H is the center of a clock face, N is located between 4 and 5. D is at a 45 degree angle to A, in the lower righthand corner.",What is the relation of the agent R to the agent P?,below
1777,"R presents upper left to B. G is below and to the left of A. R is placed at the lower left of L. L is at a 45 degree angle to S, in the lower righthand corner. S is to the bottom-right of A. H presents left to G.",What is the relation of the agent S to the agent L?,upper-left
1778,I is above V at 2 o'clock. H is on the left and M is on the right. W is on the right side and top of H. W and A are next to each other with A on the right and W on the left. Y is below and to the right of A. M is sitting at the lower position to V.,What is the relation of the agent V to the agent M?,above
1779,W and I are in a horizontal line with I on the right. C is on the upper right of K. The object A and I are there. The object I is above and slightly to the left of the object A. A is sitting at the top position to C. E is positioned in the front right corner of K. W is at the bottom and G is on the top.,What is the relation of the agent W to the agent E?,upper-left
1780,"V is placed at the upper left of N. L is diagonally left and above L. B is there and M is at the 10 position of a clock face. A is placed at the lower right of B. Object N is below object A and to the right of it, too. M is positioned in the lower left corner of K.",What is the relation of the agent N to the agent M?,lower-right
1781,K is at the lower side of S. J and I are next to each other with J on the left and I on the right. A is on the right and F is on the left. S and J are side by side with S on the top and J at the bottom. A is under K. T presents upper left to I.,What is the relation of the agent K to the agent F?,upper-right
1782,M is there and E is at the 10 position of a clock face. R is to the upper left of E. T is diagonally to the upper right of B. R is diagonally left and below T. D is lower left to M. O is to the right and above B at an angle of about 45 degrees.,What is the relation of the agent D to the agent E?,below
1783,N is at L’s 9 o'clock. T is diagonally left and below C. W and C are side by side with W to the left and C to the right. H and Z are next to each other with Z on the right and H on the left. N is under H. Z is on the same horizontal plane directly left to T.,What is the relation of the agent W to the agent L?,upper-right
1784,"S is on the lower right of T. P and H are parallel, and P on the left of H. Y is sitting at the upper left position to I. I is over there with S above. L is positioned in the lower left corner of P. Y is to the right and above H at an angle of about 45 degrees.",What is the relation of the agent T to the agent I?,upper-left
1785,"Q is at the 12 o'clock position relative to O. K and P are parallel, and K on the left of P. N is positioned below and to the right of Q. P is slightly off center to the top left and U is slightly off center to the bottom right. E is placed at the bottom of K. The object U and N are there. The object U is below and slightly to the right of the object N.",What is the relation of the agent K to the agent N?,left
1786,T is to the bottom right of O. The object H is positioned above and to the left of object R. Z is below and to the left of O. R is south east of U. H is placed at the upper left of T. N is north east of U.,What is the relation of the agent Z to the agent T?,left
1787,D and E are side by side with D to the left and E to the right. The objects B and V are over there. The object B is lower and slightly to the left of the object V. The object L is positioned below and to the right of the object D. U and I are vertical and U is below I. L is diagonally right and above I. The object U is positioned below and to the right of the object B.,What is the relation of the agent B to the agent D?,lower-left
1788,D is placed on the top of E. N is on the same vertical plane directly above B. B is positioned left to X. U is at the bottom of W and is on the same vertical plane. N and E are next to each other with E on the right and N on the left. W and D are vertical and W is below D.,What is the relation of the agent N to the agent D?,lower-left
1789,N is directly below U. I is to the left of K with a small gap between them. P is to the right and above H at an angle of about 45 degrees. P is at the bottom of E. H is there and I is at the 10 position of a clock face. E is to the left of N.,What is the relation of the agent K to the agent E?,lower-right
1790,"Y is sitting at the lower position to U. Z and U are parallel, and Z is to the left of U. A is positioned above X and to the left. The object K is positioned directly below the object Z. K is positioned above D and to the right. Y is sitting at the 9:00 position of X.",What is the relation of the agent D to the agent Y?,lower-left
1791,L is to the left of O with a small gap between them. K is to the right of U. S is on the upper right of U. L and H are next to each other with L on the left and H on the right. The object D and H are there. The object D is below and slightly to the right of the object H. S is positioned in the lower left corner of D.,What is the relation of the agent S to the agent U?,upper-right
1792,G is to the right of B. B is sitting at the lower right position to E. I is to the upper left of U. G is on the lower left of I. The object U is positioned directly below the object W. E and J are both there with the object E is to the left of object J.,What is the relation of the agent J to the agent B?,above
1793,Z and R are side by side with Z on the top and R at the bottom. D is lower left to X. X is below and to the right of L. V is to the bottom right of O. D is to the right of O. Z and V are next to each other with V on the right and Z on the left.,What is the relation of the agent O to the agent L?,lower-left
1794,K and N are next to each other with K on the top and N at the bottom. J is over K. P is to the bottom left of Q. A is above T. Q is below N with a small gap between them. A is over there with J above.,What is the relation of the agent K to the agent Q?,above
1795,The object K and D are there. The object D is above and slightly to the left of the object K. X is placed at the upper left of I. I is placed in the left direction of E. The object X is positioned directly above the object G. E is to the bottom-right of R. G is on the top and K is at the bottom.,What is the relation of the agent R to the agent G?,upper-right
1796,P is positioned below G. The object labeled X is positioned to the left of the object labeled I. X is directly north west of O. I is on the upper right of T. G is over there with T above. P is sitting in the left direction of D.,What is the relation of the agent P to the agent T?,below
1797,O is diagonally to the bottom right of V. E is above B at 10 o'clock. E is to the left of V horizontally. I is on the right side and below F. B is above F at 10 o'clock. J is above I with a small gap between them.,What is the relation of the agent F to the agent O?,below
1798,Z is positioned above J and to the right. R is diagonally below S to the left at a 45 degree angle. D is south east of Z. B is sitting at the 3:00 position to J. Q is to the top right of B. R and Q are both there with the object R above the object Q.,What is the relation of the agent Q to the agent D?,above
1799,"Z is above and to the right of Q. D and F are in a vertical line with F below D. V is north east of F. Object Q is below object O and to the right of it, too. Object V is below object Z and to the left of it, too. U is on the same horizontal plane directly left to D.",What is the relation of the agent V to the agent D?,right
1800,M is diagonally above D to the left at a 45 degree angle. S is positioned below and to the right of U. S is above V with a small gap between them. U is positioned down and to the left of F. D is over there with P above. M is over V.,What is the relation of the agent U to the agent V?,upper-left
1801,"M is above N and to the right of N. H is above and to the right of W. N presents upper left to J. P is to the top-right of M. J is to the right of W and is on the same horizontal plane. Object B is above object P and to the left of it, too.",What is the relation of the agent W to the agent J?,left
1802,"G is to the upper left of Q. L is on the right side to J. Q is over there and U is on the left of it. C and W are parallel, and C is to the left of W. U is directly south west of L. G is at the 9 o'clock position relative to W.",What is the relation of the agent W to the agent G?,right
1803,Z is above and to the right of O. D is positioned in the lower right corner of O. L is to the left of I and below I at approximately a 45 degree angle. B is at the bottom and X is on the top. The object B is positioned below and to the right of the object I. X is over there with Z above.,What is the relation of the agent O to the agent L?,upper-right
1804,X is on the right side and top of T. F is to the left of D and is on the same horizontal plane. Q is there and X is at the 10 position of a clock face. O is on the right side and top of C. C and Q are in a horizontal line with Q on the right. The object labeled O is positioned to the right of the object labeled D.,What is the relation of the agent X to the agent T?,upper-right
1805,Q is slightly off center to the top left and U is slightly off center to the bottom right. F is sitting at the 3:00 position to Q. K and I are both there with the object K above the object I. L is at the 9 o'clock position relative to N. U is on the left and K is on the right. F is on the top and L is at the bottom.,What is the relation of the agent Q to the agent U?,upper-left
1806,I is positioned down and to the left of H. P and T are horizontal and P is to the right of T. B is at the bottom and Z is on the top. Z is to the left of G with a small gap between them. H is on the left side to T. B is to the left of P with a small gap between them.,What is the relation of the agent P to the agent H?,overlap
1807,I is placed at the bottom of J. R is over there and O is on the top of it. N is diagonally below R to the left at a 45 degree angle. A is at the bottom of I vertically. J is to the bottom left of V. O is directly below A.,What is the relation of the agent J to the agent A?,overlap
1808,"G is at U's 6 o'clock. The object A is lower and slightly to the left of the object R. V is on the same vertical plane directly above N. V presents upper right to J. G and J are parallel, and J is below G. A is to the bottom-left of U.",What is the relation of the agent N to the agent G?,lower-right
1809,P is slightly off center to the top left and L is slightly off center to the bottom right. N is below U at 7 o'clock. U is on the left and P is on the right. A is diagonally right and below R. A is on the left side and above O. O is sitting at the 6:00 position to L.,What is the relation of the agent O to the agent A?,lower-right
1810,Z is positioned below B. C is there and R is at the 2 position of a clock face. C is placed at the lower right of K. L is diagonally to the bottom left of R. Z is below W at 4 o'clock. K is placed at the lower left of W.,What is the relation of the agent Z to the agent W?,lower-right
1811,"Q is positioned in the lower left corner of L. If Q is the center of a clock face, F is located between 2 and 3. C is sitting at the upper left position to J. C is above F and to the left of F. I is north west of J. I presents over N.",What is the relation of the agent C to the agent L?,upper-left
1812,O is there and B is at the 10 position of a clock face. S and F are next to each other with F on the right and S on the left. Y is above and to the left of O. T is below K and to the left of K. F presents left to T. Y is there and S is at the 10 position of a clock face.,What is the relation of the agent Y to the agent K?,left
1813,"I and L are parallel, and I is on top of L. K is sitting at the upper left position to M. M is sitting at the upper left position to X. O is to the right of I with a small gap between them. K and O are parallel, and K is to the right of O. J is at the bottom of X and is on the same vertical plane.",What is the relation of the agent K to the agent O?,left
