Story,Question,Q_type,Candidate_Answers,Answer,Reasoning_type
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a small black circle. There is a medium yellow square far below the small black circle. There is a large black triangle far to the right of the small black circle and is touching the right edge of A. In B, there is a large blue circle that is near and below a small black triangle. The small black triangle is far below a large yellow square. The large yellow square is near and below a small blue triangle. In C, there is a large yellow square touching the bottom edge of C. There is a medium blue circle near and above the large yellow square. Near and above the medium blue circle is a large black circle. Far to the left of the large black circle is a small black circle. Near and to the left of the small black circle is a large black triangle.",Is the small black thing in A to the right of the small black thing in C?,YN,"Yes, No, DK",['No'],"['Lists/Sets', ' Transitivity']"
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a small black circle. There is a medium yellow square far below the small black circle. There is a large black triangle far to the right of the small black circle and is touching the right edge of A. In B, there is a large blue circle that is near and below a small black triangle. The small black triangle is far below a large yellow square. The large yellow square is near and below a small blue triangle. In C, there is a large yellow square touching the bottom edge of C. There is a medium blue circle near and above the large yellow square. Near and above the medium blue circle is a large black circle. Far to the left of the large black circle is a small black circle. Near and to the left of the small black circle is a large black triangle.",Are the medium yellow things in A near each other?,YN,"Yes, No, DK",['No'],['Symmetry']
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a small black circle. There is a medium yellow square far below the small black circle. There is a large black triangle far to the right of the small black circle and is touching the right edge of A. In B, there is a large blue circle that is near and below a small black triangle. The small black triangle is far below a large yellow square. The large yellow square is near and below a small blue triangle. In C, there is a large yellow square touching the bottom edge of C. There is a medium blue circle near and above the large yellow square. Near and above the medium blue circle is a large black circle. Far to the left of the large black circle is a small black circle. Near and to the left of the small black circle is a large black triangle.",Is the small blue thing in B to the right of a large black thing in A?,YN,"Yes, No, DK",['Yes'],"['Lists/Sets', ' Converse']"
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a small black circle. There is a medium yellow square far below the small black circle. There is a large black triangle far to the right of the small black circle and is touching the right edge of A. In B, there is a large blue circle that is near and below a small black triangle. The small black triangle is far below a large yellow square. The large yellow square is near and below a small blue triangle. In C, there is a large yellow square touching the bottom edge of C. There is a medium blue circle near and above the large yellow square. Near and above the medium blue circle is a large black circle. Far to the left of the large black circle is a small black circle. Near and to the left of the small black circle is a large black triangle.",What block does not have any blue objects inside of it?,FB,"A, B, C",['A'],"['Negation', ' Quantifier']"
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a small black circle. There is a medium yellow square far below the small black circle. There is a large black triangle far to the right of the small black circle and is touching the right edge of A. In B, there is a large blue circle that is near and below a small black triangle. The small black triangle is far below a large yellow square. The large yellow square is near and below a small blue triangle. In C, there is a large yellow square touching the bottom edge of C. There is a medium blue circle near and above the large yellow square. Near and above the medium blue circle is a large black circle. Far to the left of the large black circle is a small black circle. Near and to the left of the small black circle is a large black triangle.",What block does not have any objects touching an edge of a block?,FB,"A, B, C",['B'],"['Negation', ' Quantifier']"
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a small black circle. There is a medium yellow square far below the small black circle. There is a large black triangle far to the right of the small black circle and is touching the right edge of A. In B, there is a large blue circle that is near and below a small black triangle. The small black triangle is far below a large yellow square. The large yellow square is near and below a small blue triangle. In C, there is a large yellow square touching the bottom edge of C. There is a medium blue circle near and above the large yellow square. Near and above the medium blue circle is a large black circle. Far to the left of the large black circle is a small black circle. Near and to the left of the small black circle is a large black triangle.",What is the relation between the large blue thing in B and the small blue thing in B?,FR,"left, right, above, below, near to, far from, touching, DK","['below', 'far from']","['Transitivity', ' Converse']"
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a small black circle. There is a medium yellow square far below the small black circle. There is a large black triangle far to the right of the small black circle and is touching the right edge of A. In B, there is a large blue circle that is near and below a small black triangle. The small black triangle is far below a large yellow square. The large yellow square is near and below a small blue triangle. In C, there is a large yellow square touching the bottom edge of C. There is a medium blue circle near and above the large yellow square. Near and above the medium blue circle is a large black circle. Far to the left of the large black circle is a small black circle. Near and to the left of the small black circle is a large black triangle.",What is the relation between the small black thing in A and the large black thing in A?,FR,"left, right, above, below, near to, far from, touching, DK","['left', 'far from']","['Symmetry', ' Converse']"
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a small black circle. There is a medium yellow square far below the small black circle. There is a large black triangle far to the right of the small black circle and is touching the right edge of A. In B, there is a large blue circle that is near and below a small black triangle. The small black triangle is far below a large yellow square. The large yellow square is near and below a small blue triangle. In C, there is a large yellow square touching the bottom edge of C. There is a medium blue circle near and above the large yellow square. Near and above the medium blue circle is a large black circle. Far to the left of the large black circle is a small black circle. Near and to the left of the small black circle is a large black triangle.",What is the relation between the large black circle and the other large black thing in C?,FR,"left, right, above, below, near to, far from, touching, DK","['right', 'far from']","['Transitivity', ' Symmetry', ' Converse']"
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a small black circle. There is a medium yellow square far below the small black circle. There is a large black triangle far to the right of the small black circle and is touching the right edge of A. In B, there is a large blue circle that is near and below a small black triangle. The small black triangle is far below a large yellow square. The large yellow square is near and below a small blue triangle. In C, there is a large yellow square touching the bottom edge of C. There is a medium blue circle near and above the large yellow square. Near and above the medium blue circle is a large black circle. Far to the left of the large black circle is a small black circle. Near and to the left of the small black circle is a large black triangle.",What is the relation between the small black thing in B and the large blue thing in B?,FR,"left, right, above, below, near to, far from, touching, DK","['above', 'near to']","['Symmetry', ' Converse']"
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a small black circle. There is a medium yellow square far below the small black circle. There is a large black triangle far to the right of the small black circle and is touching the right edge of A. In B, there is a large blue circle that is near and below a small black triangle. The small black triangle is far below a large yellow square. The large yellow square is near and below a small blue triangle. In C, there is a large yellow square touching the bottom edge of C. There is a medium blue circle near and above the large yellow square. Near and above the medium blue circle is a large black circle. Far to the left of the large black circle is a small black circle. Near and to the left of the small black circle is a large black triangle.","What object is to the right of the medium yellow thing in A, the large black circle or the medium blue circle? the large black circle  or  the medium blue circle ?",CO," the large black circle ,  the medium blue circle , both of them, none of them",['both of them'],"['Lists/Sets', ' Transitivity']"
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a small black circle. There is a medium yellow square far below the small black circle. There is a large black triangle far to the right of the small black circle and is touching the right edge of A. In B, there is a large blue circle that is near and below a small black triangle. The small black triangle is far below a large yellow square. The large yellow square is near and below a small blue triangle. In C, there is a large yellow square touching the bottom edge of C. There is a medium blue circle near and above the large yellow square. Near and above the medium blue circle is a large black circle. Far to the left of the large black circle is a small black circle. Near and to the left of the small black circle is a large black triangle.","What object is not near the small blue thing in B, the large yellow square or the small black triangle? the large yellow square  or  the small black triangle ?",CO," the large yellow square ,  the small black triangle , both of them, none of them",[' the large yellow square '],"['Negation', ' Symmetry']"
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a small black circle. There is a medium yellow square far below the small black circle. There is a large black triangle far to the right of the small black circle and is touching the right edge of A. In B, there is a large blue circle that is near and below a small black triangle. The small black triangle is far below a large yellow square. The large yellow square is near and below a small blue triangle. In C, there is a large yellow square touching the bottom edge of C. There is a medium blue circle near and above the large yellow square. Near and above the medium blue circle is a large black circle. Far to the left of the large black circle is a small black circle. Near and to the left of the small black circle is a large black triangle.","What object is below the large yellow thing in C, the medium yellow square or the large black circle? the medium yellow square  or  the large black circle ?",CO," the medium yellow square ,  the large black circle , both of them, none of them",[' the large black circle '],['Converse']
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a small black circle. There is a medium yellow square far below the small black circle. There is a large black triangle far to the right of the small black circle and is touching the right edge of A. In B, there is a large blue circle that is near and below a small black triangle. The small black triangle is far below a large yellow square. The large yellow square is near and below a small blue triangle. In C, there is a large yellow square touching the bottom edge of C. There is a medium blue circle near and above the large yellow square. Near and above the medium blue circle is a large black circle. Far to the left of the large black circle is a small black circle. Near and to the left of the small black circle is a large black triangle.","What object is to the right of the large black thing in A, the medium yellow circle or the small black triangle? the medium yellow circle  or  the small black triangle ?",CO," the medium yellow circle ,  the small black triangle , both of them, none of them",[' the small black triangle '],"['Lists/Sets', ' Converse']"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.",Is the small black thing in C below a large black thing in C?,YN,"Yes, No, DK",['Yes'],"['Transitivity', ' Converse']"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.",Is the small blue thing in B to the right of a medium blue thing?,YN,"Yes, No, DK",['No'],"['Lists/Sets', ' Converse']"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.",Is the medium yellow thing below a blue thing?,YN,"Yes, No, DK",['DK'],['No Data']
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.",Is the small black in A near and to the right of a large yellow thing?,YN,"Yes, No, DK",['Yes'],"['Symmetry', ' Converse']"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.",What block does not have a black object inside of it?,FB,"A, B, C",['B'],"['Negation', ' Quantifier']"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.",What block does not have an object touching the edge of it?,FB,"A, B, C",['B'],"['Negation', ' Quantifier']"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.",What is the relation between the large yellow thing in A and the large black circle in A?,FR,"left, right, above, below, near to, far from, touching, DK","['right', 'near to']","['Transitivity', ' Converse']"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.",What is the relation between the small blue thing in B and the medium yellow thing?,FR,"left, right, above, below, near to, far from, touching, DK","['right', 'touching']","['Symmetry', ' Converse']"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.",What is the relation between the small blue thing in C and the large black thing in C?,FR,"left, right, above, below, near to, far from, touching, DK","['left', 'far from']","['Transitivity', ' Converse']"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.",What is the relation between the small black thing in C and the small blue thing in B?,FR,"left, right, above, below, near to, far from, touching, DK","['left', 'far from']","['Lists/Sets', ' Converse']"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.","What object is below the large black circle in A, the large black triangle or the medium blue circle? the large black triangle  or  the medium blue circle ?",CO," the large black triangle ,  the medium blue circle , both of them, none of them",['both of them'],"['Transitivity', ' Converse']"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.","What object is to the left of the medium blue thing, the small yellow thing in C or the large yellow thing in A? the small yellow thing in c  or  the large yellow thing in a ?",CO," the small yellow thing in c ,  the large yellow thing in a , both of them, none of them",[' the small yellow thing in c '],"['Lists/Sets', ' Converse']"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.","What object is far from the small black thing in C, the large yellow square in C or the small blue triangle in C? the large yellow square in c  or  the small blue triangle in c ?",CO," the large yellow square in c ,  the small blue triangle in c , both of them, none of them",[' the large yellow square in c '],"['Transitivity', ' Symmetry']"
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.","What object is not near the small yellow thing, the large black triangle in C or the small blue triangle in C? the large black triangle in c  or  the small blue triangle in c ?",CO," the large black triangle in c ,  the small blue triangle in c , both of them, none of them",['none of them'],"['Negation', ' Symmetry']"
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",Is the medium blue thing in B to the right of the thing in C?,YN,"Yes, No, DK",['No'],"['Lists/Sets', ' Converse']"
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",Is the small blue square far to the right of the medium blue thing in A?,YN,"Yes, No, DK",['Yes'],"['Transitivity', ' Symmetry']"
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",Are the large yellow things in A near each other,YN,"Yes, No, DK",['Yes'],['Symmetry']
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",Is the medium blue thing in A to the right of the large yellow thing in C?,YN,"Yes, No, DK",['No'],"['Lists/Sets', ' Transitivity']"
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",What block has all black objects inside of it?,FB,"A, B, C",['A'],['Quantifier']
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",What block does not have any squares inside of it?,FB,"A, B, C",['B'],"['Negation', ' Quantifier']"
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",What block does has all triangles inside of it?,FB,"A, B, C",['A'],['Quantifier']
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",What block does not have any circles inside of it?,FB,"A, B, C",['C'],"['Negation', ' Quantifier']"
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",What is the relation between the small black thing and the large yellow square in A?,FR,"left, right, above, below, near to, far from, touching, DK","['above', 'far from']","['Transitivity', ' Converse']"
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",What is the relation between the large yellow thing in C and the large yellow things in A?,FR,"left, right, above, below, near to, far from, touching, DK","['right', 'far from']","['Lists/Sets', ' Transitivity']"
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",What is the relation between the large yellow triangle and the medium blue thing in A?,FR,"left, right, above, below, near to, far from, touching, DK","['right', 'near to']","['Symmetry', ' Converse']"
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",What is the relation between the small blue circle and the large yellow square?,FR,"left, right, above, below, near to, far from, touching, DK","['above', 'near to']","['Symmetry', ' Converse']"
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.","What object is not near the medium blue thing in B, the small black triangle or the large yellow square? the small black triangle  or  the large yellow square ?",CO," the small black triangle ,  the large yellow square , both of them, none of them",['both of them'],"['Negation', ' Symmetry']"
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.","What object is far to the left of the small black thing, the medium blue triangle or the small blue square? the medium blue triangle  or  the small blue square ?",CO," the medium blue triangle ,  the small blue square , both of them, none of them",[' the medium blue triangle '],"['Symmetry', ' Converse']"
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.","What object is to the right of the large yellow square in A, the large yellow triangle or the large yellow square in C? the large yellow triangle  or  the large yellow square in c ?",CO," the large yellow triangle ,  the large yellow square in c , both of them, none of them",[' the large yellow square in c '],"['Lists/Sets', ' Transitivity']"
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.","What object is not above the medium blue thing in A, the large yellow triangle or the small black triangle? the large yellow triangle  or  the small black triangle ?",CO," the large yellow triangle ,  the small black triangle , both of them, none of them",['none of them'],['No Data']
"There are three blocks called A, B, and C. A is to the left of the B and B is to the left of C. In A, there is a large black circle far below a small blue circle. The small blue circle near and below a large yellow circle. The large yellow circle is near and to the left of a small black circle. There is a small blue triangle near and to the right of a small blue triangle. In B, there is a large blue circle near and below a small black square. The small black square is far below a small blue square. The small blue square is far below a small black triangle. In C, there is a large yellow triangle near and to the left of a medium blue square. The medium blue square is near and above a small yellow triangle. There is a large black square near and to the right of the small yellow triangle.",Is the large black thing in A far below a small black thing?,YN,"Yes, No, DK",['Yes'],"['Transitivity', ' Converse']"
"There are three blocks called A, B, and C. A is to the left of the B and B is to the left of C. In A, there is a large black circle far below a small blue circle. The small blue circle near and below a large yellow circle. The large yellow circle is near and to the left of a small black circle. There is a small blue triangle near and to the right of a small blue triangle. In B, there is a large blue circle near and below a small black square. The small black square is far below a small blue square. The small blue square is far below a small black triangle. In C, there is a large yellow triangle near and to the left of a medium blue square. The medium blue square is near and above a small yellow triangle. There is a large black square near and to the right of the small yellow triangle.",Is the large yellow thing in A far below a small blue thing?,YN,"Yes, No, DK",['No'],"['Symmetry', ' Converse']"
"There are three blocks called A, B, and C. A is to the left of the B and B is to the left of C. In A, there is a large black circle far below a small blue circle. The small blue circle near and below a large yellow circle. The large yellow circle is near and to the left of a small black circle. There is a small blue triangle near and to the right of a small blue triangle. In B, there is a large blue circle near and below a small black square. The small black square is far below a small blue square. The small blue square is far below a small black triangle. In C, there is a large yellow triangle near and to the left of a medium blue square. The medium blue square is near and above a small yellow triangle. There is a large black square near and to the right of the small yellow triangle.",Is the large yellow thing in C to the right of a large blue thing?,YN,"Yes, No, DK",['Yes'],"['Lists/Sets', ' Converse']"
