Story,Question,Q_type,Candidate_Answers,Answer,Reasoning_type,llama8B_Base,lamma8B_CoT,llama8B_Visual
"There are three blocks called A, B, and C. A, is to the left of B and B is to the left of C. In A, there is a small yellow square far to the left of a medium yellow triangle. There is a large blue square far above the medium yellow triangle. There is a small blue triangle near and above the large blue square. In B, there is a small yellow triangle near and to the left of a medium yellow triangle. Far below the medium yellow triangle is a medium black circle. In C, there is a medium yellow circle near and above a large yellow square. The yellow square is far above a large black circle. There is a small blue triangle near and to the right of the large yellow square.","What object is not to the left of the small yellow thing in A, the medium yellow triangle in A or the small yellow triangle? the medium yellow triangle in a  or  the small yellow triangle ?",CO," the medium yellow triangle in a ,  the small yellow triangle , both of them, none of them",both of them,"['Lists/Sets', ' Converse']",The small blue triangle.,The small blue triangle.,The small blue triangle.
"There are three blocks called A, B, and C. B is to the right of and touching the right edge of A and C is above and touching the top of B. In A, there is a blue square touching the left edge of A. A red triangle is next to the blue square and is above a yellow circle is touching the bottom edge of A. In B, there is a purple rectangle and an orange oval. The orange oval is touching the right edge of B and the rectangle is near and to the left of and the oval. In C, there is a small triangle a large triangle and a pink triangle. The small triangle is above the large triangle and is touching the top of C. The pink triangle is touching the bottom of C, with the large triangle to the right of the pink triangle.",Is there an object to the left of the red thing?,YN,"Yes, No, DK",Yes,['Converse'],Yes,Yes,Yes
"There is a block called A. It has a small yellow square, a smal black triangle and a small black circle. A medium blue square is above and to the right of the smal black triangle and circle. The small yellow square is above the medium square. The small black circle is above a big blue circle and to the right of the small black triangle. Block A is below another block called B.block B has two big yellow triangle and a big black circle that is touching the top edge of this block. One of the triangles is touching the bottom edge of block B.",what is the relation between the big yellow triangle that is touching the bottom edge of a block and another big yellow triangle?,FR,"left, right, above, below, near to, far from, touching, DK",below,,touching,touching,Touching
There are two blocks A and B. Block A has two medium yellow circle and a medium yellow triangle. The medium circle number one is to the right of the yellow triangle which is to the right of the medium circle number two. This block also has a medium black triangle touching the bottom edge of it. Block B is to the right of the block A. It has two medium yellow circle and a medium black triangle. It also has a big blue square above the medium yellow circle number one. The medium triangle is to the left of the medium circle number one and to the right of the medium circle number two. The big square is to the right of the triangle.,What is the relation between the square and the circle number two in block B?,FR,"left, right, above, below, near to, far from, touching, DK",right,,Below,Below,Above
"We have three blocks A, B, and C. Block C is below block A and B. Block A has a blue square which is touching the bottom edge of the block and a yellow square which is on top of the blue square. Block B has a yellow square touching the bottom edge of it. And block C has three squares. The first one is yellow and touching the bottom edge of the block. The second one is black and is on top of the yellow one and the third one is also black and on top of the second square.",What is the relation between all balck squares and the blue square?,FR,"left, right, above, below, near to, far from, touching, DK",below,,far from,far from,Not touching.
"There exist a big red square, a big red triangle, a medium red square, and a small green circle in a block called A. The triangle and medium square are touching the bottom edge of the block. The big and medium square are touching the right edge of the block. And the circle is above the big square which is above the medium square. There is another block called B to the left of block A. A medium green square is touching the left edge of block B and is below a medium red square. The medium red square is above and to the left of a small green square. Also a medium red triangle is below and to the left of the small square.",Where is the red triangle which is to the right of a small square regarding to the red square above another red square?,FR,"left, right, above, below, near to, far from, touching, DK","left, below",,DK,Right,Right
"There are three blocks named A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small yellow triangle that is near and to the left of a medium yellow circle. In B, there is a medium black circle Which is above a large blue triangle. The large triangle is above and near a small blue circle. There is also a large black circle far below the small blue circle. In C, there is a medium blue circle.",What object is not below the large blue thing? the medium black circle  or  the small blue circle?,CO," the medium black circle ,  the small blue circle, both of them, none of them", the medium black circle ,['Negation'],the small blue circle,the small blue circle,the medium black circle
"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",What is the relation between the black thing and the small blue thing?,FR,"left, right, above, below, near to, far from, touching, DK","right, far from","['Lists/Sets', ' Transitivity']",Below,Below,Below
"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",Which block has a medium object below a big object?,FB,"A, B","A,  B",,A,A,Block A.
"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",What is the relation between the circle above the blue triangle and the black object below a blue triangle?,FR,"left, right, above, below, near to, far from, touching, DK",left,,Below,Below,Below
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a small blue circle near and above a medium blue circle. Far to the right of the circles is a large yellow square. In B, there is a small black square that is to the right of a small black triangle. There is also a small blue square far above the small black triangle. In C, there is a large black triangle that is near and above a small blue circle. The small blue circle is also near and above a small black triangle. To the left of the small black triangle is a medium yellow circle.","What object is to the left of the small black square, the small black triangle or the large black triangle the small black triangle  or  the large black triangle ?",CO," the small black triangle ,  the large black triangle , both of them, none of them",both of them,"['Converse', ' Lists/Sets']",the large black triangle,the large black triangle,the small black triangle
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a small blue circle near and above a medium blue circle. Far to the right of the circles is a large yellow square. In B, there is a small black square that is to the right of a small black triangle. There is also a small blue square far above the small black triangle. In C, there is a large black triangle that is near and above a small blue circle. The small blue circle is also near and above a small black triangle. To the left of the small black triangle is a medium yellow circle.","What object is not to the left of the the medium yellow thing, the small black triangle or the small blue circle in A? the small black triangle  or  the small blue circle ?",CO," the small black triangle ,  the small blue circle , both of them, none of them", the small blue circle ,"['Negation', ' Lists/Sets']",the large yellow square,the small black triangle,the small black triangle
"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",What object is far from the yellow thing? the large blue triangle  or  the small black triangle?,CO," the large blue triangle ,  the small black triangle, both of them, none of them", the large blue triangle ,['Symmetry'],the large blue triangle,the large blue triangle,the large blue triangle
"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",Where is the circle reagrding to the object above the medium square?,FR,"left, right, above, below, near to, far from, touching, DK",below,,Below,Below,Below
"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",Is orange thing to the right of the white thing?,YN,"Yes, No, DK",No,['Lists/Sets'],No,No,No
"There are three blocks called A, B, and C. In A, there is a large blue circle that is near and to the left of a large yellow circle. There is also a medium black triangle below the blue circle. In B, Which is to the right of A, there are three small blue circles far above two small black triangles. C is to the right of B. In C, there is a large blue triangle that is near and to the left of a medium black circle. There is also a large black triangle near and below the large blue triangle.",What object is far from the small black thing? the small blue circle  or  the large yellow circle?,CO," the small blue circle ,  the large yellow circle, both of them, none of them", the small blue circle ,['Symmetry'],the large yellow circle,the large yellow circle,the large yellow circle
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large black circle far below a medium blue triangle. The medium blue triangle is near and below a large blue square. The large blue square is near and to the right of a medium black square. There is a small yellow circle far to the right of the large blue square. In B, there is a medium yellow square near and below a large yellow triangle. The large yellow triangle is near and below a large blue triangle. The large blue triangle is near and to the right of a medium blue triangle. In C, there is a large blue triangle?",What block has all fo the circles inside of it?,FB,"A, B, C",A,['Quantifier'],A,A,A
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small yellow circle that is near and to the left of a medium blue triangle. Touching the top of the triangle is a large yellow square. In B, there is a large blue circle near and below a small blue square. There is a large black triangle far to the right of the small blue square. In C, there is a small blue triangle that is far below a medium black triangle. The black triangle was near and below a medium blue triangle.",What block has all of the triangles inside of it?,FB,"A, B, C",C,['Quantifier'],A and C,A,B
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",What block does not have any blue objects inside of it?,FB,"A, B, C",A,['Negation'],A,A,A
"There is a block called A. In A, there is a medium blue square that is to the left of a small blue triangle. There is also a large blue triangle far above the small blue triangle. There is another block called B, Which is to the right of A. In B, there is a large yellow circle. There is another block called C, Which is to the right of B. In B, there is a medium yellow circle far below a small black square. There is also a large yellow square near and above the small black square . There is a medium yellow square that is far to the right of the medium yellow circle, and there is a small yellow square above the medium yellow square.",Is the object in B above the small yellow thing?,YN,"Yes, No, DK",DK,['No Data'],No,No,Yes
"We have three blocks A, B, and C. Block C is below block A and B. Block A has a blue square which is touching the bottom edge of the block and a yellow square which is on top of the blue square. Block B has a yellow square touching the bottom edge of it. And block C has three squares. The first one is yellow and touching the bottom edge of the block. The second one is black and is on top of the yellow one and the third one is also black and on top of the second square.",Which block has a yellow square above a black square?,FB,"A, B, C","A,  B",,A,A,A
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",Is the medium blue thing to the right of the small yellow thing?,YN,"Yes, No, DK",Yes,"['Lists/Sets', ' Transitivity']",No,No,Yes
"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",What block does not have any circles inside of it?,FB,"A, B, C",C,"['Negation', ' Quantifier']",A,A,A
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a medium blue circle. There is also a large black square near and below the medium blue circle. In B, there is a medium yellow triangle near and to the left of a small blue triangle. The small blue triangle is above a medium blue triangle. The medium blue triangle is to the right of the medium yellow triangle and above a large black circle. In C, there is a medium black triangle that is near and to the left of a large blue triangle. There is a large black square near and to the right of large blue triangle.","What object is to the right of the medium blue thing in B, the large blue triangle or the large black square? the large blue triangle  or  the large black square ?",CO," the large blue triangle ,  the large black square , both of them, none of them",both of them,"['Lists/Sets', ' Converse']",the large black square,the large black square,the large black square
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium blue square near and to the left of a medium black triangle. The medium black triangle is near and below a medium yellow square. In B, there is a small blue square far to the left of a large black circle. There is a medium yellow circle far above the black circle. In C, there is a large yellow square",Is the medium yellow thing in A near and above a black thing?,YN,"Yes, No, DK",Yes,"['Symmetry', ' Converse']",No,No,No
"There are three blocks called A, B, and C. A is to the left of B, and B is to the left of C. In A, there is a large blue triangle to the left of and below a large black square. Far above the square is a large black circle. In B, there is a large blue circle near and below a small blue circle. The small blue circle is near and below a large yellow square. There is a medium blue square far to the left of the yellow square. In C, there is a large blue square.",What block does not have a circle inside of it?,FB,"A, B, C",C,"['Negation', ' Quantifier']",C,C,C
"There exist a big red square, a big red triangle, a medium red square, and a small green circle in a block called A. The triangle and medium square are touching the bottom edge of the block. The big and medium square are touching the right edge of the block. And the circle is above the big square which is above the medium square. There is another block called B to the left of block A. A medium green square is touching the left edge of block B and is below a medium red square. The medium red square is above and to the left of a small green square. Also a medium red triangle is below and to the left of the small square.",What is the relation between a square touching the left edge of a block and a square touching the bottom edge of a block?,FR,"left, right, above, below, near to, far from, touching, DK",left,,touching,Below,Below
There is a block. We called it A. It has four medium squares. Two of them are yellow and two of them are blue. one of the blue square is touching the bottom edge of this block. The other bue square is on it. Then the yellow squares are on the second blue square. we have another block called B. block A is on this block. block B has two black square up on each other.,Which square is above a yellow square? a medium blue square  or  a medium yellow square?,CO," a medium blue square ,  a medium yellow square, both of them, none of them", a medium yellow square,['Transitivity'],a medium blue square,a medium blue square,a medium blue square
"There is a block called A which has a medium yellow triangle. To the right of the block A, there is a block called B. It has three circles and a small black triangle. Two of the circles are medium blue which one of them touching the top edge of the block and the other is touching the bottom and left edge of the block B. Anothe circle is big and black which the small black triangle is below and tp the left of it. There is another block C which is to the left of the block A. it has a small black square that is touching the bottom edge of the block and a medium blue circle.",Which object is below a medium blue circle? the small square  or  the yellow triangle?,CO," the small square ,  the yellow triangle, both of them, none of them", the small square ,,the small square,the small square,the small square
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",Is the small blue thing far from the large black thing?,YN,"Yes, No, DK",Yes,['Symmetry'],Yes,Yes,Yes
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",What object is to the left of the black thing in C? the small blue circle  or  the yellow triangle ?,CO," the small blue circle ,  the yellow triangle , both of them, none of them", the small blue circle ,"['Lists/Sets', ' Transitivity']",the yellow triangle,the yellow triangle,the yellow triangle
"There is a block called A which has a medium yellow triangle. To the right of the block A, there is a block called B. It has three circles and a small black triangle. Two of the circles are medium blue which one of them touching the top edge of the block and the other is touching the bottom and left edge of the block B. Anothe circle is big and black which the small black triangle is below and tp the left of it. There is another block C which is to the left of the block A. it has a small black square that is touching the bottom edge of the block and a medium blue circle.",Is the small triangle below the circle which is touching the left edge of the block?,YN,"Yes, No, DK",No,,No,No,No
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",Which block has a triangle above a square?,FB,"A, B, C",B,['transitivity'],B,B,B
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small yellow triangle far to the right of a medium black circle. Near and to the left of the medium black circle is a small yellow square. Far below the small yellow square is a small blue square. Near and below the small blue square is a medium black triangle. In B, there is a medium yellow circle near and above a small yellow circle. The small yellow circle is near and above a large black square. The large black square is touching the bottom of B. In C, there is a small blue square far below a medium blue square. Far to the right of the medium blue square is a large blue triangle. Near and below the triangle is a medium black square. The medium black square is touching the bottom of C.","What object is not near the medium black thing in C, the large blue thing or the small blue thing in C? the large blue thing  or  the small blue thing ?",CO," the large blue thing ,  the small blue thing , both of them, none of them", the small blue thing ,"['Negation', ' Symmetry']",the small blue thing,the small blue thing,the small blue thing
There is a block. We called it A. It has four medium squares. Two of them are yellow and two of them are blue. one of the blue square is touching the bottom edge of this block. The other bue square is on it. Then the yellow squares are on the second blue square. we have another block called B. block A is on this block. block B has two black square up on each other.,where is the medium blue square number one regarding the medium yellow square number two?,FR,"left, right, above, below, near to, far from, touching, DK",below,,below,below,below
"There are three blocks called A, B, and C. In A, there is a pink circle Which is near and to the left of a yellow square. B is to the left and far from A. In B, there is a red rectangle touching both the left edge of B and the left edge of a green triangle. The green triangle is touching the bottom of B. There is also a white circle to the right of the green triangle. C is below both A and B. In C, there is a blue oval that is on top of a black rectangle. The black rectangle is touching the bottom of C.",What object is touching the bottom of the blue thing? the black rectangle  or  the white circle ?,CO," the black rectangle ,  the white circle , both of them, none of them", the black rectangle ,['Converse'],the black rectangle,the black rectangle,the black rectangle
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small blue circle far above a medium yellow square. In B, there is a small blue circle far to the right of a small yellow triangle. In C, there is a medium blue thing far below a medium yellow square. The medium yellow square is near and below a small black triangle. There is a large blue triangle near and to the left of the small black triangle.",Is the small yellow thing in A is near and above a small blue thing?,YN,"Yes, No, DK",No,"['Symmetry', ' Converse']",Yes,Yes,Yes
"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",Does A have any yellow things inside of it?,YN,"Yes, No, DK",No,['Quantifier'],No,No,No
"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",What block does not have a circle inside of it?,FB,"A, B, C",A,['Negation'],C,C,C
"There is three blocks called A, B, C. Block A has two big blue shapes to the left of a big yellow triangle. There is also a little triangle to the left of blue objects. there is a big black triangle touching the bottom edge of block B. A medium circle is at top of the block B and a small blue circle is near to it. Block C is left to the blocks A and B. It has two medium triangles. one of them is to the right of the other.",Which object is to the left of the medium shape which is near to the small circle? a little triangle  or  a medium triangle?,CO," a little triangle ,  a medium triangle, both of them, none of them", a medium triangle,"['Symmetry', ' Lists/Sets']",a little triangle,a little triangle,a little triangle
"There are three blocks named A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small yellow triangle that is near and to the left of a medium yellow circle. In B, there is a medium black circle Which is above a large blue triangle. The large triangle is above and near a small blue circle. There is also a large black circle far below the small blue circle. In C, there is a medium blue circle.",What block does not have a triangle inside of it?,FB,"A, B, C",C,['Negation'],C,C,C
"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",What is the relation between a square which is above a circle and the square which is below a triangle?,FR,"left, right, above, below, near to, far from, touching, DK",above,,above,above,Above
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black circe that is far to the right of a medium blue square. The medium blue square is near and to the right of a small yellow circle. Far above the blue square is a medium yellow triangle. Near above the medium triangle is a small blue circle. In B, there is a large blue square that is touching the right edge of B. There is a medium black triangle that is touching the left side of the blue square. Near and above the medium black triangle is a large blue circle. Near and above the large blue circle is a large yellow triangle. In C, there is a small yellow triangle near and to the right of a medium black circle. The yellow triangle is touching the right edge of C. Far to the left of the medium black circle is a small blue square.",What block does not have any small objects inside of it?,FB,"A, B, C",B,"['Negation', ' Quantifier']",B,B,B
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium yellow circle near and above a medium blue circle. There is also a large black square near and below the medium blue circle. In B, there is a medium yellow triangle near and to the left of a small blue triangle. The small blue triangle is above a medium blue triangle. The medium blue triangle is to the right of the medium yellow triangle and above a large black circle. In C, there is a medium black triangle that is near and to the left of a large blue triangle. There is a large black square near and to the right of large blue triangle.","What object is not near the medium yellow thing in A, the medium blue circle or the small blue triangle? the medium blue circle  or  the small blue triangle ?",CO," the medium blue circle ,  the small blue triangle , both of them, none of them", the small blue triangle ,"['Negation', ' Symmetry']",the medium blue circle,the medium blue circle,the medium blue circle
"There is three blocks called A, B, C. Block A has two big blue shapes to the left of a big yellow triangle. There is also a little triangle to the left of blue objects. there is a big black triangle touching the bottom edge of block B. A medium circle is at top of the block B and a small blue circle is near to it. Block C is left to the blocks A and B. It has two medium triangles. one of them is to the right of the other.",What is the relation between the yellow triangle and the little triangle?,FR,"left, right, above, below, near to, far from, touching, DK",right,"['Transitivity', ' Converse']",left,left,left
"There is a block called A. Inside there's a red oval that is above a blue triangle. The blue triangle is touching the right edge of A and the top of a large black square. Touching the bottom edge of A is  a small orange square. The is a block called B Which is to the right and touching A. Inside B there are 5 triangles, a red one, a green one, a large yellow one, a brown one, and an orange one. The red and orange triangles are touching the left edge of B and the orange triangle is above the red triangle. The large yellow triangle is touching the top edge of B. The green triangle is touching the right edge of B. The brown triangle is below all of the other triangles and is touching the bottom of B.",Which block has the blue triangle?,FB,"A, B",A,['Lists/sets'],A,A,A
"There are three blocks called A, B and C. A is to the left of B and B is to the left of C. In A, there is a small blue circle. In B, there is a large blue triangle that is touching the top of a small yellow triangle. In C, there are four circles, a large yellow one, a small blue one, a small black one, and a large black one. The large yellow circle is touching the large black circle and is above and near the small blue circle. The small black circle is near and to the right of the small blue circle. The large black circle is above and near the small black circle.",What object is not touching the large blue triangle? the small yellow triangle  or  the large black square?,CO," the small yellow triangle ,  the large black square, both of them, none of them", the large black square,['Negation'],the small yellow triangle,the small yellow triangle,the small yellow triangle
"I see three blocks. The first block is (A) has two big and medium green triangles. The medium one is above the big one. Below and to the left of these two triangles, there is a midsize green circle. below the first block the other blocks exist, block B and C. Block C is to the right of the block B. Block B has medium white rectangle and circle to the right of a medium green triangle. The rectangle is above the circle. Block C has a huge red rectangle touching bottom and right edge, a little white circle touching the top edge and a midsize red circle touching the left edge of the block.",Which block has all of the small objects?,FB,"A, B, C",C,,B,B,B
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium blue square near and to the left of a medium black triangle. The medium black triangle is near and below a medium yellow square. In B, there is a small blue square far to the left of a large black circle. There is a medium yellow circle far above the black circle. In C, there is a large yellow square",What object has all of the triangles inside of it?,FB,"A, B, C",A,['Quantifier'],A,A,A
"There is a block called A. Inside A, there is a black triangle that is above and to the left of a black circle. There is another block called B which is to the right of A. In B, there are two yellow circles, a blue circle, and a blue square. The blue circle is touching the left edge of B. One of the yellow circles is to the right of the blue circle and to the left of the blue square. The blue square is touching the right edge of B and is above the other yellow circle, Which is also touching the right edge of B.",Which block has a circle to the left of a circle Which is on the left of another circle?,FB,"A, B",A,,A,A,B
"There is a block called A. Inside A, there is a black triangle that is above and to the left of a black circle. There is another block called B which is to the right of A. In B, there are two yellow circles, a blue circle, and a blue square. The blue circle is touching the left edge of B. One of the yellow circles is to the right of the blue circle and to the left of the blue square. The blue square is touching the right edge of B and is above the other yellow circle, Which is also touching the right edge of B.",What relations exist between the blue object above the yellow thing and the black object above the black thing?,FR,"left, right, above, below, near to, far from, touching, DK",right,"['Lists/Sets', ' transitivity']","above, right",Above.,"above, right"
"There is a block called A. In A, there is a medium yellow square that is touching the left side of a medium black circle. There is also a medium blue circle near and above the medium yellow square. There is a block called B, Which is to the right of A. In B, there is a small yellow square far above a small black square. There is another block called C, Which is to the right of B. In C, there is a large blue triangle that is below a medium blue square. There is a medium black circle near and to the right of the medium blue square. To the right of the black circle there is a large black triangle.",Is the medium black thing in A touching the medium yellow thing?,YN,"Yes, No, DK",Yes,['Symmetry'],Yes,Yes,Yes
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a medium blue circle Which is near and above a small blue circle. In B, there is a large yellow triangle Which is to the right and touching a large blue triangle. There is also a small yellow triangle to the left of the large blue triangle. In C, there is a small blue circle that is far above a blue triangle. The blue triangle is to the left of a black triangle.",What object is to is not touching a large blue thing? the large yellow triangle  or  the small blue circle?,CO," the large yellow triangle ,  the small blue circle, both of them, none of them", the small blue circle,['Negation'],the large yellow triangle,the small blue circle,the small blue circle
"We have three blocks A, B, and C. Block C is below block A and B. Block A has a blue square which is touching the bottom edge of the block and a yellow square which is on top of the blue square. Block B has a yellow square touching the bottom edge of it. And block C has three squares. The first one is yellow and touching the bottom edge of the block. The second one is black and is on top of the yellow one and the third one is also black and on top of the second square.",Where is the square in block B regarding to blue square?,FR,"left, right, above, below, near to, far from, touching, DK",DK,,Below,Below,Below
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a large yellow square near and below a small yellow square. The small yellow square is far to the left and below a large blue triangle. In B, there is a medium blue circle far to the left and above a small black circle. The small black circle is near to the left of a large blue circle.  In C, there is a large yellow square near and to the left of a large black circle. The black circle is near and to the left of a large blue triangle.",What block does not have any triangles inside of it?,FB,"A, B, C",B,"['Negation', ' Quantifier']",B,B,B
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a large yellow square that is touching the right edge of A. Near and to the left of the square is a small black circle. There is a large black circle near and to the right of the small black circle. There is a medium blue circle below the large black circle. There is a large black triangle is below the medium blue circle. In B, there is a medium yellow square is touching the left corner of a small blue triangle. In C, there is a small black circle touching the bottom of C. There is a large yellow square near and above the small black circle. There is a large black triangle far above the large yellow square. There is a small yellow triangle near and to the left of the large black triangle. Near and to the left of the small yellow triangle is a small blue triangle.",Is the small black thing in C below a large black thing in C?,YN,"Yes, No, DK",Yes,"['Transitivity', ' Converse']",Yes,Yes,Yes
"There are three blocks named A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small blue square Which is touching the right edge of A. A large blue square is to the left of the small square and is touching the bottom of A. In B, there is a small black triangle that is above and to the right of a black square. The black square is touching the bottom of B. In C, there is a small yellow square that is touching the right of C. There is also large yellow square that is below a blue triangle and above a small blue circle. To the left of the blue triangle there is a black circle.",Is there a blue thing below a large yellow object?,YN,"Yes, No, DK",Yes,['Converse'],Yes,Yes,Yes
"There are three blocks called A, B, and C. A is on top of B and B is on top of C. In A there are 3 circles: a small red one, a green one, and a big blue one. The small red and green circles are above the big blue circle. The big blue circle is touching the bottom edge of A, and the green circle is touching the top edge of A. In B there is a orange triangle, Which is above a purple rectangle. The purple rectangle is touching the bottom edge of B. In C, there are 3 squares, a small white one, a small black one, and a large yellow one. The small white square is touching the left edge of C, while the small black square is touching the right edge of C. The large yellow square is adjacent to the white square, and is touching the bottom edge of C.",Which block has only circles inside?,FB,"A, B, C",A,['Quantifier'],A,A,A
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small blue circle far to the left of a medium yellow square. In B, there is a small blue circle. In C, there is a medium yellow square near and below a large blue square. The large blue square is near and below the small black triangle.The black triangle is far to the right of a small yellow triangle. There is a medium blue triangle near and to the right of the small black triangle.","What object is to the left of the small yellow thing, the medium yellow thing in A or the small blue thing in A? the medium yellow thing in a  or  the small blue thing in a ?",CO," the medium yellow thing in a ,  the small blue thing in a , both of them, none of them",both of them,"['Lists/Sets', ' Transitivity']",the small blue thing in a,the small blue thing in a,the small blue thing in a
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",Which object is left of a black square? the yellow triangle  or  the small circle ?,CO," the yellow triangle ,  the small circle, both of them, none of them", the small circle,"['Transitivity', ' reverse']",the small circle,the small circle,the small circle
