Unnamed: 0,Story,Question,Q_type,Candidate_Answers,Answer,Reasoning_type,ollama/gemma:2b_Base,ollama/phi3:mini_Base,ollama/qwen:4b_Base,ollama/openchat_Base,ollama/mistral_Base,ollama/llama3_Base,llama70B_Base,llama70B_Visual
119,"There are three blocks A, B, and C. Block A has a medium yellow square to the left of a small blue triangle. Block B is to the right of block A. It has two small blue squares. The square number one is touching the right edge of this block and the square number two is above the square number one. Block C is below block A. It has a big black triangle above a small black triangle. The big black triangle is to the right of a small yellow square. A small yellow triangle is below and to the left of the small black triangle.",Which block has a small blue object to the left of another small blue object?,FB,"A, B, C",B,,"The answer is B.

The block with the small blue object to the left of another small blue object is block B.",Block A,B,B,B,B,A,B
232,"We have three blocks A, B, and C. Block B is to the right of block A and C and also is above block C. Block A is above block C. Block A has a big blue square above a big blue triangle. Block B has a big black circle to the left of a medium black triangle which is above and to the left of a medium yellow square. Block C has a medium yellow circle touching the top edge of the block and a big black circle touvhing the bottom edge of the block. Above the big circle there is a medium blue triangle which is below and to the left of a big blue triangle.",Where is the yellow square regarding to the big black circle above a yellow circle?,FR,"left, right, above, below, near to, far from, touching, DK",right,,The yellow square is touching the bottom edge of the big black circle above a yellow circle.,Below,above,near to,Above,right,above,above
226,"We have three blocks A, B, and C. Block B is to the right of block A and C and also is above block C. Block A is above block C. Block A has a big blue square above a big blue triangle. Block B has a big black circle to the left of a medium black triangle which is above and to the left of a medium yellow square. Block C has a medium yellow circle touching the top edge of the block and a big black circle touvhing the bottom edge of the block. Above the big circle there is a medium blue triangle which is below and to the left of a big blue triangle.",What is to the right of a big blue triangle? a blue square  or  a blue triangle?,CO," a blue square ,  a blue triangle, both of them, none of them",none of them,,"The answer is a blue triangle.

The context describes the positions of the blocks and the shapes of the circles and triangles, which allows us to deduce that the answer is a blue triangle.",Both of them,a blue square,a blue square,a blue square,a blue triangle,a blue square,a blue square
237,"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",Is orange thing to the right of the white thing?,YN,"Yes, No, DK",No,['Lists/Sets'],"Yes, the answer is Yes. The orange rectangle is to the right of the white square.",No,Yes.,Yes,Yes,No,Yes,Yes
80,"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",What object is far from the yellow thing? the large blue triangle  or  the small black triangle?,CO," the large blue triangle ,  the small black triangle, both of them, none of them", the large blue triangle ,['Symmetry'],"The answer is the small black triangle.

The context describes the positions of the blocks and the objects in relation to each other. The small black triangle is to the right of the triangle, which is to the right of the yellow circle. Therefore, the small black triangle is far from the yellow thing.",Both of them,The large blue triangle.,the small black triangle,the small black triangle,the small black triangle,the small black triangle,the small black triangle
145,"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",What is the relation between the black object above a small shape and the black thing to the right the large thing?,FR,"left, right, above, below, near to, far from, touching, DK",left,"['Lists', ' reverse']","The answer is ""above"".

The black object above a small shape is above the black thing to the right the large thing.",Below,left,"above, far from","Above, far from",Above,above,above
248,"There are three blocks A, B, and C. Block A is below blocks B and C. It has three circles. The fist circle is big and yellow which is touching the bottom edge of this block. Another is medium and blue which is to the right of the big yellow circle and below and to the right of the medium yellow circle. Block B has a medium yellow circle and a medium black square which are touhing the right edge of this block. there is amedium blue circle to the left of the yellow and black objects in this block. Block C is to the right of the block B. It has a big yellow square that is touching the right edge of the block. It is above a big blue triangle. To the right of the big blue triangle there is a small black circle.",What is the relation between the big yellow circle and the yellow circle above a blue circle?,FR,"left, right, above, below, near to, far from, touching, DK",below,,"The answer is ""touching"".

The big yellow circle is touching the bottom edge of the block that the medium yellow circle is on.",Below,above,above,Touching,right,same size,below
174,"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",What block does not have any triangles inside?,FB,"A, B, C",A,"['Quantifier', ' Negation']","The correct answer is C.

The context describes that block C has a black square that is to the right and far from a yellow triangle. Therefore, block C does not have any triangles inside.",Block A,C,C,C,A,A,A
58,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small yellow square near and to the left of a large yellow circle. The large circle is near and to the left of a large blue triangle. In B, there is a small yellow square near and below a large blue triangle. There is a medium black triangle near and above the large blue triangle. In C, there is a small black square far to the left and above a small blue circle. The blue circle is near and to the left of a large yellow square.","What object is not far from the large yellow thing in A, the small yellow square or the small black square? the small yellow square  or  the small black square ?",CO," the small yellow square ,  the small black square , both of them, none of them", the small yellow square ,"['Negation', ' Symmetry']",The small black square is not far from the large yellow thing in A.,neither of them,the small black square,the small yellow square,the small yellow square,the large blue triangle,the small yellow square,the small yellow square
23,"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",What object is not below the black object in B? the black square  or  the large yellow square ?,CO," the black square ,  the large yellow square , both of them, none of them", the black square ,['Negation'],"The answer is ""both of them"".

The black square and the large yellow square are both above the black triangle.",None of them,the large yellow square,the large yellow square,the large yellow square,the large yellow square,the large yellow square,the large yellow square
67,"We have three blocks A, B, and C. Block C is below block A and B. Block A has a blue square which is touching the bottom edge of the block and a yellow square which is on top of the blue square. Block B has a yellow square touching the bottom edge of it. And block C has three squares. The first one is yellow and touching the bottom edge of the block. The second one is black and is on top of the yellow one and the third one is also black and on top of the second square.",Which block has a yellow square above a black square?,FB,"A, B, C","A,  B",,"The answer is C.

Block C has a yellow square above a black square.",Block C,B,B,C,Block A,C,C
118,"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a large yellow square near and below a small yellow square. The small yellow square is far to the left and below a large blue triangle. In B, there is a medium blue circle far to the left and above a small black circle. The small black circle is near to the left of a large blue circle.  In C, there is a large yellow square near and to the left of a large black circle. The black circle is near and to the left of a large blue triangle.",Does A have any circles inside of it?,YN,"Yes, No, DK",No,['Quantifier'],"No, the answer is No.
A does not have any circles inside of it.",No,Yes.,No,Yes,No,No,No
52,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small black triangle near and ot the left of a large blue circle. The large blue circle is near and to the left of a small blue circle. The small blue square is far below a medium yellow square. In B, there is a small yellow circle. In C, there is a medium black triangle that is near and to the left of a small yellow circle. The small yellow circle is near and to the left of a blue triangle. There is a large yellow square touching the bottom of the small yellow circle. Near and below the large yellow square is a large black square.","What object is not above the large black thing, the large yellow square or the small yellow circle? the large yellow square  or  the small yellow circle ?",CO," the large yellow square ,  the small yellow circle , both of them, none of them",none of them,"['Negation', ' Converse']","The answer is the small yellow circle.

The small yellow circle is near and to the left of a blue triangle, which is touching the bottom of the large yellow square. So the small yellow circle cannot be above the large yellow square.",neither of them,"The object that is not above the large black thing, the large yellow square or the small yellow circle is ""both of them"".",the small yellow circle,The small yellow circle,the large blue circle,the small yellow circle,the small yellow circle
246,"There are three blocks called A, B and C. A is to the left of B and B is to the left of C. In A, there is a small blue circle. In B, there is a large blue triangle that is touching the top of a small yellow triangle. In C, there are four circles, a large yellow one, a small blue one, a small black one, and a large black one. The large yellow circle is touching the large black circle and is above and near the small blue circle. The small black circle is near and to the right of the small blue circle. The large black circle is above and near the small black circle.",What block does not have a circle inside of it?,FB,"A, B, C",B,['Negation'],"The answer is C.

The context describes the positions of the blocks and the presence of circles within them. C is described as having four circles, which means it cannot have a circle inside of it.",DK,C,B,C,B,B,B
107,"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",What block does not have a blue object inside of it?,FB,"A, B, C",C,['Negation'],"The answer is C.

The context describes the positions of blocks and objects in relation to each other, but it does not specify which block does not have a blue object inside of it.",Block C,C,B,C,C,C,C
131,"There are three blocks named A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small yellow triangle that is near and to the left of a medium yellow circle. In B, there is a medium black circle Which is above a large blue triangle. The large triangle is above and near a small blue circle. There is also a large black circle far below the small blue circle. In C, there is a medium blue circle.",What block has all of the yellow objects?,FB,"A, B, C",A,['Quantifier'],"The answer is A.

The small yellow triangle is near and to the left of a medium yellow circle, which is to the right of a large blue triangle. So, A has all of the yellow objects.",A,A,A,A,A,A,A
201,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A there is a large yellow triangle touching the bottom edge of A. In B, there is a small blue triangle far above a medium black circle. The medium black circle is near and above a medium yellow triangle. There is a small yellow circle near and to the left of the medium black circle. In C, there is a large black square touching the bottome edge of C. Near and to the left of the square is a medium blue square. The medium blue square is near and below a large black triangle.",Is the medium blue thing near and to the right of a large black thing?,YN,"Yes, No, DK",Yes,"['Symmetry', ' Converse']","No, the answer is No.

The context describes the positions of the blocks and the shapes relative to each other. However, it does not specify the exact location of the medium blue thing relative to the large black thing.",No,DK,No,No,No,Yes,Yes
43,"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",What is to the right of the circle? the small triangle or  the medium triangle?,CO," the small triangle,  the medium triangle, both of them, none of them", the small triangle,,"The answer is the medium triangle.

The context describes the positions of the shapes in the block, and the medium triangle is one of them.",Both of them,the medium triangle,the medium triangle,the medium triangle,the medium triangle,the small triangle,the small triangle
256,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large black circle far below a medium blue triangle. The medium blue triangle is near and below a large blue square. The large blue square is near and to the right of a medium black square. There is a small yellow circle far to the right of the large blue square. In B, there is a medium yellow square near and below a large yellow triangle. The large yellow triangle is near and below a large blue triangle. The large blue triangle is near and to the right of a medium blue triangle. In C, there is a large blue triangle?","What object is not far from the medium black thing, the large blue square or the small yellow circle? the large blue square  or  the small yellow circle ?",CO," the large blue square ,  the small yellow circle , both of them, none of them", the large blue square ,"['Negation', ' Symmetry']","The answer is the small yellow circle.

The small yellow circle is far to the right of the large blue square, and it is not near either the large blue square or the medium black square.",neither of them,The large blue square.,the large blue square,neither of them,the medium black thing,the small yellow circle,the small yellow circle
161,"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small blue triangle. In B, there is a small yellow square near and above a large black circle. The black circle is far above a medium yellow triangle. In C, there is a large yellow square near and above a large blue square. The blue square is near and above a large black circle. There is a small yellow triangle near and to the right of the large black circle.",Is the large black thing in B near and below a small yellow thing?,YN,"Yes, No, DK",Yes,"['Symmetry', ' Converse']","Yes, the large black thing in B is near and below a small yellow thing.",No,No,Yes,No,No,Yes,Yes
279,"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",Is the red square above the green square?,YN,"Yes, No, DK",No,['Symmetry'],"No, the red square is not above the green square.
The output is No.",Yes,Yes.,Yes,No,No,No,No
250,"There are three blocks A, B, and C. Block A is below blocks B and C. It has three circles. The fist circle is big and yellow which is touching the bottom edge of this block. Another is medium and blue which is to the right of the big yellow circle and below and to the right of the medium yellow circle. Block B has a medium yellow circle and a medium black square which are touhing the right edge of this block. there is amedium blue circle to the left of the yellow and black objects in this block. Block C is to the right of the block B. It has a big yellow square that is touching the right edge of the block. It is above a big blue triangle. To the right of the big blue triangle there is a small black circle.",What is the relation between the small circle and the big square?,FR,"left, right, above, below, near to, far from, touching, DK",left,,"The answer is ""touching"".

The small circle is touching the right edge of the big square.",Below,above,near to,Touching,right,right,right
177,"There is a block named A. In A, there is a pink triangle that touches the bottom of A. There is also a white triangle that touches the left edge of A, a red triangle that touches the top of A, and a green triangle that touches the right edge of A. Below A there is a block called B. In B, there is a small square, a large square, and a yellow circle. The large square is to the right of and near the yellow circle. The yellow circe is to the right of and above the small square. Below B there is a blocked named C. In C, there is a brown oval that is on top of a blue rectangle.",Is A above C?,YN,"Yes, No, DK",Yes,['Transitivity'],"No, the answer is No.

The context describes the positions of the blocks in relation to each other, but it does not specify whether A is above C.",Yes,No.,No,No,No,Yes,Yes
82,"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",What object is far from the yellow thing? the large blue triangle  or  the small black triangle?,CO," the large blue triangle ,  the small black triangle, both of them, none of them", the large blue triangle ,['Symmetry'],"The answer is the small black triangle.

The context describes the positions of the blocks and the objects in relation to each other. The small black triangle is to the right of the triangle and the triangle is to the right of the square. Therefore, the small black triangle is far from the yellow thing.",Both of them,The large blue triangle.,the large blue triangle,the small black triangle,the small black triangle,the small black triangle,the small black triangle
62,"There are three blocks called A, B, and C. B is to the right of and touching the right edge of A and C is above and touching the top of B. In A, there is a blue square touching the left edge of A. A red triangle is next to the blue square and is above a yellow circle is touching the bottom edge of A. In B, there is a purple rectangle and an orange oval. The orange oval is touching the right edge of B and the rectangle is near and to the left of and the oval. In C, there is a small triangle a large triangle and a pink triangle. The small triangle is above the large triangle and is touching the top of C. The pink triangle is touching the bottom of C, with the large triangle to the right of the pink triangle.",Is the blue thing above the purple thing?,YN,"Yes, No, DK",DK,['Lists/Sets'],"No, the answer is No.

The blue square is touching the left edge of A, and the purple rectangle is touching the right edge of B. So the blue thing is not above the purple thing.",No,Yes.,No,No,No,No,No
192,"There are three blocks called A, B, and C. A is to the left of B Which is to the left of C. In A, there is a large black triangle near and above a large black square. To the right of the black triangle is a large blue triangle. In B, there is a medium yellow square near and below a small blue circle. In C, there is a small blue square far above a small yellow square. There is a small blue circle to the right of the small yellow square. There is a medium yellow circle near and to the right of the small blue circle. There is also a medium blue circle below the medium yellow circle.",What object is not near the medium yellow thing in C? the large black triangle  or  the large blue triangle ?,CO," the large black triangle ,  the large blue triangle , both of them, none of them",both of them,['Negation'],"The answer is ""both of them"".

The large black triangle and the large blue triangle are both near the medium yellow thing in C. So, both of them are not near the medium yellow thing in C.",None of them,the large black triangle,the large blue triangle,the large black triangle,the large blue triangle,both of them,the large black triangle
206,"There are three blocks called A, B and C. A is to the left of B and B is to the left of C. In A, there is a small blue circle. In B, there is a large blue triangle that is touching the top of a small yellow triangle. In C, there are four circles, a large yellow one, a small blue one, a small black one, and a large black one. The large yellow circle is touching the large black circle and is above and near the small blue circle. The small black circle is near and to the right of the small blue circle. The large black circle is above and near the small black circle.",What object is not touching the large blue triangle? the small yellow triangle  or  the large black square?,CO," the small yellow triangle ,  the large black square, both of them, none of them", the large black square,['Negation'],"The correct answer is both of them.

The small yellow triangle and the large black square are both touching the large blue triangle, so they are not touching it.",None of them,"The object that is not touching the large blue triangle is ""the small yellow triangle"".",the large black square,the small yellow triangle,the small yellow triangle,the large black square,the large black square
169,"There is a block called A. In A, there are four circles that are touching the bottom of A. The red circle is touching and to the left of the yellow circle. The pink circle is touching and to the right of the green circle. The yellow circle is touching and to the left of the green circle. Touching the bottom of A is a block called B. In B, there is a blue rectangle touching the top and the left of B. Near and to the right of the blue rectangle is a purple rectangle that is also touching the top of B. At the bottom of B there is a white triangle. Far to the left of B there is a block called C. In C, there is a brown oval that is to the right of an  orange square.",Is the blue object to the left of the purple thing?,YN,"Yes, No, DK",Yes,['Converse'],"No, the answer is No.

The blue object is not to the left of the purple thing.",Yes,Yes.,Yes,Yes,Yes,Yes,Yes
63,There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,Where is the circle left to a square regarding to a circle below a square?,FR,"left, right, above, below, near to, far from, touching, DK",above,"['Lists/Sets', ' Converse']","The answer is ""left"".

The circle is left to a square regarding to a circle below a square because it is to the left of the yellow square.",Below,left,left,Below,left,left,above
261,"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black triangle. In B, there is a small blue circle that is far below a medium yellow square. In C, there is a small yellow square near and above a small black triangle. The black triangle is near and to the right of a large black square. There is a medium blue triangle below the large black square.",Is the medium yellow thing far from the small blue thing?,YN,"Yes, No, DK",Yes,['Symmetry'],"No

The context does not provide any information about the distance between the medium yellow square and the small blue circle.",No,Yes.,Yes,Yes,No,Yes,Yes
42,"There are three blocks called A, B, and C. In A, there is a pink circle Which is near and to the left of a yellow square. B is to the left and far from A. In B, there is a red rectangle touching both the left edge of B and the left edge of a green triangle. The green triangle is touching the bottom of B. There is also a white circle to the right of the green triangle. C is below both A and B. In C, there is a blue oval that is on top of a black rectangle. The black rectangle is touching the bottom of C.",What block has no circles inside?,FB,"A, B, C",C,['Negation'],"The answer is C.

The green triangle is touching the bottom of B, which is touching the bottom of C. So, C has no circles inside.",2,B,B,B,B,B,B
18,There is a block. We called it A. It has four medium squares. Two of them are yellow and two of them are blue. one of the blue square is touching the bottom edge of this block. The other bue square is on it. Then the yellow squares are on the second blue square. we have another block called B. block A is on this block. block B has two black square up on each other.,Which square is above a yellow square? a medium blue square  or  a medium yellow square?,CO," a medium blue square ,  a medium yellow square, both of them, none of them", a medium yellow square,['Transitivity'],"The answer is a medium yellow square.

The context describes the position of the blocks and the yellow square, which is touching the bottom edge of the block. Therefore, the medium yellow square is above the yellow square.",Both of them,a medium blue square,a medium blue square,a medium yellow square,a medium blue square,a medium blue square,a medium blue square
128,"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black circe that is far to the right of a medium blue square. The medium blue square is near and to the right of a small yellow circle. Far above the blue square is a medium yellow triangle. Near above the medium triangle is a small blue circle. In B, there is a large blue square that is touching the right edge of B. There is a medium black triangle that is touching the left side of the blue square. Near and above the medium black triangle is a large blue circle. Near and above the large blue circle is a large yellow triangle. In C, there is a small yellow triangle near and to the right of a medium black circle. The yellow triangle is touching the right edge of C. Far to the left of the medium black circle is a small blue square.",What block does not have any objects touching the edge of it?,FB,"A, B, C",A,"['Negation', ' Quantifier']","The correct answer is C.

The small yellow triangle near and to the right of the medium black circle is the block that does not have any objects touching the edge of it.",Block A,C,DK,B,C,A,A
254,"There is a block called A. In A, there is a medium blue triangle that is near and above a large yellow triangle. There is a large yellow square far to the right of the large yellow triangle. The large yellow square is near and below a small blue circle. The small blue circle is near and below black triangle. The black triangle far to the right of the medium blue triangle. There is a small blue square be near to the right of a small black triangle. In B, which is to the right of A, there is a medium blue circle touching the bottom edge of B. In C, which is to the right of B, there is a large yellow square touching the bottom edge of C.",What block does not have any squares inside of it?,FB,"A, B, C",B,"['Negation', ' Quantifier']","The correct answer is B.

B is to the right of A, and A has a medium blue circle touching the bottom edge of B. So, B does not have any squares inside of it.",DK,C,DK,A,A,B,B
251,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small blue circle far to the left of a medium yellow square. In B, there is a small blue circle. In C, there is a medium yellow square near and below a large blue square. The large blue square is near and below the small black triangle.The black triangle is far to the right of a small yellow triangle. There is a medium blue triangle near and to the right of the small black triangle.",Is the small blue thing in B to the right of the small blue thing in A?,YN,"Yes, No, DK",Yes,"['Lists/Sets', ' Converse']",Yes. The small blue thing in B is to the right of the small blue thing in A.,No,Yes.,Yes,No,Yes,Yes,Yes
78,"There is a block called A. Inside A, there is a black triangle that is above and to the left of a black circle. There is another block called B which is to the right of A. In B, there are two yellow circles, a blue circle, and a blue square. The blue circle is touching the left edge of B. One of the yellow circles is to the right of the blue circle and to the left of the blue square. The blue square is touching the right edge of B and is above the other yellow circle, Which is also touching the right edge of B.",Which block has a circle to the left of a circle Which is on the left of another circle?,FB,"A, B",A,,"The answer is A.

The block with the circle to the left of a circle which is on the left of another circle is block A.",B,B,B,A,A,B,B
155,"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small yellow triangle far to the right of a medium black circle. Near and to the left of the medium black circle is a small yellow square. Far below the small yellow square is a small blue square. Near and below the small blue square is a medium black triangle. In B, there is a medium yellow circle near and above a small yellow circle. The small yellow circle is near and above a large black square. The large black square is touching the bottom of B. In C, there is a small blue square far below a medium blue square. Far to the right of the medium blue square is a large blue triangle. Near and below the triangle is a medium black square. The medium black square is touching the bottom of C.",Is the medium black thing in A to the right of the other medium black thing?,YN,"Yes, No, DK",Yes,"['Lists/Sets', ' Transitivity']","Yes, the medium black thing is to the right of the other medium black thing.",No,Yes.,Yes,Yes,Yes,Yes,Yes
136,"There are three blocks called A, B, and C. In A, there is a large blue circle that is near and to the left of a large yellow circle. There is also a medium black triangle below the blue circle. In B, Which is to the right of A, there are three small blue circles far above two small black triangles. C is to the right of B. In C, there is a large blue triangle that is near and to the left of a medium black circle. There is also a large black triangle near and below the large blue triangle.",What block has all small objects?,FB,"A, B, C",B,['Quantifier'],"The answer is B.

The small blue circles are located to the right of A in B, which is to the right of A in the context.",B,B,B,B,B only,B,B
202,"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",where is the triangle in block A regarding to a circle in block B?,FR,"left, right, above, below, near to, far from, touching, DK",below,,"The answer is ""left"".

The triangle is to the left of the circle in block B.",Below,left,DK,far from,right,to the left,left
181,"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A there is a large yellow triangle touching the bottom edge of A. In B, there is a small blue triangle far above a medium black circle. The medium black circle is near and above a medium yellow triangle. There is a small yellow circle near and to the left of the medium black circle. In C, there is a large black square touching the bottome edge of C. Near and to the left of the square is a medium blue square. The medium blue square is near and below a large black triangle.","What object is to the right of the medium black thing, the small yellow circle or the large black square? the small yellow circle  or  the large black square ?",CO," the small yellow circle ,  the large black square , both of them, none of them", the large black square ,"['Lists/Sets', ' Converse']","The answer is the large black square.

The context describes the objects in order from left to right. The medium black circle is near and above a medium yellow triangle, which is to the left of the small yellow circle. The large black square is near and below a large black triangle, which is to the right of the medium black circle.",neither of them,"The object to the right of the medium black thing is the large black square. Therefore, the correct answer is ""the large black square"".",the large black square,the large black square,the large black square,the small yellow circle,the small yellow circle
162,"There is a block called A. In A there is a blue square that is far above a yellow square. There is another block called B, Which is to the left of A. In B, there are two black squares that are near each other. One black square is above and to the left of the other one. There is also a block called C, Which is to the left of B. There is a small yellow triangle that is close to and below a large yellow circle. To the left of the triangle there is a small black circle. Far above the small circle is a large black triangle. The black triangle is near and above the large yellow circle.",Is the yellow thing in A to the left of the yellow things in C.,YN,"Yes, No, DK",Yes,"['Lists/Sets', ' Transitivity']","Yes, the yellow thing in A is to the left of the yellow things in C.",No,Yes.,No,No,No,No,No
17,"We have three blocks A, B, and C. Block B is to the right of block A and C and also is above block C. Block A is above block C. Block A has a big blue square above a big blue triangle. Block B has a big black circle to the left of a medium black triangle which is above and to the left of a medium yellow square. Block C has a medium yellow circle touching the top edge of the block and a big black circle touvhing the bottom edge of the block. Above the big circle there is a medium blue triangle which is below and to the left of a big blue triangle.",Which object is above a medium circle? a big circle  or  a medium triangle?,CO," a big circle ,  a medium triangle, both of them, none of them",both of them,,"The answer is both a big circle and a medium triangle.

The big circle is above a medium circle, and the medium triangle is above a medium circle.",Both of them,a medium triangle,a big circle,a big circle,a big circle,both of them,a medium triangle
204,"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",Which object is above the blue circle? the medium triangle  or  the medium square?,CO," the medium triangle ,  the medium square, both of them, none of them", the medium square,,"The answer is the medium square.

The medium square is above the blue circle.",Both of them,the medium triangle,the medium triangle,the medium triangle,the medium triangle,the small triangle,the small triangle
276,"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small blue circle far above a medium yellow square. In B, there is a small blue circle far to the right of a small yellow triangle. In C, there is a medium blue thing far below a medium yellow square. The medium yellow square is near and below a small black triangle. There is a large blue triangle near and to the left of the small black triangle.",What block does has all of the large objects inside of it?,FB,"A, B, C",C,['Quantifier'],"The answer is B.

The medium yellow square is near and below a small black triangle, which is inside of block B.",DK,A,B,C,C,C,C
185,"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small blue circle far above a medium yellow square. In B, there is a small blue circle far to the right of a small yellow triangle. In C, there is a medium blue thing far below a medium yellow square. The medium yellow square is near and below a small black triangle. There is a large blue triangle near and to the left of the small black triangle.",Is the small yellow thing in A is near and above a small blue thing?,YN,"Yes, No, DK",No,"['Symmetry', ' Converse']","Yes, the small yellow thing is near and above a small blue thing.",No,Yes.,No,No,Yes,No,No
253,"We have three blocks A, B, and C. Block C is below block A and B. Block A has a blue square which is touching the bottom edge of the block and a yellow square which is on top of the blue square. Block B has a yellow square touching the bottom edge of it. And block C has three squares. The first one is yellow and touching the bottom edge of the block. The second one is black and is on top of the yellow one and the third one is also black and on top of the second square.",Are all black squares touching a square?,YN,"Yes, No, DK",Yes,,"No, the answer is No.
The context describes that Block C has three black squares, but the question asks if all of them are touching a square. The answer is No, as the context does not provide any information about the relationship between the black squares and the square.",No,Yes.,Yes,Yes,Yes,Yes,Yes
184,"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a medium blue circle Which is near and above a small blue circle. In B, there is a large yellow triangle Which is to the right and touching a large blue triangle. There is also a small yellow triangle to the left of the large blue triangle. In C, there is a small blue circle that is far above a blue triangle. The blue triangle is to the left of a black triangle.",What block does not have a triangle inside of it?,FB,"A, B, C",A,['Negation'],"The correct answer is C.

The context describes the positions of the blocks and the circles and triangles, but it does not specify which block does not have a triangle inside of it.",Block A,C,A,C,A,A,A
135,"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",What block does not have a circle inside of it?,FB,"A, B, C",B,['Negation'],"The answer is C.

The context describes the positions of the blocks and the circles within them. In C, there is a yellow circle, a large yellow triangle, and a black square. None of these elements are inside the block, so it does not have a circle inside of it.",Block B,B,B,C,B,B,B
