Story,Question,Q_type,Candidate_Answers,Answer,Reasoning_type,ollama/gemma:2b,ollama/phi3:mini,ollama/qwen:4b,ollama/openchat,ollama/mistral,ollama/llama3,llama70B
"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",Where is the circle reagrding to the object above the medium square?,FR,"left, right, above, below, near to, far from, touching, DK",below,,"The answer is ""above"".

The circle is above the medium triangle.",Below,above,above,Below (the medium square),above,above
"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",What is the relation between the large yellow thing and the other yellow object?,FR,"left, right, above, below, near to, far from, touching, DK","right, near to","['Converse', ' Symmetry']","The answer is ""left"".

The large yellow thing is to the left of the yellow triangle.",Below,left,near to,Near to,near to,to the right of
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",Is the object in block A to the right of the yellow triangle Which is to the right of a black shape?,YN,"Yes, No, DK",No,['Transitivity'],Yes. The object in block A is to the right of the yellow triangle.,No,Yes.,No,Yes,No,No
There are two blocks A and B. Block A has two medium yellow circle and a medium yellow triangle. The medium circle number one is to the right of the yellow triangle which is to the right of the medium circle number two. This block also has a medium black triangle touching the bottom edge of it. Block B is to the right of the block A. It has two medium yellow circle and a medium black triangle. It also has a big blue square above the medium yellow circle number one. The medium triangle is to the left of the medium circle number one and to the right of the medium circle number two. The big square is to the right of the triangle.,What is the relation between the triangle below another triangle and the yellow object below the big square?,FR,"left, right, above, below, near to, far from, touching, DK",left,,"The answer is ""left"".

The triangle below another triangle is to the left of the medium circle number one.",Below,left,"left, above","Below, Yellow object",Below,same
"There are three blocks named A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small yellow triangle that is near and to the left of a medium yellow circle. In B, there is a medium black circle Which is above a large blue triangle. The large triangle is above and near a small blue circle. There is also a large black circle far below the small blue circle. In C, there is a medium blue circle.",What object is not below the large blue thing? the medium black circle  or  the small blue circle?,CO," the medium black circle ,  the small blue circle, both of them, none of them", the medium black circle ,['Negation'],"The answer is both the medium black circle and the small blue circle.

The context describes the objects in order they appear in the left to right order. The small blue circle is to the left of the medium black circle, and the medium black circle is above the large blue triangle. Therefore, the small blue circle must be above the large blue thing.",None of them,The medium black circle.,the small blue circle,None of them,the medium black circle,the medium black circle
"There is a block called A. It has a small yellow square, a smal black triangle and a small black circle. A medium blue square is above and to the right of the smal black triangle and circle. The small yellow square is above the medium square. The small black circle is above a big blue circle and to the right of the small black triangle. Block A is below another block called B.block B has two big yellow triangle and a big black circle that is touching the top edge of this block. One of the triangles is touching the bottom edge of block B.",what is the relation between the big yellow triangle that is touching the bottom edge of a block and another big yellow triangle?,FR,"left, right, above, below, near to, far from, touching, DK",below,,The big yellow triangle that is touching the bottom edge of a block is touching the big yellow triangle.,Below,above,touching,Touching,right,above
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",What block is to the left of B,FB,"A, B, C",A,['Converse'],"The answer is B.

The context describes the positions of blocks A, B, and C relative to each other. B is to the right of A, and the large yellow square is near and to the left of a small yellow square. Therefore, B is to the left of A.",A,A,A,B,A,A
"There are three blocks called A, B, and C. A, is to the left of B and B is to the left of C. In A, there is a small yellow square far to the left of a medium yellow triangle. There is a large blue square far above the medium yellow triangle. There is a small blue triangle near and above the large blue square. In B, there is a small yellow triangle near and to the left of a medium yellow triangle. Far below the medium yellow triangle is a medium black circle. In C, there is a medium yellow circle near and above a large yellow square. The yellow square is far above a large black circle. There is a small blue triangle near and to the right of the large yellow square.",What block does not have any blue objects inside of it?,FB,"A, B",B,"['Negation', ' Quantifier']","B. B has a small yellow triangle near and to the left of a medium yellow triangle, which does not have any blue objects inside of it.",C,C,B,B,C,B
"There are three blocks called A, B, and C. A is to the left of B Which is to the left of C. In A, there is a large black triangle near and above a large black square. To the right of the black triangle is a large blue triangle. In B, there is a medium yellow square near and below a small blue circle. In C, there is a small blue square far above a small yellow square. There is a small blue circle to the right of the small yellow square. There is a medium yellow circle near and to the right of the small blue circle. There is also a medium blue circle below the medium yellow circle.",What object is to the right of the medium yellow thing in B? the medium yellow circle or   the large blue triangle ?,CO," the medium yellow circle,   the large blue triangle , both of them, none of them", the medium yellow circle,"['Lists/Sets', ' Converse']","The answer is the large blue triangle.

The context describes the objects in order from left to right. The medium yellow circle is to the right of the medium yellow thing in B, and the large blue triangle is to the left of it.",Both of them,the medium yellow circle,the medium yellow circle,the large blue triangle,the medium yellow circle,the small blue circle
"There is a block called A. In A, there is a large blue square near and below a medium blue triangle. Far to the left of the medium blue triangle is a small yellow square. Far above the medium blue triangle is a small blue triangle. There is another block called B, which is to the right of A. In B, There is a small yellow circle touching the left edge of B. Far to the right of the circle is a large yellow square. Near and above the large square is a small yellow square. There is another block called C, which is to the right of B. In C, there is a small blue circle near and to the left of a large yellow triangle. The large yellow triangle is near and to the left of a large blue triangle. The large blue triangle is far above a large blue circle. The large blue circle is touching the bottom edge of C.","What object is not near the large yellow thing in B, the small yellow square or the small yellow circle? the small yellow square  or  the small yellow circle ?",CO," the small yellow square ,  the small yellow circle , both of them, none of them", the small yellow circle ,"['Negation', ' Symmetry']","The answer is both of them.

The small yellow square and the small yellow circle are both not near the large yellow thing in B.",neither of them,The small yellow circle.,the small yellow circle,None of them,the large blue triangle,the small yellow circle
"There is a block called A. Inside A, there is a black triangle that is above and to the left of a black circle. There is another block called B which is to the right of A. In B, there are two yellow circles, a blue circle, and a blue square. The blue circle is touching the left edge of B. One of the yellow circles is to the right of the blue circle and to the left of the blue square. The blue square is touching the right edge of B and is above the other yellow circle, Which is also touching the right edge of B.",Which block has a circle to the left of a circle Which is on the left of another circle?,FB,"A, B",A,,"The answer is A.

The block with the circle to the left of a circle which is on the left of another circle is block A.",B,B,B,A,A,B
There are two blocks A and B. Block A has two medium yellow circle and a medium yellow triangle. The medium circle number one is to the right of the yellow triangle which is to the right of the medium circle number two. This block also has a medium black triangle touching the bottom edge of it. Block B is to the right of the block A. It has two medium yellow circle and a medium black triangle. It also has a big blue square above the medium yellow circle number one. The medium triangle is to the left of the medium circle number one and to the right of the medium circle number two. The big square is to the right of the triangle.,Which block has a triangle below another triangle?,FB,"A, B",A,,"The answer is B.

The block with the triangle below another triangle is block B.",DK,A,A,A,Block A,A
"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",What object is far from the yellow thing? the large blue triangle  or  the small black triangle?,CO," the large blue triangle ,  the small black triangle, both of them, none of them", the large blue triangle ,['Symmetry'],"The answer is the small black triangle.

The context describes the positions of the blocks and the objects in relation to each other. The small black triangle is to the right of the triangle, which is to the right of the yellow circle. Therefore, the small black triangle is far from the yellow thing.",None of them,The large blue triangle.,the small black triangle,the small black triangle,the small black triangle,the small black triangle
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large blue triangle that is near and below a medium black triangle. There is also a large black triangle that is near and below the large blue triangle. In B, there are two medium blue circles that are to the left of a medium black circle. The black circle is near and above a large blue circle. In C, there is a large yellow circle that is near and to the left of a small black triangle. There is also a large blue triangle near and to the right of the small black triangle.",What object is not far from the the large blue thing in B? the medium black circle  or  the small black square ?,CO," the medium black circle ,  the small black square , both of them, none of them", the medium black circle ,"['Negation', ' Symmetry']","The answer is the small black square.

The context describes the positions of the blocks and the large blue thing in B, but it does not specify the distance between the objects. The small black square is not mentioned in the context, so it cannot be the answer.",None of them,the medium black circle,the medium black circle,the medium black circle,the medium black circle,the medium black circle
"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",What object is far from the yellow thing? the large blue triangle  or  the small black triangle?,CO," the large blue triangle ,  the small black triangle, both of them, none of them", the large blue triangle ,['Symmetry'],"The answer is the small black triangle.

The context describes the positions of the blocks and the objects in relation to each other. The small black triangle is to the right of the triangle and the triangle is to the right of the square. Therefore, the small black triangle is far from the yellow thing.",Both of them,The large blue triangle.,the small black triangle,the small black triangle,the small black triangle,the small black triangle
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a medium blue square near and to the right of a large yellow square. The large yellow square is far to the right of a small blue circle. In B, there is a large black circle is near and above a large blue circle. Far below the blue circle is a large black square. In C, there is a small blue circle that is far below a large blue square.",Is the small blue thing in C to the right of the large blue thing in B?,YN,"Yes, No, DK",No,"['Lists/Sets', ' Converse']","No, the answer is No.

The context describes the positions of the blocks in relation to each other, but it does not specify the exact location of the small blue thing in C relative to the large blue thing in B.",No,Yes.,No,No,No,No
"There is a block called A. In A, there is a medium yellow triangle near and above a large yellow triangle. The large yellow triangle is near and to the left of a large black triangle. There is a block called B, which is to the right of A. In B, there is a small yellow circle far above a large black triangle. The large black triangle is near and above a medium yellow triangle. There is a small blue triangle far to the right of the large black triangle. There is a block called C, which is to the right of B. In C, there is a medium black circle near and to the left of a medium blue square. The blue square is near and to the left of a large black square.",Is the medium blue thing below a medium black thing?,YN,"Yes, No, DK",DK,['No Data'],"No, the answer is No.

The context does not provide any information about the relative positions of the medium blue thing and the medium black thing, so we cannot determine if they are below each other.",No,Yes.,No,Yes,Yes,No
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small black triangle near and below a large yellow circle. Far to the right of the yellow circle is a small blue square. In B, there is a large black triangle far below a small blue circle. The small blue circle is near and below a small blue triangle. In C, there is a small blue circle.",What is the relation between the large yellow thing and the small black thing?,FR,"left, right, above, below, near to, far from, touching, DK","above, near to","['Symmetry', ' Converse']","The answer is ""left"".

The large yellow thing and the small black thing are on the left side of each other.",Below,right,near to,Below,below,above
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",Is the small blue thing far from the large black thing?,YN,"Yes, No, DK",Yes,['Symmetry'],Yes. The small blue thing is far from the large black thing.,No,Yes.,Yes,Yes,Yes,Yes
"There are three blocks called A, B, and C. In A, there is a large blue circle that is near and to the left of a large yellow circle. There is also a medium black triangle below the blue circle. In B, Which is to the right of A, there are three small blue circles far above two small black triangles. C is to the right of B. In C, there is a large blue triangle that is near and to the left of a medium black circle. There is also a large black triangle near and below the large blue triangle.",What object is not below the medium black thing in C? the large black triangle  or  the medium black triangle?,CO," the large black triangle ,  the medium black triangle, both of them, none of them", the medium black triangle,"['Negation', ' Transitivity']","The answer is both of them.

The large black triangle and the medium black triangle are both below the medium black thing in C.",None of them,The large black triangle.,the medium black triangle,the large black triangle,the large black triangle,the medium black triangle
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small blue triangle. In B, there is a large blue circle near and to the right of a small yellow square. The yellow square is near and to the right of a small black circle. In C, there is a small yellow circle near and below a medium black triangle. There is a small blue square near and above the black triangle.",What block does not have any yellow objects inside?,FB,"A, B, C",A,"['Negation', ' Quantifier']","The answer is C.

The yellow square is near and to the right of a small black circle, which is in C. So, C does not have any yellow objects inside.",Block C,C,B,C,C,A
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small blue square near and below a medium black triangle. Near and above the medium black triangle is a large blue circle. In B, there is a large yellow circle far above a medium black square. The medium black square is to the near and to the left of a small yellow square. In C, there is a large yellow circle far above a small black circle.",Is the small yellow thing near and to the right of a medium black thing,YN,"Yes, No, DK",Yes,"['Converse', ' Symmetry']","Yes, the small yellow thing is near and to the right of a medium black thing.",No,DK,No,No,No,Yes
"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",Which block has a square to the right of another square?,FB,"A, B, C",C,"['Lists/Sets', ' Converse']","The answer is B.

The square to the right of the other square is block B.",Block B,B,B,DK (Since no information is provided about the arrangement of squares in Block C),B,C
"There is a block called A. Inside A, there is a black triangle that is above and to the left of a black circle. There is another block called B which is to the right of A. In B, there are two yellow circles, a blue circle, and a blue square. The blue circle is touching the left edge of B. One of the yellow circles is to the right of the blue circle and to the left of the blue square. The blue square is touching the right edge of B and is above the other yellow circle, Which is also touching the right edge of B.",What is the relation between the black and blue objects?,FR,"left, right, above, below, near to, far from, touching, DK",left,['Lists/Sets'],"The answer is ""touching"".

The blue circle is touching the left edge of B, and the blue square is touching the right edge of B, so the black and blue objects are touching.","Below, right",left,touching,Touching,above and to the left,DK
"There is a block called A which has a medium yellow triangle. To the right of the block A, there is a block called B. It has three circles and a small black triangle. Two of the circles are medium blue which one of them touching the top edge of the block and the other is touching the bottom and left edge of the block B. Anothe circle is big and black which the small black triangle is below and tp the left of it. There is another block C which is to the left of the block A. it has a small black square that is touching the bottom edge of the block and a medium blue circle.",Is the small triangle below the circle which is touching the left edge of the block?,YN,"Yes, No, DK",No,,"Yes, the small triangle is below the circle which is touching the left edge of the block.",No,Yes.,No,Yes,Yes,Yes
"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",What is the relation between the circle above the blue triangle and the black object below a blue triangle?,FR,"left, right, above, below, near to, far from, touching, DK",left,,"The answer is ""touching"".

The circle is touching the top edge of the small triangle, which is touching the bottom edge of the block.",Below,above,"above, below",Above,below,above
"There are three blocks A, B, and C. Block A has a medium yellow square to the left of a small blue triangle. Block B is to the right of block A. It has two small blue squares. The square number one is touching the right edge of this block and the square number two is above the square number one. Block C is below block A. It has a big black triangle above a small black triangle. The big black triangle is to the right of a small yellow square. A small yellow triangle is below and to the left of the small black triangle.",Where is big triangle regarding the small yellow triangle?,FR,"left, right, above, below, near to, far from, touching, DK",above,,"The correct answer is ""above"".

The big triangle is above the small yellow triangle.",Below,above,above,Above,right,above
"There is a block called A. Inside there's a red oval that is above a blue triangle. The blue triangle is touching the right edge of A and the top of a large black square. Touching the bottom edge of A is  a small orange square. The is a block called B Which is to the right and touching A. Inside B there are 5 triangles, a red one, a green one, a large yellow one, a brown one, and an orange one. The red and orange triangles are touching the left edge of B and the orange triangle is above the red triangle. The large yellow triangle is touching the top edge of B. The green triangle is touching the right edge of B. The brown triangle is below all of the other triangles and is touching the bottom of B.",Does B have all of the triangles?,YN,"Yes, No, DK",No,['Quantifier'],"No, the candidate answer is No.

The context describes that B has 5 triangles, but the red and orange triangles are touching the left edge of B, which is not mentioned in the context.",Yes,No,Yes,Yes,Yes,No
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a large yellow square near and below a small yellow square. The small yellow square is far to the left and below a large blue triangle. In B, there is a medium blue circle far to the left and above a small black circle. The small black circle is near to the left of a large blue circle.  In C, there is a large yellow square near and to the left of a large black circle. The black circle is near and to the left of a large blue triangle.",What block does not have any triangles inside of it?,FB,"A, B, C",B,"['Negation', ' Quantifier']","The answer is C.

The context describes the positions of the blocks in relation to each other, but it does not specify which block has any triangles inside of it.",DK,C,B,B,A,B
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",Which block has a triangle above a square?,FB,"A, B, C",B,['transitivity'],"The answer is A.

The block with the triangle is located above the square in block A.",B,B,B,B,B,B
"We have three blocks A, B, and C. Block B is to the right of block A and C and also is above block C. Block A is above block C. Block A has a big blue square above a big blue triangle. Block B has a big black circle to the left of a medium black triangle which is above and to the left of a medium yellow square. Block C has a medium yellow circle touching the top edge of the block and a big black circle touvhing the bottom edge of the block. Above the big circle there is a medium blue triangle which is below and to the left of a big blue triangle.",Are all big objects above any triangles?,YN,"Yes, No, DK",No,,"The correct answer is **No**.

The context describes the positions of the blocks and the objects within them, but it does not specify whether all the big objects are above any triangles.",No,Yes.,No,Yes,Yes,Yes
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black triangle that is near and to the left of a small black square. In B, there is a large black triangle near and to the right of a small blue square. In C, there is a medium blue circle near and below a medium blue square. The medium blue square is near and below a small blue circle. Far below the medium blue circle is a medium yellow circle. Near and to the left of the medium yellow circle is a large yellow circle.","What object is to far to the left of the medium black thing, the large black triangle or the medium blue square? the large black triangle  or  the medium blue square ?",CO," the large black triangle ,  the medium blue square , both of them, none of them",none of them,['No Data'],"The answer is the medium blue square.

The medium blue square is to far to the left of the medium black thing, the large black triangle or the medium blue square.",neither of them,"The object that is far to the left of the medium black thing, the large black triangle or the medium blue square?

The large black triangle",the medium blue square,the large black triangle,the medium yellow circle,the medium blue square
There is a block. We called it A. It has four medium squares. Two of them are yellow and two of them are blue. one of the blue square is touching the bottom edge of this block. The other bue square is on it. Then the yellow squares are on the second blue square. we have another block called B. block A is on this block. block B has two black square up on each other.,Which block has a square below all blue squares?,FB,"A, B",B,"['Lists/Sets', ' Quantifier']","The answer is A.

The block with the square below all blue squares is block A.",DK,A,B,B,Block A,B
"There is a block called A. In A there is a red triangle Which is above a black circle. The black circle is touching the bottom of A. A yellow square is touching the top edge of A and below that there is a red oval is touching the right edge of A. There is a second block call B Which is to the left of A. Inside B there are 3 squares, a brown one, a green one, and a red one. The green square is above the red square and touching the left edge of B. The brown square is touching both the bottom edge and the right edge of B. The red square is touching the left edge of the brown square.",Are all of the squares in B?,YN,"Yes, No, DK",No,['Quantifier'],"No, the answer is No.

The green square is above the red square and touching the left edge of B, but it is not in B.",No,Yes.,Yes,Yes,Yes,Yes
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small black triangle near and ot the left of a large blue circle. The large blue circle is near and to the left of a small blue circle. The small blue square is far below a medium yellow square. In B, there is a small yellow circle. In C, there is a medium black triangle that is near and to the left of a small yellow circle. The small yellow circle is near and to the left of a blue triangle. There is a large yellow square touching the bottom of the small yellow circle. Near and below the large yellow square is a large black square.",Is the medium yellow thing far above a small blue object?,YN,"Yes, No, DK",Yes,"['Symmetry', ' Converse']","No, the answer is No.

The context does not provide any information about the medium yellow thing being far above a small blue object.",No,Yes.,No,Yes,No,Yes
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small blue circle far to the left of a large black circle. In B, there is a medium blue square near and below a medium black circle. In C, there is a large black square far below and to the right of a medium yellow circle. The circle is to far below and to the right of a small yellow triangle.",Does A have any squares inside of it?,YN,"Yes, No, DK",No,['Quantifier'],"No, the answer is No.
A does not have any squares inside of it.",No,Yes.,No,Yes,No,No
There are two blocks A and B. Block A has two medium yellow circle and a medium yellow triangle. The medium circle number one is to the right of the yellow triangle which is to the right of the medium circle number two. This block also has a medium black triangle touching the bottom edge of it. Block B is to the right of the block A. It has two medium yellow circle and a medium black triangle. It also has a big blue square above the medium yellow circle number one. The medium triangle is to the left of the medium circle number one and to the right of the medium circle number two. The big square is to the right of the triangle.,Is there any circle in block B to the right of the square?,YN,"Yes, No, DK",DK,,"No, the answer is No.

The context describes the positions of the circles and triangles in block B relative to block A. There is no circle in block B to the right of the square.",No,No.,Yes,Yes,No,No
"There is a block called A. Inside A, there is a black triangle that is above and to the left of a black circle. There is another block called B which is to the right of A. In B, there are two yellow circles, a blue circle, and a blue square. The blue circle is touching the left edge of B. One of the yellow circles is to the right of the blue circle and to the left of the blue square. The blue square is touching the right edge of B and is above the other yellow circle, Which is also touching the right edge of B.",What is the relation between the circle Which is to the left of a blue circle and the black thing to the left of a black object?,FR,"left, right, above, below, near to, far from, touching, DK",below,,"The answer is ""touching"".

The circle which is to the left of a blue circle is touching the right edge of B.",Left,left,left,Touching,above,above
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small blue circle far to the left of a medium yellow square. In B, there is a small blue circle. In C, there is a medium yellow square near and below a large blue square. The large blue square is near and below the small black triangle.The black triangle is far to the right of a small yellow triangle. There is a medium blue triangle near and to the right of the small black triangle.",What block has all of the large objects inside of it?,FB,"A, B, C",C,['Quantifier'],"The answer is B.

B is to the left of A and A is to the left of C, so B is to the left of C. In B, there is a small blue circle, and in C, there is a medium yellow square near and below a large blue square. So, B has all of the large objects inside of it.",C,C,C,C,C,C
"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",What block does not have a blue object inside of it?,FB,"A, B, C",C,['Negation'],"The correct answer is C.

The context describes the positions of blocks and objects in relation to each other, but it does not specify which block does not have a blue object inside of it.",Block C,C,B,C,C,C
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small yellow triangle far to the right of a medium black circle. Near and to the left of the medium black circle is a small yellow square. Far below the small yellow square is a small blue square. Near and below the small blue square is a medium black triangle. In B, there is a medium yellow circle near and above a small yellow circle. The small yellow circle is near and above a large black square. The large black square is touching the bottom of B. In C, there is a small blue square far below a medium blue square. Far to the right of the medium blue square is a large blue triangle. Near and below the triangle is a medium black square. The medium black square is touching the bottom of C.","What object is not near the medium black thing in C, the large blue thing or the small blue thing in C? the large blue thing  or  the small blue thing ?",CO," the large blue thing ,  the small blue thing , both of them, none of them", the small blue thing ,"['Negation', ' Symmetry']","The answer is the large blue thing.

The large blue thing is not near the medium black thing in C, the large blue thing or the small blue thing in C.",DK,"The object that is not near the medium black thing in C, the large blue thing or the small blue thing in C? is ""the small blue thing"".",the large blue thing,the small blue thing,the small blue thing,the small blue thing
"There is a block called A. In A there is a small black circle. There is another block called B, Which is to the right of A. In B, there are four yellow squares, three medium ones and a small one. The medium squares are above each other with the top one touching the right edge of B and the bottom one touching the bottom of B. The small yellow square is near and to the left of the bottom medium square There is also a small black square near to the left of the small yellow square. There is another block called C, Which is to the right of B. In C, there is a yellow triangle Which is far to the right of a yellow square.",Is the thing that touches the bottom of B to the left of a small yellow thing?,YN,"Yes, No, DK",Yes,['Converse'],Yes. The thing that touches the bottom of B to the left of a small yellow thing is the medium square.,No,Yes.,Yes,Yes,Yes,Yes
"There is a block called A. It has a small yellow square, a smal black triangle and a small black circle. A medium blue square is above and to the right of the smal black triangle and circle. The small yellow square is above the medium square. The small black circle is above a big blue circle and to the right of the small black triangle. Block A is below another block called B.block B has two big yellow triangle and a big black circle that is touching the top edge of this block. One of the triangles is touching the bottom edge of block B.",What is the relation between the big blue circle and the small square?,FR,"left, right, above, below, near to, far from, touching, DK",below,,"The answer is ""touching"".

The big blue circle is touching the top edge of the small black triangle.",Below,above,near to,Right (relative to the small square),Above,below
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a medium blue square near and to the left of a medium black triangle. The medium black triangle is near and below a medium yellow square. In B, there is a small blue square far to the left of a large black circle. There is a medium yellow circle far above the black circle. In C, there is a large yellow square",Is the medium yellow thing in A near and above a black thing?,YN,"Yes, No, DK",Yes,"['Symmetry', ' Converse']","Yes, the medium yellow thing in A is near and above a black thing.",Yes,Yes.,No,Yes,Yes,Yes
"We have three blocks A, B, and C. Block C is below block A and B. Block A has a blue square which is touching the bottom edge of the block and a yellow square which is on top of the blue square. Block B has a yellow square touching the bottom edge of it. And block C has three squares. The first one is yellow and touching the bottom edge of the block. The second one is black and is on top of the yellow one and the third one is also black and on top of the second square.",What is the relation between all balck squares and the blue square?,FR,"left, right, above, below, near to, far from, touching, DK",below,,"The correct answer is ""touching"".

The blue square is touching the bottom edge of block C, which is a black square.",Below,above,touching,Touching,Below touching,below
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black circle that is near and to the right of a medium black square. The square is near and below a medium yellow triangle. In B, there is a large triangle to the right of a medium yellow circle. A small yellow square is below the yellow circle and a medium black triangle is below the small yellow square. In C, there is a small black circle far above a medium black square. The square is to the left of a medium black circle.",Is the medium black square in A near the other medium black thing,YN,"Yes, No, DK",Yes,['Symmetry'],"Yes, the medium black square is near the other medium black thing in A.",Yes,Yes.,Yes,Yes,Yes,Yes
"There are three blue shapes in a block that we called A. Two medium blue squares are below a big blue square. First medium blue square is to the left of the other medium one which is touching the bottom edge of block A. There is another block below the block A we call it B. A big blue triangle is touching the top edge of this block which is above a small black triangle, a big blue circle and a medium blue triangle. The medium triangle is touching the bottom edge of the block. The circle is below and to the left of the small triangle. It is above the medium triangle.",Which block has a medium object below a big object?,FB,"A, B","A,  B",,"The answer is B.

The two medium blue squares are below a big blue square, which is below block A.",2,B,B,A,Block A,"A, B"
There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,What is the relation between the red square and the blue thing Which is below the yellow square?,FR,"left, right, above, below, near to, far from, touching, DK",above,"['Lists/Sets', ' Converse']","The answer is ""below"".

The red square is below the yellow square.",Below,below,below,Below,below,above
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black circe that is far to the right of a medium blue square. The medium blue square is near and to the right of a small yellow circle. Far above the blue square is a medium yellow triangle. Near above the medium triangle is a small blue circle. In B, there is a large blue square that is touching the right edge of B. There is a medium black triangle that is touching the left side of the blue square. Near and above the medium black triangle is a large blue circle. Near and above the large blue circle is a large yellow triangle. In C, there is a small yellow triangle near and to the right of a medium black circle. The yellow triangle is touching the right edge of C. Far to the left of the medium black circle is a small blue square.",What block does not have any small objects inside of it?,FB,"A, B, C",B,"['Negation', ' Quantifier']","The correct answer is C.

The context describes the positions of various small objects in the three blocks, but it does not specify which block does not have any small objects inside of it.",Block B,C,B,C,C,B
We have one block called A. there is a big blue circle touching bottom edge and a small blue triangle touching the top edge and another small blue triangle touching right edge of this block. There is a big yellow square above the big circle and below small triangle number one. It is to the left of small triangle number two. This block also has a small yellow and a small black triangles. Both of them are above the big circle and below the big square.,Where is the big square regarding to the object which is below a black object?,FR,"left, right, above, below, near to, far from, touching, DK",above,['Transitivity'],"The correct answer is ""above"".

The big square is above the black object.",Below,left,above,Below,Above,above
