Story,Question,Q_type,Candidate_Answers,Answer,Reasoning_type,ollama/openchat,ollama/llama3,ollama/mistral,ollama/phi3:mini,ollama/gemma:2b
"There is a block named A. In A, there is a pink triangle that touches the bottom of A. There is also a white triangle that touches the left edge of A, a red triangle that touches the top of A, and a green triangle that touches the right edge of A. Below A there is a block called B. In B, there is a small square, a large square, and a yellow circle. The large square is to the right of and near the yellow circle. The yellow circe is to the right of and above the small square. Below B there is a blocked named C. In C, there is a brown oval that is on top of a blue rectangle.",What is the relation between the pink objects and yellow objects?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['above', 'far from']",['Lists/Sets'],['touching'],"['touching']

note: the pink triangle is touching the bottom of block a, and the yellow circle is in block b.","['right"", ""above""]","[bottom of a block] and [not touching each other], as they are on different blocks with no direct contact. the pink object is at the bottom, while yellow objects are in a separate block below it without any specific spatial relation mentioned between them within their respective blocks. therefore, 'touching' does not apply here either.",['touching']
"There are three blocks called A, B, and C. B is to the right of and touching the right edge of A and C is above and touching the top of B. In A, there is a blue square touching the left edge of A. A red triangle is next to the blue square and is above a yellow circle is touching the bottom edge of A. In B, there is a purple rectangle and an orange oval. The orange oval is touching the right edge of B and the rectangle is near and to the left of and the oval. In C, there is a small triangle a large triangle and a pink triangle. The small triangle is above the large triangle and is touching the top of C. The pink triangle is touching the bottom of C, with the large triangle to the right of the pink triangle.",Is there an object to the left of the red thing?,YN,"['Yes', 'No', 'DK']",['Yes'],['Converse'],yes,['yes'],yes,yes,'yes'.
"There is three blocks called A, B, C. Block A has two big blue shapes to the left of a big yellow triangle. There is also a little triangle to the left of blue objects. there is a big black triangle touching the bottom edge of block B. A medium circle is at top of the block B and a small blue circle is near to it. Block C is left to the blocks A and B. It has two medium triangles. one of them is to the right of the other.",Which block has a triangle to the right of another triangle?,FB,"['A', 'B', 'C']","['A', 'B', 'C']","['Converse', ' Lists/Sets']",['c'],['c'],['c'],c,'b'.
"There is a block called A. In A, there is a small black square near and to the left of a large blue triangle. The large blue triangle is also to the left of and below a small yellow circle. In a block called B, Which is to the left of A, there a large blue square that is near and above a small blue circle. The small blue circle is near and above a medium yellow square. There is another block called C, Which is to the left of B. In C, there is a large yellow square that is near and to the left of a large yellow circle.",Is the large blue thing in B below the medium yellow thing?,YN,"['Yes', 'No', 'DK']",['No'],"['Transitivity', ' Converse']",yes,['yes'],['yes'],no,yes
"There are three blocks called A, B, and C. A is to the left of B Which is to the left of C. In A, there is a large black triangle near and above a large black square. To the right of the black triangle is a large blue triangle. In B, there is a medium yellow square near and below a small blue circle. In C, there is a small blue square far above a small yellow square. There is a small blue circle to the right of the small yellow square. There is a medium yellow circle near and to the right of the small blue circle. There is also a medium blue circle below the medium yellow circle.",What block does not have any yellow objects inside?,FB,"['A', 'B', 'C']",['A'],"['Negation', ' Quantifier']",['c'],['b'],['c'],b,'c'.
There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,Where is the the square which is above a square regarding to the small object?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['right'],"['Lists/Sets', ' Converse']",['above'],['above'],['above'],below,'above'.
"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",What object is above the black thing? the yellow triangle  or  the blue triangle?,CO,"[' the yellow triangle ', ' the blue triangle', 'both of them', 'none of them']",[' the yellow triangle '],['Converse'],['the blue triangle'],['the yellow triangle'],['the blue triangle'],both of them,[' the blue triangle'.
"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",Which block has a triangle below a circle?,FB,"['A', 'B', 'C']","['A', ' C']","['Lists/Sets', ' transitivity', ' converse', ' Quantifier']",['b'],['b'],['c'],b,'a'.
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small yellow square near and to the left of a large yellow circle. The large circle is near and to the left of a large blue triangle. In B, there is a small yellow square near and below a large blue triangle. There is a medium black triangle near and above the large blue triangle. In C, there is a small black square far to the left and above a small blue circle. The blue circle is near and to the left of a large yellow square.","What object is near the small black thing, the small blue circle or the large yellow square? the small blue circle  or  the large yellow square ?",CO,"[' the small blue circle ', ' the large yellow square ', 'both of them', 'none of them']",['none of them'],['Symmetry'],"['the small blue circle', 'the large yellow square']",['the large yellow square '],['the small blue circle'],both of them,[ the small blue circle ]
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a small blue circle near and above a medium blue circle. Far to the right of the circles is a large yellow square. In B, there is a small black square that is to the right of a small black triangle. There is also a small blue square far above the small black triangle. In C, there is a large black triangle that is near and above a small blue circle. The small blue circle is also near and above a small black triangle. To the left of the small black triangle is a medium yellow circle.",What is the relation between the large black thing and the large yellow thing?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['left', 'far from']","['Lists/Sets', ' Transitivity']",['dk'],['far from'],['far from'],[far from],"""left""."
"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",What is the relation between the black thing and the small blue thing?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['right', 'far from']","['Lists/Sets', ' Transitivity']",['dk'],[below],['dk'],below,"""left""."
"There is a block called A. In A, there are four circles that are touching the bottom of A. The red circle is touching and to the left of the yellow circle. The pink circle is touching and to the right of the green circle. The yellow circle is touching and to the left of the green circle. Touching the bottom of A is a block called B. In B, there is a blue rectangle touching the top and the left of B. Near and to the right of the blue rectangle is a purple rectangle that is also touching the top of B. At the bottom of B there is a white triangle. Far to the left of B there is a block called C. In C, there is a brown oval that is to the right of an  orange square.",What block does not have a triangle inside?,FB,"['A', 'B', 'C']","['A', 'C']",['Negation'],"['a', 'c']",['b'],['c'],"['a', 'b']",is c.
"There is a block called A. In A, there is a medium black triangle that is near and below a medium blue triangle. The medium blue triangle is far below a large blue circle. The large circle is near and below a small blue triangle. There is a block called B, Which is to the right of A. In B, there is a small yellow circle far above a large yellow square. There is also a large blue triangle near and to the right of large yellow square. There is another block called C, Which is to the right of B. In C, there is a large black triangle that is far below a large blue triangle. The large blue triangle is far below a small blue triangle.",Is the large yellow thing far below a small yellow thing?,YN,"['Yes', 'No', 'DK']",['Yes'],"['Symmetry', ' Converse']",no,['no'],yes,no,yes
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",Is there any yellow object to the left of the black square?,YN,"['Yes', 'No', 'DK']",['Yes'],,yes,['yes'],['yes'],yes,yes
"There is a block called A. In A there is a small blue circle. There is another block called B Which is to the right of A. In B, there is a large yellow square, Which is near and to the left of a small yellow square. Above both squares there is a black triangle. To the right of B there is a block called C. In C, there is a black square that is to the right and far from a yellow triangle.",Is the yellow object in C to the left of the black objects in the same block?,YN,"['Yes', 'No', 'DK']",['No'],,no,['yes'],['no'],no,yes
"There is a block called A. Inside there's a red oval that is above a blue triangle. The blue triangle is touching the right edge of A and the top of a large black square. Touching the bottom edge of A is  a small orange square. The is a block called B Which is to the right and touching A. Inside B there are 5 triangles, a red one, a green one, a large yellow one, a brown one, and an orange one. The red and orange triangles are touching the left edge of B and the orange triangle is above the red triangle. The large yellow triangle is touching the top edge of B. The green triangle is touching the right edge of B. The brown triangle is below all of the other triangles and is touching the bottom of B.",What is the relation between blue triangles and orange triangles?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['left', 'near to']",['List/sets'],['touching'],['touching'],"['touching', 'near to']",[none],'touching'
"There is a block called A. In A, there is a medium blue square that is to the left of a small blue triangle. There is also a large blue triangle far above the small blue triangle. There is another block called B, Which is to the right of A. In B, there is a large yellow circle. There is another block called C, Which is to the right of B. In B, there is a medium yellow circle far below a small black square. There is also a large yellow square near and above the small black square . There is a medium yellow square that is far to the right of the medium yellow circle, and there is a small yellow square above the medium yellow square.",Is the small blue thing far below the large blue thing?,YN,"['Yes', 'No', 'DK']",['Yes'],"['Converse', ' Symmetry']",yes,['yes'],yes,no,yes
"There is three blocks called A, B, C. Block A has two big blue shapes to the left of a big yellow triangle. There is also a little triangle to the left of blue objects. there is a big black triangle touching the bottom edge of block B. A medium circle is at top of the block B and a small blue circle is near to it. Block C is left to the blocks A and B. It has two medium triangles. one of them is to the right of the other.",Which object is to the left of the medium shape which is near to the small circle? a little triangle  or  a medium triangle?,CO,"[' a little triangle ', ' a medium triangle', 'both of them', 'none of them']",[' a medium triangle'],"['Symmetry', ' Lists/Sets']",['a little triangle'],['a little triangle'],['a little triangle'],both of them,'a little triangle'.
"There are three blocks called A, B, and C. A is to the left of B Which is to the left of C. In A, there is a large black triangle near and above a large black square. To the right of the black triangle is a large blue triangle. In B, there is a medium yellow square near and below a small blue circle. In C, there is a small blue square far above a small yellow square. There is a small blue circle to the right of the small yellow square. There is a medium yellow circle near and to the right of the small blue circle. There is also a medium blue circle below the medium yellow circle.",What is the relation between the small yellow thing and the small blue square in C?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['below', 'far from']","['Symmetry', ' Converse']","['above', 'far from']",['below'],['far from'],[far from],left
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a small blue circle near and above a medium blue circle. Far to the right of the circles is a large yellow square. In B, there is a small black square that is to the right of a small black triangle. There is also a small blue square far above the small black triangle. In C, there is a large black triangle that is near and above a small blue circle. The small blue circle is also near and above a small black triangle. To the left of the small black triangle is a medium yellow circle.",What block does not have any squares inside of it?,FB,"['A', 'B', 'C']",['C'],"['Negation', ' Quantifier']",['dk'],['b'],['dk'],b,b.
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small yellow circle that is near and to the left of a medium blue triangle. Touching the top of the triangle is a large yellow square. In B, there is a large blue circle near and below a small blue square. There is a large black triangle far to the right of the small blue square. In C, there is a small blue triangle that is far below a medium black triangle. The black triangle was near and below a medium blue triangle.",Is the small yellow thing to the left of the large blue thing?,YN,"['Yes', 'No', 'DK']",['Yes'],"['Lists/Sets', ' Converse']",yes,['yes'],yes,yes,yes
"There is a block called A. In A, there is a small black square near and to the left of a large blue triangle. The large blue triangle is also to the left of and below a small yellow circle. In a block called B, Which is to the left of A, there a large blue square that is near and above a small blue circle. The small blue circle is near and above a medium yellow square. There is another block called C, Which is to the left of B. In C, there is a large yellow square that is near and to the left of a large yellow circle.",What block does not have any blue objects inside of it?,FB,"['A', 'B', 'C']",['C'],"['Negation', ' Quantifier']",['c'],['c'],['c'],c,'c'.
"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",What thing is not below an orange thing the yellow square or  the blue triangle?,CO,"[' the yellow square', ' the blue triangle', 'both of them', 'none of them']",['both of them'],['Negation'],['the blue triangle'],['the blue triangle'],['none of them'],none of them,'both of them'.
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a medium blue circle Which is near and above a small blue circle. In B, there is a large yellow triangle Which is to the right and touching a large blue triangle. There is also a small yellow triangle to the left of the large blue triangle. In C, there is a small blue circle that is far above a blue triangle. The blue triangle is to the left of a black triangle.",What is the relation between the small blue thing in A and the medium blue thing?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['below', 'near to']","['Symmetry', ' Converse']","['above', 'near to']","['near to', 'above']","['above', 'near to']",below,"""left""."
"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",What object is far from the yellow thing? the large blue triangle  or  the small black triangle?,CO,"[' the large blue triangle ', ' the small black triangle', 'both of them', 'none of them']",[' the large blue triangle '],['Symmetry'],['the small black triangle'],"['the large blue triangle', 'the small black triangle']",['the small black triangle'],both of them,'both of them'.
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large yellow square that is near and to the left of a small yellow square. Below the small square is a medium yellow circle. In B, there is a small black triangle that is to the left of a large black square. Far below the black square is a small blue circle. In C, there is a medium blue triangle.",What is the relationship between the small black thing and the small blue thing?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['above', 'far from']","['Converse', ' Transitivity']","['below', 'far from']",['below'],['below'],[left],"""left""."
"There are three blocks named A, B, and C. B is to the right of A and C is to the right of B. In A there is a large black square that is touching left edge of A. In B, there is a large blue square Which is near and to the right of a large blue triangle. Far below the triangle there is a large yellow circle. The large yellow circle is touching the bottom of B. In C, there is a small blue circle that is to the right of a small black triangle.",Is the small black thing to the right  of the small blue thing?,YN,"['Yes', 'No', 'DK']",['No'],['Converse'],no,['yes'],['yes'],no,yes
"There are three blocks called A, B, and C. A is to the left of B and B is to the left of C. In A, there is a large blue triangle that is near and below a medium black triangle. There is also a large black triangle that is near and below the large blue triangle. In B, there are two medium blue circles that are to the left of a medium black circle. The black circle is near and above a large blue circle. In C, there is a large yellow circle that is near and to the left of a small black triangle. There is also a large blue triangle near and to the right of the small black triangle.",What object is not far from the the large blue thing in B? the medium black circle  or  the small black square ?,CO,"[' the medium black circle ', ' the small black square ', 'both of them', 'none of them']",[' the medium black circle '],"['Negation', ' Symmetry']",['the medium black circle'],['the medium black circle '],['the small black square'],none of them,['both of them']
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a medium blue square near and to the right of a large yellow square. The large yellow square is far to the right of a small blue circle. In B, there is a large black circle is near and above a large blue circle. Far below the blue circle is a large black square. In C, there is a small blue circle that is far below a large blue square.",Is the large blue thing in B to the right of the large black things?,YN,"['Yes', 'No', 'DK']",['DK'],['No Data'],no,['yes'],yes,no,yes
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a medium black triangle. In B, there is a small blue circle that is far below a medium yellow square. In C, there is a small yellow square near and above a small black triangle. The black triangle is near and to the right of a large black square. There is a medium blue triangle below the large black square.",What object is above the medium blue thing? the small blue circle  or  the large black square?,CO,"[' the small blue circle ', ' the large black square', 'both of them', 'none of them']",[' the large black square'],['Converse'],['the large black square'],['the large black square'],['the large black square'],[the large black square],'the large black square'.
"There is three blocks called A, B, C. Block A has two big blue shapes to the left of a big yellow triangle. There is also a little triangle to the left of blue objects. there is a big black triangle touching the bottom edge of block B. A medium circle is at top of the block B and a small blue circle is near to it. Block C is left to the blocks A and B. It has two medium triangles. one of them is to the right of the other.",Is the medium circle far from the blue circle?,YN,"['Yes', 'No', 'DK']",['No'],"['Symmetry', ' Converse']",no,['yes'],yes,no,yes
"There are three blocks called A, B, and C. A is on top of B and B is on top of C. In A there are 3 circles: a small red one, a green one, and a big blue one. The small red and green circles are above the big blue circle. The big blue circle is touching the bottom edge of A, and the green circle is touching the top edge of A. In B there is a orange triangle, Which is above a purple rectangle. The purple rectangle is touching the bottom edge of B. In C, there are 3 squares, a small white one, a small black one, and a large yellow one. The small white square is touching the left edge of C, while the small black square is touching the right edge of C. The large yellow square is adjacent to the white square, and is touching the bottom edge of C.",Is a circle below a rectangle?,YN,"['Yes', 'No', 'DK']",['No'],['Symmetry'],no,['no'],['no'],no,'no'.
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a medium blue circle Which is near and above a small blue circle. In B, there is a large yellow triangle Which is to the right and touching a large blue triangle. There is also a small yellow triangle to the left of the large blue triangle. In C, there is a small blue circle that is far above a blue triangle. The blue triangle is to the left of a black triangle.",What object is to the right of the small yellow thing? the large yellow triangle  or  the medium blue circle?,CO,"[' the large yellow triangle ', ' the medium blue circle', 'both of them', 'none of them']",[' the large yellow triangle '],"['Transitivity', ' Converse']",['the large yellow triangle'],['the large yellow triangle '],['the medium blue circle'],both of them,'the medium blue circle'.
"There are three blocks called A, B, and C. A is to the right of B and B is to the right of C. In A, there is a small blue triangle. In B, there is a large blue circle near and to the right of a small yellow square. The yellow square is near and to the right of a small black circle. In C, there is a small yellow circle near and below a medium black triangle. There is a small blue square near and above the black triangle.",What block does not have any yellow objects inside?,FB,"['A', 'B', 'C']",['A'],"['Negation', ' Quantifier']",['c'],['c'],['c'],['a'],'b'.
"There is a block called A. In A, there is a medium blue square that is to the left of a small blue triangle. There is also a large blue triangle far above the small blue triangle. There is another block called B, Which is to the right of A. In B, there is a large yellow circle. There is another block called C, Which is to the right of B. In B, there is a medium yellow circle far below a small black square. There is also a large yellow square near and above the small black square . There is a medium yellow square that is far to the right of the medium yellow circle, and there is a small yellow square above the medium yellow square.",What object is not near the medium yellow square? the medium yellow circle  or  the small black square ?,CO,"[' the medium yellow circle ', ' the small black square ', 'both of them', 'none of them']",['none of them'],"['Symmetry', ' Negation']","['the medium yellow circle', 'the small black square']","['the medium yellow circle ', 'the small black square ']",['none of them'],both of them,is: 'both of them'.
"There is a block called A. In A, there is a medium blue square that is to the left of a small blue triangle. There is also a large blue triangle far above the small blue triangle. There is another block called B, Which is to the right of A. In B, there is a large yellow circle. There is another block called C, Which is to the right of B. In B, there is a medium yellow circle far below a small black square. There is also a large yellow square near and above the small black square . There is a medium yellow square that is far to the right of the medium yellow circle, and there is a small yellow square above the medium yellow square.",Is the large yellow thing in C below the medium yellow circle?,YN,"['Yes', 'No', 'DK']",['No'],"['Transitivity', ' Converse']",no,['no'],['no'],no,yes
"There is a block called A. Inside there's a red oval that is above a blue triangle. The blue triangle is touching the right edge of A and the top of a large black square. Touching the bottom edge of A is  a small orange square. The is a block called B Which is to the right and touching A. Inside B there are 5 triangles, a red one, a green one, a large yellow one, a brown one, and an orange one. The red and orange triangles are touching the left edge of B and the orange triangle is above the red triangle. The large yellow triangle is touching the top edge of B. The green triangle is touching the right edge of B. The brown triangle is below all of the other triangles and is touching the bottom of B.",Which block has the blue triangle?,FB,"['A', 'B']",['A'],['Lists/sets'],['a'],['a'],['a'],a,a.
There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,What is the relation between the red square and the blue thing Which is below the yellow square?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']",['above'],"['Lists/Sets', ' Converse']","['below', 'dk']",['below'],"['below', 'not near to', 'not touching', 'dk']",below,"""below""."
"There is a block called A. In A, there is a small black square near and to the left of a large blue triangle. The large blue triangle is also to the left of and below a small yellow circle. In a block called B, Which is to the left of A, there a large blue square that is near and above a small blue circle. The small blue circle is near and above a medium yellow square. There is another block called C, Which is to the left of B. In C, there is a large yellow square that is near and to the left of a large yellow circle.",What is the relation between the small yellow thing and the small black thing?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['right', 'near to']","['Transitivity', ' Converse']",['near to'],[below],['near to'],[dk],"""left""."
"There are three blocks called A, B, and C. A is to the left of B Which is to the left of C. In A, there is a large black triangle near and above a large black square. To the right of the black triangle is a large blue triangle. In B, there is a medium yellow square near and below a small blue circle. In C, there is a small blue square far above a small yellow square. There is a small blue circle to the right of the small yellow square. There is a medium yellow circle near and to the right of the small blue circle. There is also a medium blue circle below the medium yellow circle.",What object is to the right of the medium yellow thing in B? the medium yellow circle or   the large blue triangle ?,CO,"[' the medium yellow circle', '  the large blue triangle ', 'both of them', 'none of them']",[' the medium yellow circle'],"['Lists/Sets', ' Converse']",['the medium yellow circle'],['the medium yellow circle'],['the large blue triangle'],none of them,'the large blue triangle '.
"There is a block called A. In A, there is a small black square near and to the left of a large blue triangle. The large blue triangle is also to the left of and below a small yellow circle. In a block called B, Which is to the left of A, there a large blue square that is near and above a small blue circle. The small blue circle is near and above a medium yellow square. There is another block called C, Which is to the left of B. In C, there is a large yellow square that is near and to the left of a large yellow circle.",What is the relation between the large yellow objects and the small black object?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['left', 'far from']","['Lists/Sets', ' Transitivity']","['left', 'near to']","[ ['near to'], ['left'] ]","['left', 'not near to', 'not above', 'not below']",[far from],"""left""."
"There are three blocks called A, B, and C. B is to the right of A and C is to the right of B. In A, there is a small black triangle near and below a large yellow circle. Far to the right of the yellow circle is a small blue square. In B, there is a large black triangle far below a small blue circle. The small blue circle is near and below a small blue triangle. In C, there is a small blue circle.",What block has all of squares inside of it?,FB,"['A', 'B', 'C']",['A'],['Quantifier'],['dk'],['dk'],['dk'],b,'a'.
"There are three blocks called A, B, and C. A is to the left of B, and B is to the left of C. In A, there is a large blue triangle to the left of and below a large black square. Far above the square is a large black circle. In B, there is a large blue circle near and below a small blue circle. The small blue circle is near and below a large yellow square. There is a medium blue square far to the left of the yellow square. In C, there is a large blue square.",Is the large black circle below a large blue thing?,YN,"['Yes', 'No', 'DK']",['No'],"['Transitivity', ' Converse']",no,['yes'],yes,no,'yes'.
There is a block called A. It has a big blue circle and a red square. The big blue circle is below the red square. There is another block called B Which is above block A. There are a small blue circle and a yellow square in this block. The small blue circle is to the left of the yellow square.,Which block has a square above a circle?,FB,"['A', 'B']","['A', ' B']","['List/Sets', ' Converse']",['a'],['b'],['a'],['a'],'a'.
"There are three blocks called A, B, and C. A is to the left of B, and B is to the left of C. In A, there is a large blue triangle to the left of and below a large black square. Far above the square is a large black circle. In B, there is a large blue circle near and below a small blue circle. The small blue circle is near and below a large yellow square. There is a medium blue square far to the left of the yellow square. In C, there is a large blue square.",Is the large blue thing in C to the right of the large blue thing in B?,YN,"['Yes', 'No', 'DK']",['Yes'],"['Lists/Sets', ' Converse']",no,['yes'],['no'],no,yes
"There are three blocks names A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small square Which is below and to the left of a yellow circle. In B, there is a yellow circle above and to the right of a large blue square. In C, there is a small black square that is below a small yellow triangle. Near and to the right of the square is a large black triangle. The large triangle is also to the left of and near a large blue square. Far above the blue square is a small yellow circle. The small triangle is to the left and far from the small circle.","What is the object is above the large, black object in C? the small black square  or  the small yellow triangle?",CO,"[' the small black square ', ' the small yellow triangle', 'both of them', 'none of them']",[' the small yellow triangle'],['Transitivity'],['the small yellow triangle'],['the small yellow triangle'],['the small yellow triangle'],both of them,'the small yellow triangle'.
"There are three blocks names A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small square Which is below and to the left of a yellow circle. In B, there is a yellow circle above and to the right of a large blue square. In C, there is a small black square that is below a small yellow triangle. Near and to the right of the square is a large black triangle. The large triangle is also to the left of and near a large blue square. Far above the blue square is a small yellow circle. The small triangle is to the left and far from the small circle.",Is the small square in C to the left of the large square in C?,YN,"['Yes', 'No', 'DK']",['Yes'],['Transitivity'],yes,['yes'],yes,no,yes
"There are three blocks names A, B, and C. A is to the left of B and B is to the left of C. In A, there is a small square Which is below and to the left of a yellow circle. In B, there is a yellow circle above and to the right of a large blue square. In C, there is a small black square that is below a small yellow triangle. Near and to the right of the square is a large black triangle. The large triangle is also to the left of and near a large blue square. Far above the blue square is a small yellow circle. The small triangle is to the left and far from the small circle.",Does B have any triangles?,YN,"['Yes', 'No', 'DK']",['Yes'],['Quantifier'],yes,['no'],['no'],no,'yes'.
"There is a block called A. In A, there is a medium blue square that is to the left of a small blue triangle. There is also a large blue triangle far above the small blue triangle. There is another block called B, Which is to the right of A. In B, there is a large yellow circle. There is another block called C, Which is to the right of B. In B, there is a medium yellow circle far below a small black square. There is also a large yellow square near and above the small black square . There is a medium yellow square that is far to the right of the medium yellow circle, and there is a small yellow square above the medium yellow square.",What is the relation between the medium yellow circle and the other medium yellow thing?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['left', 'far from']","['Converse', ' Symmetry']","['below', 'near to']",['far right of'],['far from'],[right],left
"There are three blocks called A, B and C. B is to the left of A and C is to the left of B. In A, there is a large blue triangle that is near and to the right of a medium yellow circle. There is also a large black square near and to the left of the medium yellow circle. In B, there is a medium yellow triangle that is near and above a large black square. Near and below the black square is a medium blue circle. In C, there is a small blue triangle to the right of a small black triangle. Near and to the left of the of the small black triangle is a large blue triangle.",Is the small blue thing above small a black thing?,YN,"['Yes', 'No', 'DK']",['DK'],['No Data'],no,['yes'],['no'],no,'yes'.
"There is three blocks called A, B, C. Block A has two big blue shapes to the left of a big yellow triangle. There is also a little triangle to the left of blue objects. there is a big black triangle touching the bottom edge of block B. A medium circle is at top of the block B and a small blue circle is near to it. Block C is left to the blocks A and B. It has two medium triangles. one of them is to the right of the other.",What is the relation between the black triangle and the medium thing in block B?,FR,"['left', 'right', 'above', 'below', 'near to', 'far from', 'touching', 'DK']","['below', 'far from']",['Transitivity'],['touching'],['touching'],['touching'],[bottom edge of block c],"""touching""."
"There are three blocks A, B and C. A blue triangle is touching the right edge of block A. Block B has four objects. There is a medium black square at the top of this block. There is a big blue square at the top of this block and near to the medium square. Two big black circles are below these objects. one of the circles is touching the bottom edge of its block. block C is above A and block B is above it. Three medium blue triangles and two squares are in this block. the squares are below all triangles. two of the triangles and one of the squares are to the left of the  other square.",Which object is below a blue triangle? a black circle  or  a blue triangle?,CO,"[' a black circle ', ' a blue triangle', 'both of them', 'none of them']",[' a blue triangle'],,['a black circle'],"[ ['a black circle'], 'dk' ]",['a black circle'],both of them,"['a blue triangle', 'both of them']"
"There is a block called A. In A, there are four blue circles: two small ones, a medium one, and a large one. The two small circles are below the large circle. The medium circle is far above and to the left of the large circle. There is another block called B, Which is to the right of A. In B, there is a blue triangle near the right edge of B. There is another block called C, Which is to the right of B. In C, there is a yellow circle, a large yellow triangle, and a black square. The yellow circle is near and to the left of the yellow triangle. The black square is to the right and below the yellow triangle.",Is the medium thing above the small thing?,YN,"['Yes', 'No', 'DK']",['Yes'],['Transitivity'],yes,['yes'],['no'],yes,yes
"There are three blocks called A, B, and C. B is to the left of A and C is to the left of B. In A, there is a medium blue square near and to the right of a large yellow square. The large yellow square is far to the right of a small blue circle. In B, there is a large black circle is near and above a large blue circle. Far below the blue circle is a large black square. In C, there is a small blue circle that is far below a large blue square.",What block does not have any yellow objects inside?,FB,"['A', 'B', 'C']","['B', 'C']","['Negation', ' Quantifier']",['b'],['b'],['c'],"['b', 'c']",b.
"There are two blocks called A and B. A is to the right of B. In A, there is a blue triangle, Which is above a orange rectangle, Which is above a black circle. The black circle is touching the bottom of A. In B there are four squares. A yellow square is above a white square and to the left of a green square. A large purple square is touching the bottom of B and is to the left and near of the white square. The green square is on top of the purple square.",Is the blue thing above a black thing?,YN,"['Yes', 'No', 'DK']",['Yes'],['Transitivity'],yes,['yes'],yes,yes,'yes'.
